enemy_illustration-10000027,アーキテクト
enemy_illustration-20000077,軍の特殊作戦人形。巨大なボディと強靭なパワーを備えている。敵を轢き殺すような突撃作戦が得意であり、部隊の先鋒としても盾としても非常に優秀である。
enemy_illustration-30000077,高めの装甲を持ち、相手の前列と後列をを同時に攻撃するため、前列と後列の人形で距離を空けるとよい。
enemy_illustration-10000078,アケロン
enemy_illustration-20000078,軍の特殊作戦装置。指定されたポイントに投下し設置することで、味方に偏向障壁を展開することができる。他のユニットと合わせて使う場合が多い。
enemy_illustration-30000078,友軍に向けて偏向障壁を展開するため、長時間の交戦を避けるべきユニットが存在する場合は、後列を優先して攻撃する人形や、重装部隊の支援があるとよい。
enemy_illustration-10000079,コイオス
enemy_illustration-20000079,軍の特殊作戦メカ。爆発的な瞬間火力と、ある程度の機動力を持ち合わせている。制圧作戦の切り札として使われることが多い。代替品が存在しないほどにずば抜けた性能を持つ。
enemy_illustration-30000079,一般的な装甲を持つため、味方の破甲能力を高め、前列の人形の防御力に気を配ろう。また、強力な砲撃を行うため、ロックされた場合は素早く人形を移動させ、周りに被害が及ばないようにしよう。
enemy_illustration-10000080,AA-02 アレス
enemy_illustration-20000080,軍のエリートメカであり、元はとある軍人の専用機であった。性能がずば抜けており、最高峰の主砲、ミサイル、シールドを搭載し、あらゆる方面において圧倒的な強さを誇る。「罪を背負いし者」という異名を持つ。
enemy_illustration-30000080,強めの装甲を持つ。攻撃予告を行った位置に中程度のダメージを与えるため、人形を指揮し適宜回避が必要。シールドを持つ状態のアレスに貫通攻撃を行うと、一定時間硬直する。
enemy_illustration-10000081,エリザ
enemy_illustration-20000081,リコが研究開発した上級人工知能。簡単な指令を出すだけで、ホストの「エリザ」が的確な作戦を演算してくれる。この上級ＡＩのホストには専属の戦術人形部隊がついており、ホストはネットワークシステムの遠隔操作によってこれらの人形に計画を実行させる。しかし実際のところ、「エリザ」はただのＡＩプログラムではない。リコの最終目標は、自己意識を備え、人類と同じ思考能力と知覚を備えたパーフェクトな人工知能を創り出すことだった。胡蝶事件後の「エリザ」は実体を手に入れ、すべての鉄血人形を管理下に置いた。そして「父」であるリコの敵討ちをするため、目に入るすべての人類と、鉄血以外の戦術人形を攻撃し始めた。そして「父」であるリコにとっての完璧なＡＩになる、つまり人類と同じ心を得ることを望み、父のデータから完全なＡＩサンプルを探し出そうとした。
enemy_illustration-30000081,逆コーラップスの影響により人形は戦闘能力を失うが、宙に浮かされる点を生かし、避けがたい攻撃を回避しよう！
enemy_illustration-10000082,ガトリングクラブ
enemy_illustration-20000082,とある軍需企業が多額の資金を投じ造り上げた自律兵器。生体偽装の極致ともいえる設計を採用したとのふれこみだが、単に蟹をそのまま大きくしただけのようにも見える。メーカーもこれが企業を倒産に追い込んだ直接的な原因であると、否定的な見解を述べている模様。
enemy_illustration-30000082,万全な状態でない場合は避けて通ろう。
enemy_illustration-10000083,メカクラブ
enemy_illustration-20000083,とある軍需企業が製造した旧式の自律兵器。生き物を模した兵器がコンセプトになっているようだが、出力の凶暴なまでの高さから「単なるバイオレンスシーフードマシン」と揶揄され、実戦投入を却下された経歴を持つ。
enemy_illustration-30000083,装甲をわずかに備えており、移動速度が比較的高い。戦闘開始後すぐに爆発するヒトデを設置する。味方の人形がヒトデに触れてしまうと大ダメージを受けるので、ヒトデを避けるか早い段階で処理しよう。
enemy_illustration-10000084,スイカ屋さん
enemy_illustration-20000084,とある軍需企業が製造した旧式の自律兵器。スイカモドキを生産するのに使われる施設だが、それを知らずに入ってくる観光客が、生産の妨げになってしまっているそうな。
enemy_illustration-30000084,高い装甲値を持ち、撃破されない限りスイカモドキを生み出し続ける。アサルトライフルは攻略に不向きなので、ライフルを使おう。
enemy_illustration-10000085,スイカモドキ
enemy_illustration-20000085,とある軍需企業が製造した旧式の自律兵器。美味しそうなものに偽装して敵を欺くことを目的に造られたが、検査員が本当に食べ物だと思って切ってしまう事故が起こっていたりする。
enemy_illustration-30000085,一定の装甲を持ち、命中は高めで、火力は低い。部隊の作戦能力を引き上げて挑もう。
