item-10000001,人形製造契約
item-20001340,G36との50日間
item-10001341,盛夏の果実
item-20001341,盛夏の果実
item-10001342,アメリのレシーブ
item-20001342,アメリのレシーブ
item-10001343,魔女の高弟
item-20001343,魔女の高弟
item-10001344,M4 SOPMOD IIメンタルアップグレードアイコン
item-20001344,M4 SOPMOD IIメンタルアップグレードアイコン
item-10001345,UMP45メンタルアップグレードアイコン
item-20001345,UMP45メンタルアップグレードアイコン
item-10001346,IDカード背景：ビーチパーティ
item-20001346,IDカード背景：ビーチパーティ
item-10001347,アイコン：ビーチパンク2064
item-20001347,アイコン：ビーチパンク2064
item-10001348,基地背景：サマービーチ
item-20001348,基地背景：サマービーチ
item-10001349,基地背景：人の長久を願い
item-20001349,基地背景：人の長久を願い
item-10001350,Plague　Knight
item-20001350,Plague　Knight
item-10001351,Dragon　Jr.
item-20001351,Dragon　Jr.
item-10001352,Witcher　General
item-20001352,Witcher　General
item-10001353,Steel　Butterfly
item-20001353,Steel　Butterfly
item-10001354,Electric　Witch
item-20001354,Electric　Witch
item-10001355,アイコン：Doll Musician
item-20001355,アイコン：Doll Musician
item-10001356,IDカード背景：Girl&World
item-20001356,IDカード背景：Girl&World
item-10001357,アイコン：兵蟻くれないといたずらしちゃうぞ
item-20001357,アイコン：兵蟻くれないといたずらしちゃうぞ
item-10001358,IDカード背景：ハロウィン・カーニバル
item-20001358,IDカード背景：ハロウィン・カーニバル
item-10001359,基地背景：ハロウィンサバイバー
item-20001359,基地背景：ハロウィンサバイバー
item-10001360,パンプキン・スキュアー
item-20001360,パンプキン・スキュアー
item-10001361,エルフ・ヘルシング
item-20001361,エルフ・ヘルシング
item-10001362,ゴーストトラップ
item-20001362,ゴーストトラップ
item-10001363,ガン・アンド・ザ・バガー
item-20001363,ガン・アンド・ザ・バガー
item-10001364,ジャック・ザ・トライン
item-20001364,ジャック・ザ・トライン
item-10001365,ウィッチアカデミア
item-20001365,ウィッチアカデミア
item-10001366,ステンMK-IIメンタルアップグレードアイコン
item-20001366,ステンMK-IIメンタルアップグレードアイコン
item-10001367,M14メンタルアップグレードアイコン
item-20001367,M14メンタルアップグレードアイコン
item-10001368,Gr G36メンタルアップグレードアイコン
item-20001368,Gr G36メンタルアップグレードアイコン
item-10001369,LWMMGメンタルアップグレードアイコン
item-20001369,LWMMGメンタルアップグレードアイコン
item-10001370,銃弾は鎖を撃ち抜いて
item-20001370,銃弾は鎖を撃ち抜いて
item-10001371,かなで
item-20001371,かなで
item-10001372,そらの飛び方
item-20001372,そらの飛び方
item-10001373,VRAIN Power
item-20001373,VRAIN Power
item-10001374,キセキ☆はじまる
item-20001374,キセキ☆はじまる
item-10001375,星々のキズナ
item-20001375,星々のキズナ
item-10001376,アイコン：カボチャ串
item-20001376,アイコン：カボチャ串
item-10001377,IDカード背景：ガン・アンド・ザ・バガー
item-20001377,IDカード背景：ガン・アンド・ザ・バガー
item-10001378,クリスマスの朝
item-20001378,クリスマスの朝
item-10001379,スカーレットターボ
item-20001379,スカーレットターボ
item-10001380,煙突掃除の女の子
item-20001380,煙突掃除の女の子
item-10001381,サテライト・オブ・ラブ
item-20001381,サテライト・オブ・ラブ
item-10001382,ブルークリスマス
item-20001382,ブルークリスマス
item-10001383,子供たちのクリスマス
item-20001383,子供たちのクリスマス
item-10001384,赤耳のTMP
item-20001384,赤耳のTMP
item-10001385,アイコン：キャンディケーン
item-20001385,アイコン：キャンディケーン
item-10001386,アイコン：戦術トナカイ
item-20001386,アイコン：戦術トナカイ
item-10001387,IDカード背景：戦術トナカイ
item-20001387,IDカード背景：戦術トナカイ
item-10001388,背景：冬の到来
item-20001388,背景：冬の到来
item-10001389,アイコン：オフィシャル四コマ-VOL.7
item-20001389,アイコン：オフィシャル四コマ-VOL.7
item-10001390,アイコン：クリスマスの朝
item-20001390,アイコン：クリスマスの朝
item-10001391,IDカード背景：騒がしいクリスマス小屋
item-20001391,IDカード背景：騒がしいクリスマス小屋
item-10001392,新年の祈り
item-20001392,新年の祈り
item-10001393,正月のゲームマスター
item-20001393,正月のゲームマスター
item-10001394,銃使ノ巫女
item-20001394,銃使ノ巫女
item-10001395,Insegui l'aquilone
item-20001395,Insegui l'aquilone
item-10001396,始まりの鐘
item-20001396,始まりの鐘
item-10001397,雪月花
item-20001397,雪月花
item-10001398,夢花火
item-20001398,夢花火
item-10001399,お祭りの正しい遊び方
item-20001399,お祭りの正しい遊び方
item-10001400,冬の旅
item-20001400,冬の旅
item-10001401,
item-20001401,
item-10001402,
item-20001402,
item-10001403,アイコン：オフィシャル四コマ-VOL.8
item-20001403,アイコン：オフィシャル四コマ-VOL.8
item-10001404,真核の仮面記念アイコン：異性体
item-20001404,真核の仮面記念アイコン：異性体
item-10001405,IDカード背景：鉄血の出席
item-20001405,IDカード背景：鉄血の出席
item-10001406,アイコン：致命的な自由
item-20001406,アイコン：致命的な自由
item-10001407,星乙女
item-20001407,星乙女
item-10001408,君影草
item-20001408,君影草
item-10001409,幽谷蘭
item-20001409,幽谷蘭
item-10001410,薄雪草
item-20001410,薄雪草
item-10001411,金蓮花
item-20001411,金蓮花
item-10001412,踊子草
item-20001412,踊子草
item-10001413,瑠璃唐草
item-20001413,瑠璃唐草
item-10001414,アイコン：星乙女
item-20001414,アイコン：星乙女
item-10001415,IDカード背景：星乙女
item-20001415,IDカード背景：星乙女
item-10001416,アイコン：ショコラドッグ
item-20001416,アイコン：ショコラドッグ
item-10001417,アイコン：ラブレター特急伝書鳩
item-20001417,アイコン：ラブレター特急伝書鳩
item-10001418,IDカード背景：誓約の聖地
item-20001418,IDカード背景：誓約の聖地
item-10001478,アイコン：炎天下の守護者
item-20001478,アイコン：炎天下の守護者
item-10001479,IDカード背景：戦術スイカ・フェスティバル
item-20001479,IDカード背景：戦術スイカ・フェスティバル
item-10001419,アイコン：オフィシャル四コマ-VOL.9
item-20001419,アイコン：オフィシャル四コマ-VOL.9
item-10001420,幸せの使命
item-20001420,幸せの使命
item-10001421,スターシルヴァー
item-20001421,スターシルヴァー
item-10001422,歩き出すあなた
item-20001422,歩き出すあなた
item-10001423,届いた気持ち
item-20001423,届いた気持ち
item-10001424,約束の変身
item-20001424,約束の変身
item-10001425,待望の明日
item-20001425,待望の明日
item-10001426,マーチングバンド
item-20001426,マーチングバンド
item-10001427,アイコン：一番美しい笑顔
item-20001427,アイコン：一番美しい笑顔
item-10001428,IDカード背景：幸せの使命
item-20001428,IDカード背景：幸せの使命
item-10001429,歩く手術台
item-20001429,歩く手術台
item-10001430,アイコン：オフィシャル四コマ-VOL.10
item-20001430,アイコン：オフィシャル四コマ-VOL.10
item-10001431,アイコン：スプリングフィールドスペシャル
item-20001431,アイコン：スプリングフィールドスペシャル
item-10001432,龍狼の子
item-20001432,龍狼の子
item-10001433,黒石姫
item-20001433,黒石姫
item-10001434,ゴブリンハンター
item-20001434,ゴブリンハンター
item-10001435,グリフィンの舞姫
item-20001435,グリフィンの舞姫
item-10001436,マントと猫耳
item-20001436,マントと猫耳
item-10001437,
item-20001437,
item-10001438,背景：逢魔時
item-20001438,背景：逢魔時
item-10001439,アイコン：覚悟決めし探索者
item-20001439,アイコン：覚悟決めし探索者
item-10001440,アイコン：閃光の追跡者
item-20001440,アイコン：閃光の追跡者
item-10001441,アイコン：希望の種
item-20001441,アイコン：希望の種
item-10001442,アイコン：喪失した監督者
item-20001442,アイコン：喪失した監督者
item-10001443,アイコン：絶望の淵
item-20001443,アイコン：絶望の淵
item-10001444,真核の仮面アイコン：三周年
item-20001444,真核の仮面アイコン：三周年
item-10001445,Micro Uziメンタルアップグレードアイコン
item-20001445,Micro Uziメンタルアップグレードアイコン
item-10001446,AS Valメンタルアップグレードアイコン
item-20001446,AS Valメンタルアップグレードアイコン
item-10001447,StG-44メンタルアップグレードアイコン
item-20001447,StG-44メンタルアップグレードアイコン
item-10001448,夜明け前
item-20001448,夜明け前
item-10001449,青藍なる静寂
item-20001449,青藍なる静寂
item-10001450,鮮紅たる沈黙
item-20001450,鮮紅たる沈黙
item-10001451,白うさぎのサマーパーティ
item-20001451,白うさぎのサマーパーティ
item-10001452,パーティの観測者
item-20001452,パーティの観測者
item-10001453,星空フォックストロット
item-20001453,星空フォックストロット
item-10001454,月光とエメラルド
item-20001454,月光とエメラルド
item-10001455,運命のワルツ
item-20001455,運命のワルツ
item-10001456,ブラックスワンの夢
item-20001456,ブラックスワンの夢
item-10001457,IDカード背景：仲夏のお茶会
item-20001457,IDカード背景：仲夏のお茶会
item-10001458,アイコン：「大当たり」
item-20001458,アイコン：「大当たり」
item-10001459,アイコン：麦酒潮流
item-20001459,アイコン：麦酒潮流
item-10001460,アイコン：赤色鉄拳大満貫
item-20001460,アイコン：赤色鉄拳大満貫
item-10001461,アイコン：猫ちゃんは離れない
item-20001461,アイコン：猫ちゃんは離れない
item-10001462,アイコン：くそったれな世界に乾杯
item-20001462,アイコン：くそったれな世界に乾杯
item-10001463,アイコン：親愛なるベッキーへ
item-20001463,アイコン：親愛なるベッキーへ
item-10001464,アイコン：スーパーちびっ子隊長
item-20001464,アイコン：スーパーちびっ子隊長
item-10001465,IDカード背景：バーVA-11 Hall-Aへようこそ
item-20001465,IDカード背景：バーVA-11 Hall-Aへようこそ
item-10001466,親友のアーマー
item-20001466,親友のアーマー
item-10001467,メガクリスマス・ドレス
item-20001467,メガクリスマス・ドレス
item-10001468,赤い彗星
item-20001468,赤い彗星
item-10001469,親友の私服
item-20001469,親友の私服
item-10001470,中学生大冒険
item-20001470,中学生大冒険
item-10001471,モデル戦士
item-20001471,モデル戦士
item-10001472,くろねこの贈りもの
item-20001472,くろねこの贈りもの
item-10001473,ちっちゃなかがくしゃ
item-20001473,ちっちゃなかがくしゃ
item-10001474,たれうさSS
item-20001474,たれうさSS
item-10001475,柴犬すかうたー
item-20001475,柴犬すかうたー
item-10001476,天使の絵筆
item-20001476,天使の絵筆
item-10001477,異能少女ぶうりん
item-20001477,異能少女ぶうりん
item-10001478,アイコン：夏の守護者
item-20001478,アイコン：炎天下の守護者
item-10001479,IDカード背景：戦術スイカ・フェスティバル
item-20001479,IDカード背景：戦術スイカ・フェスティバル
item-10001480,ラッキースターの休日
item-20001480,ラッキースターの休日
item-10001481,UVカット大作戦
item-20001481,UVカット大作戦
item-10001482,進撃の飛魚
item-20001482,進撃の飛魚
item-10001483,溺水防止アタッチメント
item-20001483,溺水防止アタッチメント
item-10001484,海角四号
item-20001484,海角四号
item-10001485,カラスの救命員
item-20001485,カラスの救命員
item-10001486,水泳課題
item-20001486,水泳課題
item-10001487,
item-20001487,
item-10001488,
item-20001488,
item-10001489,
item-20001489,
item-10001490,真核の仮面記念アイコン：連鎖分裂
item-20001490,真核の仮面記念アイコン：連鎖分裂
item-10001491,アイコン：迷える月下美人
item-20001491,アイコン：迷える月下美人
item-10001492,IDカード背景：始発点
item-20001492,IDカード背景：始発点
item-10001493,MP5メンタルアップグレードアイコン
item-20001493,MP5メンタルアップグレードアイコン
item-10001494,HK416メンタルアップグレードアイコン
item-20001494,HK416メンタルアップグレードアイコン
item-10001495,漢陽88式メンタルアップグレードアイコン
item-20001495,漢陽88式メンタルアップグレードアイコン
item-10001496,UMP9メンタルアップグレードアイコン
item-20001496,UMP9メンタルアップグレードアイコン
item-10001497,水色の青春
item-20001497,水色の青春
item-10001498,秘密のガールズトーク
item-20001498,秘密のガールズトーク
item-10001499,月下の祈り
item-20001499,月下の祈り
item-10001500,朧月夜
item-20001500,朧月夜
item-10001501,百花繚乱
item-20001501,百花繚乱
item-10001502,背景：花畑は夢幻の中に
item-20001502,背景：花畑は夢幻の中に
item-10001503,高校胸キュン物語
item-20001503,高校胸キュン物語
item-10001504,純白の卒業式
item-20001504,純白の卒業式
item-10001505,ちこくちこくー！
item-20001505,ちこくちこくー！
item-10001506,兎攻隊長
item-20001506,兎攻隊長
item-10001507,始業を告げる猫の歌
item-20001507,始業を告げる猫の歌
item-10001508,放課後の寄り道
item-20001508,放課後の寄り道
item-10001509,休み時間の白昼夢
item-20001509,休み時間の白昼夢
item-10001510,プリズムにゃんこパワー
item-20001510,プリズムにゃんこパワー
item-10001511,アイコン：夏の思い出
item-20001511,アイコン：夏の思い出
item-10001512,IDカード背景：背負い投げR
item-20001512,IDカード背景：背負い投げR
item-10001513,アイコン：褒め上手
item-20001513,アイコン：褒め上手
item-10001514,アイコン：怪夜の対決
item-20001514,アイコン：怪夜の対決
item-10001515,IDカード背景：狂潮の幕切れ
item-20001515,IDカード背景：狂潮の幕切れ
item-10001516,アイコン：幽霊船船長猫
item-20001516,アイコン：幽霊船船長猫
item-10001517,
item-20001517,
item-10001518,
item-20001518,
item-10001519,
item-20001519,
item-10001520,
item-20001520,
item-10001521,
item-20001521,
item-10001522,
item-20001522,
item-10001523,
item-20001523,
item-10001524,
item-20001524,
item-10001525,アイコン：超絶食客
item-20001525,アイコン：超絶食客
item-10001526,アイコン：一致にゃん結
item-20001526,アイコン：一致にゃん結
item-10001527,アイコン：後戻りできぬ道
item-20001527,アイコン：後戻りできぬ道
item-10001528,アイコン：絶対にあきらめるな
item-20001528,アイコン：絶対にあきらめるな
item-10001529,アイコン：私を頼って！
item-20001529,アイコン：私を頼って！
item-10001530,アイコン：希望の芽
item-20001530,アイコン：希望の芽
item-10001531,アイコン：絶好調！
item-20001531,アイコン：絶好調！
item-10001532,アイコン：ダイナーゲートを見つめているとき……
item-20001532,アイコン：ダイナーゲートを見つめているとき……
item-10001533,アイコン：おかしはあげないし、いたずらもダメ
item-20001533,アイコン：おかしはあげないし、いたずらもダメ
item-10001534,IDカード背景：魔物たちの盛宴
item-20001534,アイコン：魔物たちの盛宴
item-10001535,
item-20001535,
item-10001536,
item-20001536,
item-10001537,
item-20001537,
item-10001538,
item-20001538,
item-10001539,
item-20001539,
item-10001540,アイコン：メリークリスマスだワン！
item-20001540,アイコン：メリークリスマスだワン！
item-10001541,アイコン：抱っこして！
item-20001541,アイコン：抱っこして！
item-10001542,IDカード背景：時を超えた抱擁
item-20001542,IDカード背景：時を超えた抱擁
item-10001543,
item-20001543,
item-10001544,
item-20001544,
item-10001545,
item-20001545,
item-10001546,
item-20001546,
item-10001547,
item-20001547,
item-10001548,
item-20001548,
item-10001549,
item-20001549,
item-10001550,スチェッキンメンタルアップグレードアイコン
item-20001550,スチェッキンメンタルアップグレードアイコン
item-10001551,C96メンタルアップグレードアイコン
item-20001551,C96メンタルアップグレードアイコン
item-10001552,M38メンタルアップグレードアイコン
item-20001552,M38メンタルアップグレードアイコン
item-10001553,NTW-20メンタルアップグレードアイコン
item-20001553,NTW-20メンタルアップグレードアイコン
item-10001554,アイコン：吉祥の前触れ
item-20001554,アイコン：吉祥の前触れ
item-10001555,背景：雪情映す閑庭
item-20001555,背景：雪情映す閑庭
item-10001556,巫女の大吉おみくじ
item-20001556,巫女の大吉おみくじ
item-10001557,福ねずみの寝正月
item-20001557,福ねずみの寝正月
item-10001558,花びらの羽子板
item-20001558,花びらの羽子板
item-10001559,花と夢の破魔矢
item-20001559,花と夢の破魔矢
item-10001560,迎春の獅子舞
item-20001560,迎春の獅子舞
item-10001561,紅梅白雪
item-20001561,紅梅白雪
item-10001562,君とともに
item-20001562,君とともに
item-10001563,IDカード背景：雪上の騎獣士
item-20001563,IDカード背景：雪上の騎獣士
item-10001564,
item-20001564,
item-10001565,真核の仮面記念アイコン：偏極光
item-20001565,真核の仮面記念アイコン：偏極光
item-10001566,アイコン：イデア
item-20001566,アイコン：イデア
item-10001567,IDカード背景：怒砲来たれり
item-20001567,IDカード背景：怒砲来たれり
item-10001568,
item-20001568,
item-10001569,
item-20001569,
item-10001570,
item-20001570,
item-10001571,
item-20001571,
item-10001572,
item-20001572,
item-10001573,
item-20001573,
item-10001574,
item-20001574,
item-10001575,
item-20001575,
item-10001576,
item-20001576,
item-10001577,
item-20001577,
item-10001578,スケアクロウアイコン
item-20001578,スケアクロウアイコン
item-10001579,エクスキューショナーアイコン
item-20001579,エクスキューショナーアイコン
item-10001580,
item-20001580,
item-10001584,
item-20001584,
item-10001585,ドラグーンアイコン
item-20001585,ドラグーンアイコン
item-10001586,
item-20001586,
item-10001587,
item-20001587,
item-10001589,
item-20001589,
item-10001591,
item-20001591,
item-10001592,
item-20001592,
item-10001593,ガーディアンアイコン
item-20001593,ガーディアンアイコン
item-10001594,イェーガーアイコン
item-20001594,イェーガーアイコン
item-10001595,
item-20001595,
item-10001597,
item-20001597,
item-10001598,
item-20001598,
item-10001600,
item-20001600,
item-10001601,
item-20001601,
item-10001602,
item-20001602,
item-10001603,
item-20001603,
item-10001604,
item-20001604,
item-10001605,
item-20001605,
item-10001606,
item-20001606,
item-10001607,
item-20001607,
item-10001608,いちごケーキとハルシャギク
item-20001608,いちごケーキとハルシャギク
item-10001609,
item-20001609,
item-10001610,
item-20001610,
item-10001611,アイコン：ツァボライト少女
item-20001611,アイコン：ツァボライト少女
item-10001612,アイコン：記述魔眼
item-20001612,アイコン：記述魔眼
item-10001613,IDカード背景：光陰の果て
item-20001613,IDカード背景：光陰の果て
item-10001614,背景：黄昏の城
item-20001614,背景：黄昏の城
item-10001615,
item-20001615,
item-10008001,情報ポイント
item-20008001,
item-10008002,情報ポイント
item-20008002,ヴァルハラコラボ情報ポイント
item-10008003,機密ファイル
item-20008003,
item-10009001,物資箱
item-20009001,冬イベント物資箱
item-10001489,一〇〇式一周年記念アイコン
item-20001489,一〇〇式一周年記念アイコン
item-10100001,紅包
item-20100001,紅包から得る報酬
item-10100002,スキン抽選券
item-20100002,スキン抽選券
item-10100003,魔素
item-20100003,魔素
item-10100004,物資箱
item-20100004,物資箱から得る報酬
item-10100005,
item-20100005,
item-10100006,ジンジャークッキー
item-20100006,ジンジャークッキー
item-10100007,物資箱
item-20100007,物資箱
item-10100008,イースターエッグ
item-20100008,イースターエッグ
item-10100009,リスペクトクラウン
item-20100009,リスペクトクラウン
item-10100010,真核の仮面
item-20100010,真核の仮面
item-10100011,アニバーサリースキン引換券
item-20100011,アニバーサリースキン引換券
item-10100012,超合金チマキ
item-20100012,超合金チマキ
item-10100013,狐のお面
item-20100013,狐のお面
item-10100014,物資箱
item-20100014,夏イベント物資箱
item-10100015,ジャックオーランタン
item-20100015,ジャックオーランタン
item-10100016,魔素
item-20100016,魔素
item-10100017,
item-20100017,
item-10100018,
item-20100018,
item-10100019,ショコラドッグ
item-20100019,ショコラドッグ
item-10100020,
item-20100020,
item-10100021,物資箱
item-20100021,
item-10100022,
item-20100022,
item-10100023,ホワイトナイトの欠片
item-20100023,ホワイトナイトの欠片
item-10100024,戦術スイカ
item-20100024,戦術スイカ
item-10100028,リスペクト・クラウン
item-20100028,リスペクト・クラウン
item-10100029,もみの星飾り
item-20100029,もみの星飾り
item-10900030,新星勲章
item-20900030,新星勲章
item-10900031,白金勲章
item-20900031,白金勲章
item-10900032,新星勲章
item-20900032,新星勲章
item-10900033,白金勲章
item-20900033,白金勲章
item-10100032,
item-20100032,
item-10100033,新星勲章・写真館の謎
item-20100033,新星勲章・写真館の謎
item-10100034,白金勲章・写真館の謎
item-20100034,白金勲章・写真館の謎
item-10100035,オレンジコイン
item-20100035,オレンジコイン
item-10110001,イベントポイント
item-20110001,イベントポイント
item-10110002,イベントポイント
item-20110002,イベントポイント
item-10110003,イベントポイント
item-20110003,イベントポイント
item-10110004,イベントポイント
item-20110004,イベントポイント
item-10110005,イベントポイント
item-20110005,イベントポイント
item-10110006,イベントポイント
item-20110006,イベントポイント
item-10110007,イベントポイント
item-20110007,イベントポイント
item-10110008,イベントポイント
item-20110008,イベントポイント
item-10110009,イベントポイント
item-20110009,イベントポイント
item-10110010,イベントポイント
item-20110010,イベントポイント
item-10110011,イベントポイント
item-20110011,イベントポイント
item-10110012,イベントポイント
item-20110012,イベントポイント
item-10110013,イベントポイント
item-20110013,イベントポイント
item-10110014,イベントポイント
item-20110014,イベントポイント
item-10110015,イベントポイント
item-20110015,イベントポイント
item-10110016,イベントポイント
item-20110016,イベントポイント
item-10110017,イベントポイント
item-20110017,イベントポイント
item-10110018,イベントポイント
item-20110018,イベントポイント
item-10110019,イベントポイント
item-20110019,イベントポイント
item-10110020,イベントポイント
item-20110020,イベントポイント
item-10110021,イベントポイント
item-20110021,イベントポイント
item-10110022,イベントポイント
item-20110022,イベントポイント
item-10110023,イベントポイント
item-20110023,イベントポイント
item-10110024,イベントポイント
item-20110024,イベントポイント
item-10110025,イベントポイント
item-20110025,イベントポイント
item-10110026,イベントポイント
item-20110026,イベントポイント
item-10110027,イベントポイント
item-20110027,イベントポイント
item-10110028,イベントポイント
item-20110028,イベントポイント
item-10110029,イベントポイント
item-20110029,イベントポイント
item-10007001,キャンディポケット
item-20007001,携行バックをあてがった当初の目的は、任務へ向かう皆に消耗品を少しでも多く持たせてやるためであった。しかし、大多数は自分のお菓子を入れるために使用している。
item-10007002,余った部品
item-20007002,指揮官は皆の万一に備え、予備の部品を持たせているが、それがかえって荷物の重量増加につながっていた。なのでゲームオタクの人形たちは、密かに問題の解決方法を編み出したのであった。
item-10007003,心配性
item-20007003,知っていることが増えると、心配になることも増えていく。しかし、焦ることに意味はないのだ。私たちにできることは、できることをしっかりとこなすこと。
item-10007004,恋愛脳
item-20007004,ケーキ、チョコ、ラブレター……あなたが今日受け取ったのはどれかしら？もしかして全部受け取っちゃったりして？でも本当に受け取ったときは、他の子に気づかれないようにしてね！
item-10007005,ナイーブ
item-20007005,考えてることが多すぎると、集中力は散漫としがち。気分転換してみるのは悪くない選択とのことだが、ヘリアンのすすめた方法は任務に明け暮れること、カリーナのすすめた方法は、彼女からもっとたくさん買い物をすること。
item-10007006,あぶく
item-20007006,口から出るあぶくを漂わせながら他の人形と交流するやつがいるのだろうか？あるいは引きこもりで、それを理由に君を社会に引き込もうとするやつらを撃退しているのかもしれない。
item-10007007,プリンセス症候群
item-20007007,この病気がいつ発生したのかはわからない。この病気の患者は自身の頭からこんな泡を出てることを知ったとしたも、同じように奇行に走るだろうか。。
item-10007008,金塊の夢
item-20007008,金塊の夢って金塊みたいな形をしているわけじゃないの？そりゃ勿論、金塊が天から降ってくるなんて夢物語に過ぎないのだから。
item-10007009,滅紫のブルース
item-20007009,この憂鬱な曲を聴いていると、紫がかったもやの中で時間と共に散っていった過去が思い起こされる……どうしてなのだろう……
item-10007010,黄金のララバイ
item-20007010,どんなに危ない夢の中にいようと、この歌を鼻歌で口ずさめば、あなたは無敵な黄金の戦士になる。
item-10007011,翠緑のオラトリオ
item-20007011,こんなにも高潔な演奏をする奏者は、さくらんぼ好きに違いない。馴染み深い緑色の音を捉えるたび、こう思わずにはいられないのだ。
item-10007101,指揮官衣装-水着エフェクト
item-20007101,指揮官衣装-水着エフェクト
item-10007102,指揮官衣装-夏イベント衣装セットエフェクト
item-20007102,指揮官衣装-夏イベント衣装セットエフェクト
item-10007103,
item-20007103,
item-10007104,
item-20007104,
item-10006001,普通の肉まん
item-20006001,普通にお腹を満たすことができ、やる気もわずかに上がる――ないよりはまし。
item-10006002,一せいろの肉まん
item-20006002,お店で売られていたせいろ一つ分の肉まん。簡単な一食としては十分な量。やる気を少し上げてくれる。
item-10006003,プレミアム肉まん
item-20006003,豪華絢爛なレリーフがあしらわれた紫檀の箱に山盛りの肉まん、ゴキゲンな量。一気食いさせると探索にかかる時間がそれなりに短くなる。
item-10006004,平民の標準装備
item-20006004,単品購入したハンバーガーとポテト。わずかに報酬の獲得確率をあげてくれるが、ホンモノの豪運の持ち主はこんな小細工は弄さない。
item-10006005,お一人様大満足セット
item-20006005,一人飯において必要な要素全てを詰め込んだセット。品数と共に、報酬獲得確率も増えた、一石二鳥とはまさにこのこと。
item-10006006,お二人様お幸せセット
item-20006006,倍のカロリー、倍の楽しさ、そして三倍になった報酬獲得確率の上昇値。分かち合える朋友がいるとは、いいものだな。
item-10006007,1ピースのチーズケーキ
item-20006007,切り分けられたストロベリーチーズケーキ。食欲を満たすのなら、最良の選択だろう。しかも、帰還報酬の獲得量もわずかに増やしてくれるおまけつき。
item-10006008,ウィークリーケーキセレクト
item-20006008,個別包装された配達用のケーキ。一週間のスイーツ欲を満たしてくれる上に、人形に持たせれば帰還報酬の獲得量も少し増える――受取人へ：防腐剤は食べ物ではありません。
item-10006009,スウィーツの宝箱
item-20006009,スウィーツ好きのためのケーキ5ピースセット。一気に食べてしまうと摂取カロリーがとんでもないことになるが、帰還報酬獲得量はそれなりに増えるので、損はしていない計算。
item-10006010,「Baby//cB-A-B-Y.」
item-20006010,街中で天才ドライバーを演じていたって、君は未だにコーヒーの買い出し係。でも都会にはこういう魅力がある、そうでしょ？
item-10006011,屋台のおでん
item-20006011,ドラゴンとの戦いに赴く戦士が出発前に必ず山盛りの肉を食べるのと同じように、このおでんも雪原に赴く者のために用意された食事――当然、食べた時に大して熱いと感じなかったのであれば、冷ます必要はない。
item-10006012,野生蜂蜜セット
item-20006012,食べられる蜂の巣があるっていうのに、誰が蜂蜜なんて欲しがる？熊ならあるいは欲しがるかもしれない。天然の蜂の巣なら熊に森に関する全てを思い起こさせることもできるし、知らず知らずのうちに森へと返すこともできる。
item-10006013,アイス劇場
item-20006013,ウイスキーの中に放り込まれる場合を除けば、溶けて水になることが氷には宿命づけられている。このアイスは貴方と共に砂漠に行き、貴方の愛で溶かされることを望んでいる……はず。
item-10004001,都市の贈り物
item-20004001,はるか昔に作られた組み立てブロック玩具の一種。非常に精巧な作りのため、現在では複製が難しい。そのため、紛争の多い地域では貨幣として使用されており、大量の物資と交換ができるようだ。
item-10004002,雪原の贈り物
item-20004002,氷雪に閉ざされた凍土では、過去の大戦で使用された武器がよく拾える。このような戦火の痕がある木製ハンドガードは、安全な地域で暮らす戦争未経験の愛好家に人気。
item-10004003,森林の贈り物
item-20004003,今ではめっきり見なくなってしまったブナ科の植物の果実。最近になって新しい骨董品として扱われ始めたため、価格が暴騰したらしい。安全な地域では、これをブレスレットにしたものを片手でいじりながら、自慢話しているお兄さん方をよく見る。
item-10004004,荒野の贈り物
item-20004004,汚染区域にて採取したコーラップス液のサンプル。怪しげな緑の光を放つことと人をゾンビに変えること以外には大した用途もないのだが、怪しげな宗教団体が高値で買い取ってくれる。
item-10000601,ランダム染色剤
item-20000601,その色は果たして自分に似合うかどうかは、誰にも分からない。ならば、ランダム性がもたらすサプライズに期待しようではないか。
item-10000602,カラー指定染色剤
item-20000602,もう十連ガチャで欲しい色が出ないことで落ち込む必要はない。自分の望む色は、自分の手で選ぶべきだ！
item-10000603,模擬作戦基礎PE
item-20000603,融合演習を行う際に使用される。融合勢力の強化に必要な素材を手に入れることができる。
item-10010603,模擬作戦超伝導PE
item-20010603,融合演習を行う際、PEが足りていない場合に使用される。ショップにて入手可能。「決められた供給に尽きることのない消費。これぞまさしく市場、ですね！」
item-10000604,電子パルス
item-20000604,電子パルス
item-10010604,超伝導パルス
item-20010604,電子パルスが足りていない場合に使用される。ログインボーナス等の方法で入手でき、通常回収を行うことができる。
item-10000605,協力委託書
item-20000605,混合勢力の捕獲協力を、スヴァローグ重工へ要請できる証明書。カリーナが言うに、この証明書を手に入れるのに莫大なコストがかかっているという。「指揮官さま、使いどころはよーく考えてくださいね！」
item-10000512,超星コア
item-20000512,初期ランクが☆2、☆3の融合勢力のユニットからドロップする、キラキラと輝く星状の塊。コアショップにて交換することができる。
item-10000513,暗星コア
item-20000513,初期ランクが☆1の融合勢力のユニットからドロップする、ほの暗く光る星状の塊。コアショップにて交換することができる。
item-10000606,遷移触媒
item-20000606,融合ユニット2体の育成度を入れ替えることができる。「目を醒ますと、また無一文になっていた」。
item-10000514,開発シャーレ
item-20000514,エーテル開発に使われる素材。開発調節訓練にて入手可能。
item-10000515,初級訓練ディスク
