furniture-10030001,かぼちゃクマさん
furniture-10001001,喫茶店-ソファベッド
furniture-20001001,「何の変哲もないただのソファじゃん、って？だって喫茶店のソファは寝るためのものでしょ。」
furniture-10001002,喫茶店-チェックタイル
furniture-20001002,どうしてタイルでカーペットじゃないのかって？コーヒーをカーペットにこぼしたら大惨事だからよ。
furniture-10001003,喫茶店-ブリキチェア(左)
furniture-20001003,典型的なフランスデザインのチェア。見た目は武骨だが、作りが頑丈なため大量生産に向いている。どこの喫茶店でも必需品。
furniture-10001004,喫茶店-ブリキチェア(右)
furniture-20001004,典型的なフランスデザインのチェア。見た目は武骨だが、作りが頑丈なため大量生産に向いている。どこの喫茶店でも必需品。
furniture-10001005,喫茶店-コーヒーメーカー置き
furniture-20001005,喫茶店の主要設備。既にレトロなコーヒーメーカーが設置されているが、手で淹れる道具だってちゃんと備わっている。
furniture-10001006,喫茶店-案内板とショーケース
furniture-20001006,廃棄された飛行場からいただいてきた案内板と、ドリンクやデザートでいっぱいの冷蔵ショーケース。これぞ幸せの源（冷えたコーラが入っている場合は鍵をかけてね）。
furniture-10001007,喫茶店-コンクリートフロア
furniture-20001007,コンクリートの床。見た目は無骨だけど掃除は楽だし、芸術家たちからの評価も高い。
furniture-10001008,喫茶店-コーヒーテーブル
furniture-20001008,台座は金属製の凝った作りで、原木の天板には長年使われてきた痕跡が残り、重厚な質感をもつ。
furniture-10001009,喫茶店-グレーのレンガ壁
furniture-20001009,ダークグレーのレンガ壁が人々の心を落ち着ける。道理でみんな店に長居するわけだ。
furniture-10001010,喫茶店-コーヒーラック
furniture-20001010,以前は世界各地の厳選されたコーヒー豆を空輸で運んできていたが、今は命懸けでクルーガーさんの個人倉庫からくすねてきている。
furniture-10001011,喫茶店-黒板メニュー
furniture-20001011,黒板は文芸喫茶の定番ともいえよう。様々な食べ物や飲み物のメニューが書き込まれているが、そこで戦術少女が絵の才能を発揮していることも。
furniture-10001012,喫茶店-大型看板
furniture-20001012,このMはマグナム(MAGNUM)のMであって、他意はない。
furniture-10001013,喫茶店-二面長窓
furniture-20001013,商業ビル風の長窓。外の通りは2020年のブルックリンで撮影したもの。
furniture-10001101,暖冬の和室-あったかお布団
furniture-20001101,あぁ……この世でいちばんあったかい場所。キミさえいれば、世界に立ち向かうこともできそうだ。
furniture-10001102,暖冬の和室-リビングボード
furniture-20001102,収納にもってこいの棚。色々装飾品を飾り付けることもできるけど、やがて大きな装飾品になるよ。
furniture-10001103,暖冬の和室-丸型クッション
furniture-20001103,ふかふかのクッション。場合によっては正座してもOKだけど……どの人形がアヒル座りができないか知ってる？
furniture-10001104,暖冬の和室-雛人形
furniture-20001104,特別な日にだけ飾られる雛人形。人形の衣装を取り替えることも……ちょっと、これ誰の仕業？！
furniture-10001105,暖冬の和室-ミニキャビネット
furniture-20001105,私物の収納用。丸い化粧鏡がぴったり……ってP7、人の目に直接反射させちゃダメ！
furniture-10001107,暖冬の和室-行燈
furniture-20001107,点灯させると美しい模様が浮かび上がるので、器用な人形は別の絵柄も作ってみたり……って怖いのは禁止！
furniture-10001108,暖冬の和室-パーテーション
furniture-20001108,小柄な人形はこれが大好き。子供の頃……ジャンプして上にタオルを掛ける遊びをしませんでしたか？
furniture-10001109,暖冬の和室-ぬくぬくこたつ
furniture-20001109,いつ運び出すつもり？微かな光を発し、あなたの身も心もがっちり掴んで離さない、この甘美な悪魔を……
furniture-10001110,暖冬の和室-和風の壁紙
furniture-20001110,見た目こそシンプルだけど、細かく作り込まれている壁紙。ゆるやかな日常の雰囲気にはぴったりだけど、仕事も忘れないようにね。
furniture-10001111,暖冬の和室-神棚
furniture-20001111,神様を祀った小さなスペース。……神様も寒いのかな？高いところは大丈夫なのかな？やっぱりあんまり高所はやめたほうがいい？
furniture-10001112,暖冬の和室-だるまの掛け軸
furniture-20001112,七転八起の象徴、簡単には倒れないだるまさん！……だから！私だってそう簡単にこたつからは出ないわよ！
furniture-10001113,暖冬の和室-風流な丸窓
furniture-20001113,窓を通して、冬とともにインスピレーションが到来し、暖かい室内でちょっとしたポエムが生まれる。
furniture-10001114,暖冬の和室-畳
furniture-20001114,い草で編んだ天然の畳は、そのまま上で寝転がることもできる。すべてを忘れて、ごろごろしちゃおう！
furniture-10001201,厳冬の和室-あったかお布団
furniture-20001201,あぁ……この世でいちばんあったかい場所。キミさえいれば、世界に立ち向かうこともできそうだ。
furniture-10001202,厳冬の和室-リビングボード
furniture-20001202,収納にもってこいの棚。色々装飾品を飾り付けることもできるけど、やがて大きな装飾品になるよ。
furniture-10001203,厳冬の和室-丸型クッション
furniture-20001203,ふかふかのクッション。場合によっては正座してもOKだけど……どの人形がアヒル座りができないか知ってる？
furniture-10001204,厳冬の和室-雛人形
furniture-20001204,特別な日にだけ飾られる雛人形。人形の衣装を取り替えることも……ちょっと、これ誰の仕業？！
furniture-10001205,厳冬の和室-ミニキャビネット
furniture-20001205,私物の収納用。丸い化粧鏡がぴったり……ってP7、人の目に直接反射させちゃダメ！
furniture-10001207,厳冬の和室-行燈
furniture-20001207,点灯させると美しい模様が浮かび上がるので、器用な人形は別の絵柄も作ってみたり……って怖いのは禁止！
furniture-10001208,厳冬の和室-パーテーション
furniture-20001208,小柄な人形はこれが大好き。子供の頃……ジャンプして上にタオルを掛ける遊びをしませんでしたか？
furniture-10001209,厳冬の和室-ぬくぬくこたつ
furniture-20001209,いつ運び出すつもり？微かな光を発し、あなたの身も心もがっちり掴んで離さない、この甘美な悪魔を……
furniture-10001210,厳冬の和室-和風の壁紙
furniture-20001210,見た目こそシンプルだけど、細かく作り込まれている壁紙。ゆるやかな日常の雰囲気にはぴったりだけど、仕事も忘れないようにね。
furniture-10001211,厳冬の和室-神棚
furniture-20001211,神様を祀った小さなスペース。……神様も寒いのかな？高いところは大丈夫なのかな？やっぱりあんまり高所はやめたほうがいい？
furniture-10001212,厳冬の和室-だるまの掛け軸
furniture-20001212,七転八起の象徴、簡単には倒れないだるまさん！……だから！私だってそう簡単にこたつからは出ないわよ！
furniture-10001213,厳冬の和室-風流な丸窓
furniture-20001213,窓を通して、冬とともにインスピレーションが到来し、暖かい室内でちょっとしたポエムが生まれる。
furniture-10001214,厳冬の和室-畳
furniture-20001214,い草で編んだ天然の畳は、そのまま上で寝転がることもできる。すべてを忘れて、ごろごろしちゃおう！
furniture-10001301,鉄血工造-休眠ポットSP-B04
furniture-20001301,イントゥルーダー：毛布の柄、ベットから滑り落ちていきそうな感じですわ……//nエージェント：人間の心理学の見過ぎでは？毛布をひっくり返しみたらどうでしょう？
furniture-10001302,鉄血工造-モダンラグSP-H03
furniture-20001302,ハンター：奇妙な模様のせいで、3Dと錯覚することがしょっちゅうだよ。//nイントゥルーダー：錯覚ではないかもしれませんよ。
furniture-10001303,鉄血工造-金属製椅子SP-F01
furniture-20001303,エクスキューショナー：確かにクールだが、スカートを履いていない人形には合わねぇだろ……
furniture-10001304,鉄血工造-金属製椅子SP-F02
furniture-20001304,エクスキューショナー：確かにクールだが、スカートを履いていない人形には合わねぇだろ……
furniture-10001305,鉄血工造-デザインライトSP-A06
furniture-20001305,アルケミスト：グリフィンの人形をねじ込めば、完璧な芸術品の出来上がりだ、フフ……
furniture-10001306,鉄血工造-バルコニーSP-A08
furniture-20001306,エージェント：アーキテクト、こんど開けるときは外を確認してからにしてくださいね。デストロイヤーがドアをぶつけられて何度も泣いていますので。
furniture-10001307,鉄血工造-スクエアフロアSP-D11
furniture-20001307,ドリーマー：この隙き間が生きていて、ある晩とつぜんあんたを吸い込んだとしたら……
furniture-10001308,鉄血工造-フロアランプSP-I04
furniture-20001308,イントゥルーダー：花はライトの光に騙されて夜に咲くのでしょうか？事実はどうあれ切ないですね……
furniture-10001309,鉄血工造-ソファSP-A09
furniture-20001309,アーキテクト：ソファ大好き！特にこういう風に上に引っ掛けるのが！//nゲーガー：クッションに髪を挟まないよう気をつけろよ。
furniture-10001310,鉄血工造-螺旋階段SP-F03
furniture-20001310,ハンター：こんな非効率な階段、カッコつけたロングスカートのやつにしか合わないだろ……
furniture-10001311,鉄血工造-多目的テーブルSP-Z08
furniture-20001311,エージェント：今月はこれで3つ目ですよ。アーキテクトがまた腰掛けてるのを見た人は、すぐに引きずりおろしてくださいね。//n補足：彼女がデストロイヤーを抱っこしてるときは要注意。
furniture-10001312,鉄血工造-プリズム壁紙SP-G07
furniture-20001312,ゲーガー：明るさと周波数が調節できて、戦闘、日常、会議等、何にでも合ってコストも抑えられるお勧めの逸品だ。
furniture-10001313,鉄血工造-操作コンソールSP-S03
furniture-20001313,ハンター：タッチスクリーン操作なのに……なんでキーボードが要るんだ？//nスケアクロウ：デストロイヤーのためだそうです。
furniture-10001314,鉄血工造-鉄血プラカードSP-A01
furniture-20001314,スケアクロウ：わたしが何者なのか、この世界とは、運命とは何なのかを永遠に忘れません。
furniture-10001315,鉄血工造-監視カメラSP-E01
furniture-20001315,エクスキューショナー：おい、なんで急にこんなもん設置してんだよ！//nスケアクロウ：……知りたくないんですか？誰がわたしたちの割引券を盗んだのかを。
furniture-10001316,鉄血工造-監視カメラSP-E02
furniture-20001316,エクスキューショナー：おい、なんで急にこんなもん設置してんだよ！//nスケアクロウ：……知りたくないんですか？誰がわたしたちの割引券を盗んだのかを。
furniture-10001317,鉄血工造-格子窓SP-I04
furniture-20001317,イントゥルーダー：ずっと見てると監禁されてるような気がしてきますわ…… //n//nドリーマー：もしかしたら、外こそが監獄かもよ。
furniture-10001401,クリスマス-そり型ベッド
furniture-20001401,「こんなに素晴らしい天気なんだ、さぁ、一緒にそりで滑ろう！」
furniture-10001402,クリスマス-ホーリーラグ
furniture-20001402,「ジングルベール♪ジングルベール♪鈴がぁ鳴るぅ～♪今日はぁ楽しいクリスマス！オー！」
furniture-10001403,クリスマス-Xmas一人掛けソファ(左)
furniture-20001403,「去年のクリスマスには、私の心をプレゼントしたの。だけどその人は翌日、それを編制拡大に使ったのよ！」
furniture-10001404,クリスマス-Xmas一人掛けソファ(右)
furniture-20001404,「去年のクリスマスには、私の心をプレゼントしたの。だけどその人は翌日、それを編制拡大に使ったのよ！」
furniture-10001405,クリスマス-聖夜の蓄音機
furniture-20001405,「いつまでも、いつまでも、あなたの横で歌を唄い、花とともに舞い、鳥とともにありたい。」
furniture-10001406,クリスマス-司令部の暖炉
furniture-20001406,「彼は君がぐっすり眠っている間に訪れるんだ。もちろん、君がいい子にしていたかどうかも知っているよ。……いい？P7、今晩はぜったい暖炉に火を起こさないでね！」
furniture-10001407,クリスマス-あったかフローリング
furniture-20001407,「彼らは外で縮こまりながら羊の番をする。冬の寒夜はとても長い。」
furniture-10001408,クリスマス-Xmasソファ
furniture-20001408,「外は寒風が吹きすさんでいる。家の中では暖炉の火が赤々と燃えている。君も私も出かける必要はない。雪よ、風に乗って好きに舞うんだ！」
furniture-10001409,クリスマス-聖夜のディナーテーブル
furniture-20001409,「いいことも教えてあげたし、クリスマスのお祝いの言葉も言ってあげたんだから、満腹にさせてもらえるまでは帰らないからね！」
furniture-10001410,クリスマス-司令部クリスマスツリー
furniture-20001410,「子供たちへのプレゼントはカラフルにラッピングされているし、サンタクロースはただの伝説なんかじゃないと思う。」
furniture-10001411,クリスマス-Xmasデコウォール
furniture-20001411,「ほら、あそこにヤドリギの枝が掛けられている。あの人が君を待ってるんだよ……」
furniture-10001412,クリスマス-Xmas壁飾り
furniture-20001412,「約束よ。口づけを交わして、互いの本当の気持ちを教えあいましょう？そして満天の星空の下、遥かな貴方にメリークリスマスと一言伝えるの。」
furniture-10001413,クリスマス-聖夜の時計窓
furniture-20001413,「がらんどうの部屋が私を孤独にする。出来る事と言えば、時間が刻々と流れていくのを見つめることだけ。」
furniture-10001501,コンビニ-エアーベッド
furniture-20001501,冷えた飲み物は常に見張っていないといけない。だからマットレスは必需品なのだ。
furniture-10001502,コンビニ-バリケード
furniture-20001502,本部では強盗の心配は不要だが、ほかの小隊の戦術人形は強盗より1万倍は危険。特に食いしん坊のあいつとか。
furniture-10001503,コンビニ-マットタイル
furniture-20001503,見た目はタイルのようだが、上に立って初めてそれがゴムマットとだと分かる。戦前の人間の苦心がここに現れている。
furniture-10001504,コンビニ-レジカウンター
furniture-20001504,ここではグリフィンのチャージカード、現金等、複数の支払方法が使用可能。ほら、ボトルの蓋を持って帰れ。ゲームのやりすぎだ。
furniture-10001505,コンビニ-スピリッツショーケース
furniture-20001505,指揮官にひとつ真面目な提案があって、アルコールの棚をレジの後ろに移しましょう。戦術人形も酔っぱらうことがあるからね。なんでそんなことを知っているかは訊かないで。
furniture-10001506,コンビニ-商品ラックA
furniture-20001506,スーパーマーケットが消費主義の廃墟の上に建つ教会なら、商品を満載したラックは聖歌隊といったところだろう。
furniture-10001507,コンビニ-商品ラックB
furniture-20001507,豆知識：スーパーでは、人気のない商品はふつう一番下の段に置かれている。
furniture-10001508,コンビニ-冷蔵ショーケース
furniture-20001508,なんてこった！戦後のこの世界の端っこにある小さな防御地区でも、飲料戦争が今なお続いているとは。
furniture-10001509,コンビニ-ハイテーブル
furniture-20001509,電子レンジで温めたインスタント食品を食べながら、外の風雪の中をそそくさと去っていく人たちを眺める。幸せはこんなちょっとしたことでも訪れる。
furniture-10001510,コンビニ-古いテレビ
furniture-20001510,電波が悪いようなら、ちょっと叩いてみて。直らなかったとしても、大事なのは頑張る姿勢だからね。
furniture-10001511,コンビニ-コンビニ壁紙
furniture-20001511,ビニール製なので手入れも交換も楽ちん。裏にはヒーターも付いている。
furniture-10001512,コンビニ-宣伝ポスター
furniture-20001512,「世界に平和を……」「はいはい、そうね。銃を置いてゆっくり話してごらん」
furniture-10001513,コンビニ-防犯ミラー
furniture-20001513,万引き監視のための装置なのだが、戦術人形はよくこの下で髪を整えている。
furniture-10001514,コンビニ-ハイスツール(右)
furniture-20001514,ハイテーブルは立ったまま食事ができるよう設計された物だが、ハイスツールは新たに人をハイテーブルの前に座らせるという不可解な物。
furniture-10001515,コンビニ-ハイスツール(左)
furniture-20001515,ハイテーブルは立ったまま食事ができるよう設計された物だが、ハイスツールは新たに人をハイテーブルの前に座らせるという不可解な物。
furniture-10001601,雪のドーム-白熊ベッド
furniture-20001601,夢の中でもあなたを守り続けてくれる熊。いいでしょう？ちょーっと大きいですけど。
furniture-10001602,雪のドーム-氷穴ラグ
furniture-20001602,この上に差し掛かると、誰でも思わずビクッとします。ただしコルトだけは別、彼女は本当に落ちてみたいと思ってるんですから。
furniture-10001603,雪のドーム-ブロックアイス
furniture-20001603,強化ガラス製で、必要なときに内蔵ヒーターをオンにすれば、風邪をひく心配も不要。
furniture-10001604,雪のドーム-ブロックアイス（足跡付き）
furniture-20001604,強化ガラス製で、必要なときに内蔵ヒーターをオンにすれば、風邪をひく心配も不要。なぜ足跡が付いたのかは不明。
furniture-10001605,雪のドーム-雪原の風景
furniture-20001605,魅力が詰まった極地の風景を大画面にて演出。誰もが大自然の不思議に感嘆しきり。
furniture-10001606,雪のドーム-ウッドシェルフ
furniture-20001606,先住民のスタイルを真似るため、雑多な物を置いてある。m45がくれたニシンの缶詰は誰も開けようとはしない。
furniture-10001607,雪のドーム-赤ちゃんアザラシ
furniture-20001607,人工的な材料を使っているので、環境保護団体から抗議を受ける心配はない。アザラシの赤ちゃんが持つ可愛らしさを再現。
furniture-10001608,雪のドーム-赤ちゃんアザラシ（睡眠中）
furniture-20001608,一部の指揮官がアザラシに敵意を抱いているという報告を受けたグリフィンが、皆に思いやりの心を育むためにわざわざ誂えたぬいぐるみ。
furniture-10001609,雪のドーム-トライバルソファ
furniture-20001609,手染めの織物で作られたカバーの上に座っていると、部族の長になった気分が味わえる。
furniture-10001610,雪のドーム-素朴な暖炉
furniture-20001610,簡単に組み立てられるストーブ。炎はビジョンだがファンヒーターを内蔵しているため、本当に暖かい。毛織物で作ったWA2000雪だるまはオマケ。
furniture-10001611,雪のドーム-切り株テーブル
furniture-20001611,巨大な切り株型のテーブル。ナイフで表面に何かを彫ろうものなら、ヘリアンに連行されて矯正指導される。
furniture-10001612,雪のドーム-グリフィンの旗
furniture-20001612,「世界が本当に滅んだら、この旗印を使って原始社会からやり直そう！」「いや、勘弁してください。」
furniture-10001613,雪のドーム-鹿の剥製
furniture-20001613,静かな佇まいの陶器で作られた工芸品。みんな、動物を保護しよう！
furniture-10001614,雪のドーム-冬夜の壁紙
furniture-20001614,極地を連想させるような色合いの壁紙。夏は涼しそうでいいが、冬は寒そう。
furniture-10001615,雪のドーム-スノーランド
furniture-20001615,見ていると雪の中を歩いているよう。残念ながら足跡は付かないし、雪だるまも作れないけれど。
furniture-10001701,旧正月の夜-太鼓橋
furniture-20001701,漢陽88式：橋のした、川が流れるサラサラと。これは誰もが知ってる童謡の出だしですよ。//nNZ75：ふん、本当に子供たちが歌ってるからといって、大していい歌詞でもないだろ。
furniture-10001702,旧正月の夜-石造りの腰掛け(左)
furniture-20001702,59式：これのいいところは、どの方向から跨いでも木馬にできるとこだよ～！//n63式：ちょっとちょっと、気をつけて、また転がっていかないでくださいよ！
furniture-10001703,旧正月の夜-蓮と水車
furniture-20001703,97式：お姉ちゃん、これ何の役に立つの？水も変えなきゃいけないなんて……//n95式：ほら、今晩のレンコンの揚げ物はこれを使うのよ。//n97式：ええっ、この池って本物？！
furniture-10001704,旧正月の夜-爆竹屋台
furniture-20001704,97式散：祝日の娯楽は適度じゃないとね。環境に悪いとか、安全に問題があるとかはダメよ。//n56式半：みんなで歌を唄ったり、踊ったりもダメですか？//n97式散：あなたのあの年代の歌や踊りじゃ、みんなが付いてこられないでしょ……
furniture-10001705,旧正月の夜-氷飴屋台
furniture-20001705,79式：サンザシ以外の、ほかの得体のしれないものは氷飴界から追放するべきです！//nM99：ええっ……他のフルーツ氷飴があってもいいじゃないですか！
furniture-10001706,旧正月の夜-紙工芸屋台
furniture-20001706,79式：なんで一気にこんなに作ったんですか、あなたらしくないですよ。//n92式：売れ残ったら元宵節に使い回そうと思いまして。なんなら中秋節もこれで……
furniture-10001707,旧正月の夜-石造りの欄干
furniture-20001707,59式：これはこの国伝統の健康器具の1つだよ。//n63式：ちょっと、あなたたち！それは鉄棒じゃないんです。気をつけないとまた落ちますよ！
furniture-10001708,旧正月の夜-丸いランタン
furniture-20001708,95式：家族みんなでランタンを観賞できてよかったね～？//n97式：まあ、たまには……悪くないわね。
furniture-10001709,旧正月の夜-石畳
furniture-20001709,M99：素朴できれいに並んでいるタイルから何を連想します？//n56-1式：ん～、公園で太極拳してるお爺ちゃん？//nM99：あなたをこのまま学校に在籍させるには、先生と相談する必要がありますね……
furniture-10001710,旧正月の夜-石造りの円卓
furniture-20001710,56-1式：もう一勝負どう？負けた人が今晩の料理担当ね！//n64式：ハァ……私に料理してほしいなら、そう言ってくださいよ。知ってるでしょう、私が五目並べ苦手なの……
furniture-10001711,旧正月の夜-お金のなる木
furniture-20001711,92式：もし本当なら、今後は経費の心配が要りませんわね。//n56式半：自分で生活を豊かにしましょう！そんな迷信なんて当てにしちゃいけません！
furniture-10001712,旧正月の夜-夜空に昇る灯火
furniture-20001712,64式：いつの時代も、みんな幸せを望むけれど、どうして……//n56-1式：だから、あたし達がいるんじゃないですか。
furniture-10001713,旧正月の夜-宝船
furniture-20001713,漢陽88式：金の山の頂を目指して出発～！//nM99：無駄ですよ、あれはただの絵なんですから！//n漢陽88式：じゃあ仕方ありませんね！二次元へ行きましょう！
furniture-10001714,旧正月の夜-願いのランタン
furniture-20001714,97式散：言い伝えでは、これは世界一賢い人が発明したものらしいよ。//nNZ75：けど、そいつの望みは叶わなかったぞ。
furniture-10001715,旧正月の夜-石造りの腰掛け(右)
furniture-20001715,59式：これのいいところは、どの方向から跨いでも木馬にできるとこだよ～！//n63式：ちょっとちょっと、気をつけて、また転がっていかないでくださいよ！
furniture-10001901,低体温症-M4A1
furniture-20001901,「みんなが一緒なら、勝っても倒れても……私にとってはそれが最高の結末です。」
furniture-10001902,低体温症-M16A1
furniture-20001902,「感情そのものが欠陥だってことさ……同情なんか期待するな。特に今はな。」
furniture-10001903,低体温症-ST AR15
furniture-20001903,「みんなそれぞれの責任があるのよ……だから時には選択肢がないこともある。」
furniture-10001904,低体温症-M4 SOPMOD II
furniture-20001904,「えへへ、これは運命だもん。わたしたち、最高の仲間だから。」
furniture-10001905,低体温症-416
furniture-20001905,「じゃあ土下座してもらうわよ……この時を待ちわびたわ。」
furniture-10001906,低体温症-UMP9
furniture-20001906,「あはは、そんなに違わないでしょ。今の暮らしでも十分じゃん？」
furniture-10001907,低体温症-Gr G11
furniture-20001907,「はいはい、あたしが悪うございました……」
furniture-10001908,低体温症-UMP45
furniture-20001908,「面子を潰すのには慣れてるもんで」
furniture-10001909,グリフィン・エリート勲章
furniture-20001909,指揮官とその麾下の戦術人形による優れた功績を表彰する勲章。
furniture-10001910,闇夜のキューブ
furniture-20001910,古い石製のキューブ。昔の人の技には驚嘆するしかないが、それ以外には使い道などはなさそう。
furniture-10001911,深層映写-UMP45
furniture-20001911,「認めてもらえるまで、努力しなきゃ……」
furniture-10001912,深層映写-UMP40
furniture-20001912,「今のあんたには生き残る資格がある。」
furniture-10001913,電子戦増幅器
furniture-20001913,16LABの最新傑作。人形の電子戦時の性能を大幅に強化するが、わずかにメンタルモデルのバックトレース等の副作用が発生することもある。「どう言えばいいのかしら？確かに……面白いものだと思うわ。」 
furniture-10001914,旧射撃場のベンチ
furniture-20001914,「いつか……すべてが変わることを約束するよ……」
furniture-10001915,特異点-AK-12
furniture-20001915,改めて興味をそそられたわ、AR15。
furniture-10001916,特異点-AN-94
furniture-20001916,彼女を守るのが私の役目です。
furniture-10001917,特異点-ST AR-15
furniture-20001917,まさか、本当に鉄血だけが敵だと思ってる？
furniture-10001918,特異点-M4A1
furniture-20001918,始末すべきが誰なのか、それさえ分かればいい。
furniture-10001919,チェス
furniture-20001919,まるで……まるで人の域を超えた神の業だ！
furniture-10001920,テレビ
furniture-20001920,きっとみんな、復讐の相手を見つけるわ。
furniture-10001921,
furniture-20001921,
furniture-10001922,
furniture-20001922,
furniture-10001923,
furniture-20001923,
furniture-10001924,
furniture-20001924,
furniture-10001925,
furniture-20001925,
furniture-10001926,
furniture-20001926,
furniture-10001801,ゲーム製作部-オレンジソファ
furniture-20001801,徹夜する社員たちが普段ベッドにしている。ライブ配信をするときは、布団が後ろに隠される。
furniture-10001802,ゲーム製作部-オフィスチェア(左)
furniture-20001802,人間工学に基づいて作られている有名な椅子。社員がPCの前から離れる確率を確実に下げている。
furniture-10001803,ゲーム製作部-オフィスチェア(右)
furniture-20001803,人間工学に基づいて作られている有名な椅子。社員がPCの前から離れる確率を確実に下げている。
furniture-10001804,ゲーム製作部-ライブ配信設備
furniture-20001804,4Kの高解像度カメラにより、プレイヤーはプロデューサーの顔がまた丸くなったという細かな変化から、後続の計画を導き出すことが可能となる。プロデューサー：むくんでいるのは残業で疲れているからだ。
furniture-10001805,ゲーム製作部-ゲームコーナー
furniture-20001805,各種の限定ゲーム本体が社員たちの給料の行方を表している。ゲームのパッケージには大抵ディスクが入っていない。
furniture-10001806,ゲーム製作部-オシャレな冷蔵庫
furniture-20001806,中は常に冷えたコーラ（無料）でいっぱい――少なくとも最初はそういう計画だったが、実際は毎日、終業を待たずして空になってしまう。
furniture-10001807,ゲーム製作部-モザイクラグ
furniture-20001807,人を安心させる色を選んで配色されている。これこそ生活に奉仕するデザインだ。
furniture-10001808,ゲーム製作部-鉄骨製階段
furniture-20001808,高さを最大限に利用するため、設計者がマルチ用途の部屋を上手く設けた。
furniture-10001809,ゲーム製作部-合板のフローリング
furniture-20001809,よく見ると木目にインク染みがあるのだが、起き抜けのG11でもない限り床に這いつくばる人はいないので問題ない。
furniture-10001810,ゲーム製作部-女性社員のデスク
furniture-20001810,意外なことに可愛い要素が1つもない。プロ仕様のマイクが持ち主がハードコアなゲーマーであることを物語っている。
furniture-10001811,ゲーム製作部-プログラマーのデスク
furniture-20001811,垂直方向のディスプレイを設けたことにより、コードの行数をより多く見ることが可能となっている。大きなプロテイン缶は、隆起した二頭筋とともに、「要求を追加するな」という思いをありありとプランナーに伝えている。
furniture-10001812,ゲーム製作部-デザイナーのデスク
furniture-20001812,伝説のZAGALAのデスク。山のように積み上げられているデバイスとフィギュアが、並べ終えたドミノのように見事なバランスを成している。
furniture-10001813,ゲーム製作部-二連テーブル
furniture-20001813,ライブ配信時にはノートPCを置く台となる。PCは私物。なんだよ金持ちめ。
furniture-10001814,ゲーム製作部-グレーウォール
furniture-20001814,余分な反射光を吸収するためにグレーを採用、つまりは美術スタッフの色彩判断の邪魔をしないための配慮。さすがはプロのゲーム会社。
furniture-10001815,ゲーム製作部-IOPロゴ
furniture-20001815,IOP、人類最後の守護者。主な商品は有料ゲーム、卓上カレンダー、キーホルダー、メイドロボットです。
furniture-10001816,ゲーム製作部-薄暮の窓
furniture-20001816,退勤時に窓の外を見て//c目に入ったのが、ガラスに映った自分の憔悴した顔ではなかった場合//c偽のゲーム会社に入ったのかもしれない。
furniture-10002101,星夜の夢-月へおでかけ
furniture-20002101,人の多い場所はきらい？私もなの。
furniture-10002102,星夜の夢-白い宝箱
furniture-20002102,開けたのが宝箱だろうと魔の箱だろうと、それぞれの物語をお楽しみください！
furniture-10002103,星夜の夢-ラウンドカーペット
furniture-20002103,どこへ行こうと、たとえ向かい風ばかりになろうと構わない。あなたさえ一緒なら。
furniture-10002104,星夜の夢-羊の雑貨店(左)
furniture-20002104,彼女はそのカニを捕まえられず、かくして、物語が彼女に贈った最後の善意を取り逃がした。
furniture-10002105,星夜の夢-羊の雑貨店(右)
furniture-20002105,彼女はそのカニを捕まえられず、かくして、物語が彼女に贈った最後の善意を取り逃がした。
furniture-10002106,星夜の夢-赤ウサギと白象の牙
furniture-20002106,見抜かれて初めて嘘は成立する。つまり、見抜かれなかった嘘は真実となる。
furniture-10002107,星夜の夢-角なしユニコーン
furniture-20002107,それが本当に必要なときには、角があろうとなかろうと大した違いじゃないでしょ。
furniture-10002108,星夜の夢-花の印
furniture-20002108,咲いたばかりの小さな花に導かれて、私は歩き出した…そのときから、約束は始まった。
furniture-10002109,星夜の夢-天の川
furniture-20002109,銀河系のすべての文明が発展するにつれ、ぶつかる最後の難問。それは昼ごはんをどこで食べるかだ。
furniture-10002110,星夜の夢-ホワイトクイーン
furniture-20002110,明日と昨日はジャムがあるが、今日はない。これまでもなかったし、これからもない。
furniture-10002111,星夜の夢-満月と海のおとぎ話
furniture-20002111,最後の最後に、物語の語り手と中の登場人物が再会を果たすと、月もほっとして眠りについた。
furniture-10002112,星夜の夢-バラと水晶のアーチ
furniture-20002112,いいぞ、これで全部そろった。最後のゲームを始めよう。
furniture-10002113,星夜の夢-煌くホタルライト
furniture-20002113,ありがとう……この街で、私と出会ってくれて……
furniture-10002201,春の教室-学習机（昼寝モード）
furniture-20002201,机に突っ伏して昼寝するのと比べて、最大の欠点は、コートをかぶり中で漫画を読めないこと。
furniture-10002202,春の教室-教壇
furniture-20002202,たったの数センチだが、上に立った大人に、天下に君臨したような達成感をもたらす。
furniture-10002203,春の教室-学習椅子（休み時間モード）
furniture-20002203,椅子の傾き具合は、友人の多さ、話題の流行度に関係している。
furniture-10002204,春の教室-学習椅子（授業モード）
furniture-20002204,このモードを休み時間に起動し、宿題を書き写したり、小説を読んだりすることも可能。
furniture-10002205,春の教室-ロッカー
furniture-20002205,中に隠れるなんて超ベタな展開は、学校が舞台のラノベか、あとはホラーゲームくらいだ。
furniture-10002206,春の教室-黒板
furniture-20002206,数えきれないほどの思い出がつまっている。というのも、青春のほとんどすべてをこの板とにらめっこして過ごすからね！
furniture-10002207,春の教室-学習机（授業モード）
furniture-20002207,中にゲーム雑誌を入れっぱなしにしないこと！次の日、先生より早く教室に着ける自信が無いのならば！
