main_quest-10000001,作戦完了：通常1-1
main_quest-20000249,通常【7-6】の全拠点を占領し、銀星勲章を獲得。
main_quest-10000250,全域封鎖：緊急7-1
main_quest-20000250,緊急【7-1】の全拠点を占領し、銀星勲章を獲得。
main_quest-10000251,全域封鎖：緊急7-2
main_quest-20000251,緊急【7-2】の全拠点を占領し、銀星勲章を獲得。
main_quest-10000252,全域封鎖：緊急7-3
main_quest-20000252,緊急【7-3】の全拠点を占領し、銀星勲章を獲得。
main_quest-10000253,全域封鎖：緊急7-4
main_quest-20000253,緊急【7-4】の全拠点を占領し、銀星勲章を獲得。
main_quest-10000254,完全勝利：通常7-1
main_quest-20000254,通常【7-1】をS評価でクリアし、金星勲章を獲得。
main_quest-10000255,完全勝利：通常7-2
main_quest-20000255,通常【7-2】をS評価でクリアし、金星勲章を獲得。
main_quest-10000256,完全勝利：通常7-3
main_quest-20000256,通常【7-3】をS評価でクリアし、金星勲章を獲得。
main_quest-10000257,完全勝利：通常7-4
main_quest-20000257,通常【7-4】をS評価でクリアし、金星勲章を獲得。
main_quest-10000258,完全勝利：通常7-5
main_quest-20000258,通常【7-5】をS評価でクリアし、金星勲章を獲得。
main_quest-10000259,完全勝利：通常7-6
main_quest-20000259,通常【7-6】をS評価でクリアし、金星勲章を獲得。
main_quest-10000260,完全勝利：緊急7-1
main_quest-20000260,緊急【7-1】をS評価でクリアし、金星勲章を獲得。
main_quest-10000261,完全勝利：緊急7-2
main_quest-20000261,緊急【7-2】をS評価でクリアし、金星勲章を獲得。
main_quest-10000262,完全勝利：緊急7-3
main_quest-20000262,緊急【7-3】をS評価でクリアし、金星勲章を獲得。
main_quest-10000263,完全勝利：緊急7-4
main_quest-20000263,緊急【7-4】をS評価でクリアし、金星勲章を獲得。
main_quest-10000264,作戦完了：夜戦5-1
main_quest-20000264,夜戦【5-1】を初クリア。
main_quest-10000265,作戦完了：夜戦5-2
main_quest-20000265,夜戦【5-2】を初クリア。
main_quest-10000266,作戦完了：夜戦5-3
main_quest-20000266,夜戦【5-3】を初クリア。
main_quest-10000267,作戦完了：夜戦5-4
main_quest-20000267,夜戦【5-4】を初クリア。
main_quest-10000268,作戦完了：通常8-1
main_quest-20000268,通常【8-1】を初クリアし、銅星勲章を獲得。
main_quest-10000269,作戦完了：通常8-2
main_quest-20000269,通常【8-2】を初クリアし、銅星勲章を獲得。
main_quest-10000270,作戦完了：通常8-3
main_quest-20000270,通常【8-3】を初クリアし、銅星勲章を獲得。
main_quest-10000271,作戦完了：通常8-4
main_quest-20000271,通常【8-4】を初クリアし、銅星勲章を獲得。
main_quest-10000272,作戦完了：通常8-5
main_quest-20000272,通常【8-5】を初クリアし、銅星勲章を獲得。
main_quest-10000273,作戦完了：通常8-6
main_quest-20000273,通常【8-6】を初クリアし、銅星勲章を獲得。
main_quest-10000274,作戦完了：緊急8-1
main_quest-20000274,緊急【8-1】を初クリアし、銅星勲章を獲得。
main_quest-10000275,作戦完了：緊急8-2
main_quest-20000275,緊急【8-2】を初クリアし、銅星勲章を獲得。
main_quest-10000276,作戦完了：緊急8-3
main_quest-20000276,緊急【8-3】を初クリアし、銅星勲章を獲得。
main_quest-10000277,作戦完了：緊急8-4
main_quest-20000277,緊急【8-4】を初クリアし、銅星勲章を獲得。
main_quest-10000278,全域封鎖：通常8-1
main_quest-20000278,通常【8-1】の全拠点を占領し、銀星勲章を獲得。
main_quest-10000279,全域封鎖：通常8-2
main_quest-20000279,通常【8-2】の全拠点を占領し、銀星勲章を獲得。
main_quest-10000280,全域封鎖：通常8-3
main_quest-20000280,通常【8-3】の全拠点を占領し、銀星勲章を獲得。
main_quest-10000281,全域封鎖：通常8-4
main_quest-20000281,通常【8-4】の全拠点を占領し、銀星勲章を獲得。
main_quest-10000282,全域封鎖：通常8-5
main_quest-20000282,通常【8-5】の全拠点を占領し、銀星勲章を獲得。
main_quest-10000283,全域封鎖：通常8-6
main_quest-20000283,通常【8-6】の全拠点を占領し、銀星勲章を獲得。
main_quest-10000284,全域封鎖：緊急8-1
main_quest-20000284,緊急【8-1】の全拠点を占領し、銀星勲章を獲得。
main_quest-10000285,全域封鎖：緊急8-2
main_quest-20000285,緊急【8-2】の全拠点を占領し、銀星勲章を獲得。
main_quest-10000286,全域封鎖：緊急8-3
main_quest-20000286,緊急【8-3】の全拠点を占領し、銀星勲章を獲得。
main_quest-10000287,全域封鎖：緊急8-4
main_quest-20000287,緊急【8-4】の全拠点を占領し、銀星勲章を獲得。
main_quest-10000288,完全勝利：通常8-1
main_quest-20000288,通常【8-1】をS評価でクリアし、金星勲章を獲得。
main_quest-10000289,完全勝利：通常8-2
main_quest-20000289,通常【8-2】をS評価でクリアし、金星勲章を獲得。
main_quest-10000290,完全勝利：通常8-3
main_quest-20000290,通常【8-3】をS評価でクリアし、金星勲章を獲得。
main_quest-10000291,完全勝利：通常8-4
main_quest-20000291,通常【8-4】をS評価でクリアし、金星勲章を獲得。
main_quest-10000292,完全勝利：通常8-5
main_quest-20000292,通常【8-5】をS評価でクリアし、金星勲章を獲得。
main_quest-10000293,完全勝利：通常8-6
main_quest-20000293,通常【8-6】をS評価でクリアし、金星勲章を獲得。
main_quest-10000294,完全勝利：緊急8-1
main_quest-20000294,緊急【8-1】をS評価でクリアし、金星勲章を獲得。
main_quest-10000295,完全勝利：緊急8-2
main_quest-20000295,緊急【8-2】をS評価でクリアし、金星勲章を獲得。
main_quest-10000296,完全勝利：緊急8-3
main_quest-20000296,緊急【8-3】をS評価でクリアし、金星勲章を獲得。
main_quest-10000297,完全勝利：緊急8-4
main_quest-20000297,緊急【8-4】をS評価でクリアし、金星勲章を獲得。
main_quest-10000298,作戦完了：夜戦6-1
main_quest-20000298,夜戦【6-1】を初クリア。
main_quest-10000299,作戦完了：夜戦6-2
main_quest-20000299,夜戦【6-2】を初クリア。
main_quest-10000300,作戦完了：夜戦6-3
main_quest-20000300,夜戦【6-3】を初クリア。
main_quest-10000301,作戦完了：夜戦6-4
main_quest-20000301,夜戦【6-4】を初クリア。
main_quest-10000302,作戦完了：通常9-1
main_quest-20000302,通常【9-1】を初クリアし、銅星勲章を獲得。
main_quest-10000303,作戦完了：通常9-2
main_quest-20000303,通常【9-2】を初クリアし、銅星勲章を獲得。
main_quest-10000304,作戦完了：通常9-3
main_quest-20000304,通常【9-3】を初クリアし、銅星勲章を獲得。
main_quest-10000305,作戦完了：通常9-4
main_quest-20000305,通常【9-4】を初クリアし、銅星勲章を獲得。
main_quest-10000306,作戦完了：通常9-5
main_quest-20000306,通常【9-5】を初クリアし、銅星勲章を獲得。
main_quest-10000307,作戦完了：通常9-6
main_quest-20000307,通常【9-6】を初クリアし、銅星勲章を獲得。
main_quest-10000308,作戦完了：緊急9-1
main_quest-20000308,緊急【9-1】を初クリアし、銅星勲章を獲得。
main_quest-10000309,作戦完了：緊急9-2
main_quest-20000309,緊急【9-2】を初クリアし、銅星勲章を獲得。
main_quest-10000310,作戦完了：緊急9-3
main_quest-20000310,緊急【9-3】を初クリアし、銅星勲章を獲得。
main_quest-10000311,作戦完了：緊急9-4
main_quest-20000311,緊急【9-4】を初クリアし、銅星勲章を獲得。
main_quest-10000312,全域封鎖：通常9-1
main_quest-20000312,通常【9-1】の全拠点を占領し、銀星勲章を獲得。
main_quest-10000313,全域封鎖：通常9-2
main_quest-20000313,通常【9-2】の全拠点を占領し、銀星勲章を獲得。
main_quest-10000314,全域封鎖：通常9-3
main_quest-20000314,通常【9-3】の全拠点を占領し、銀星勲章を獲得。
main_quest-10000315,全域封鎖：通常9-4
main_quest-20000315,通常【9-4】の全拠点を占領し、銀星勲章を獲得。
main_quest-10000316,全域封鎖：通常9-5
main_quest-20000316,通常【9-5】の全拠点を占領し、銀星勲章を獲得。
main_quest-10000317,全域封鎖：通常9-6
main_quest-20000317,通常【9-6】の全拠点を占領し、銀星勲章を獲得。
main_quest-10000318,全域封鎖：緊急9-1
main_quest-20000318,緊急【9-1】の全拠点を占領し、銀星勲章を獲得。
main_quest-10000319,全域封鎖：緊急9-2
main_quest-20000319,緊急【9-2】の全拠点を占領し、銀星勲章を獲得。
main_quest-10000320,ハリケーン救援：緊急9-3
main_quest-20000320,緊急【9-3】で人形を2体救援する。
main_quest-10000321,ハリケーン救援：緊急9-4
main_quest-20000321,緊急【9-4】で人形を3体救援する。
main_quest-10000322,完全勝利：通常9-1
main_quest-20000322,通常【9-1】をS評価でクリアし、金星勲章を獲得。
main_quest-10000323,完全勝利：通常9-2
main_quest-20000323,通常【9-2】をS評価でクリアし、金星勲章を獲得。
main_quest-10000324,完全勝利：通常9-3
main_quest-20000324,通常【9-3】をS評価でクリアし、金星勲章を獲得。
main_quest-10000325,完全勝利：通常9-4
main_quest-20000325,通常【9-4】をS評価でクリアし、金星勲章を獲得。
main_quest-10000326,完全勝利：通常9-5
main_quest-20000326,通常【9-5】をS評価でクリアし、金星勲章を獲得。
main_quest-10000327,完全勝利：通常9-6
main_quest-20000327,通常【9-6】をS評価でクリアし、金星勲章を獲得。
main_quest-10000328,完全勝利：緊急9-1
main_quest-20000328,緊急【9-1】をS評価でクリアし、金星勲章を獲得。
main_quest-10000329,完全勝利：緊急9-2
main_quest-20000329,緊急【9-2】をS評価でクリアし、金星勲章を獲得。
main_quest-10000330,完全勝利：緊急9-3
main_quest-20000330,緊急【9-3】をS評価でクリアし、金星勲章を獲得。
main_quest-10000331,完全勝利：緊急9-4
main_quest-20000331,緊急【9-4】をS評価でクリアし、金星勲章を獲得。
main_quest-10000332,作戦完了：通常10-1
main_quest-20000332,通常【10-1】を初クリアし、銅星勲章を獲得。
main_quest-10000333,作戦完了：通常10-2
main_quest-20000333,通常【10-2】を初クリアし、銅星勲章を獲得。
main_quest-10000334,作戦完了：通常10-3
main_quest-20000334,通常【10-3】を初クリアし、銅星勲章を獲得。
main_quest-10000335,作戦完了：通常10-4
main_quest-20000335,通常【10-4】を初クリアし、銅星勲章を獲得。
main_quest-10000336,作戦完了：通常10-5
main_quest-20000336,通常【10-5】を初クリアし、銅星勲章を獲得。
main_quest-10000337,作戦完了：通常10-6
main_quest-20000337,通常【10-6】を初クリアし、銅星勲章を獲得。
main_quest-10000338,作戦完了：緊急10-1
main_quest-20000338,緊急【10-1】を初クリアし、銅星勲章を獲得。
main_quest-10000339,作戦完了：緊急10-2
main_quest-20000339,緊急【10-2】を初クリアし、銅星勲章を獲得。
main_quest-10000340,作戦完了：緊急10-3
main_quest-20000340,緊急【10-3】を初クリアし、銅星勲章を獲得。
main_quest-10000341,作戦完了：緊急10-4
main_quest-20000341,緊急【10-4】を初クリアし、銅星勲章を獲得。
main_quest-10000342,全域封鎖：通常10-1
main_quest-20000342,通常【10-1】の全拠点を占領し、銀星勲章を獲得。
main_quest-10000343,全域封鎖：通常10-2
main_quest-20000343,通常【10-2】の全拠点を占領し、銀星勲章を獲得。
main_quest-10000344,全域封鎖：通常10-3
main_quest-20000344,通常【10-3】の全拠点を占領し、銀星勲章を獲得。
main_quest-10000345,全域封鎖：通常10-4
main_quest-20000345,通常【10-4】の全拠点を占領し、銀星勲章を獲得。
main_quest-10000346,全域封鎖：通常10-5
main_quest-20000346,通常【10-5】の全拠点を占領し、銀星勲章を獲得。
main_quest-10000347,人質救援：通常10-6
main_quest-20000347,通常【10-6】で人形を2体救援する。
main_quest-10000348,全域封鎖：緊急10-1
main_quest-20000348,緊急【10-1】の全拠点を占領し、銀星勲章を獲得。
main_quest-10000349,人質救援：緊急10-2
main_quest-20000349,緊急【10-2】で人形を6体救援する。
main_quest-10000350,全域封鎖：緊急10-3
main_quest-20000350,緊急【10-3】の全拠点を占領し、銀星勲章を獲得。
main_quest-10000351,全域封鎖：緊急10-4
main_quest-20000351,緊急【10-4】の全拠点を占領し、銀星勲章を獲得。
main_quest-10000352,完全勝利：通常10-1
main_quest-20000352,通常【10-1】をS評価でクリアし、金星勲章を獲得。
main_quest-10000353,完全勝利：通常10-2
main_quest-20000353,通常【10-2】をS評価でクリアし、金星勲章を獲得。
main_quest-10000354,完全勝利：通常10-3
main_quest-20000354,通常【10-3】をS評価でクリアし、金星勲章を獲得。
main_quest-10000355,完全勝利：通常10-4
main_quest-20000355,通常【10-4】をS評価でクリアし、金星勲章を獲得。
main_quest-10000356,完全勝利：通常10-5
main_quest-20000356,通常【10-5】をS評価でクリアし、金星勲章を獲得。
main_quest-10000357,完全勝利：通常10-6
main_quest-20000357,通常【10-6】をS評価でクリアし、金星勲章を獲得。
main_quest-10000358,完全勝利：緊急10-1
main_quest-20000358,緊急【10-1】をS評価でクリアし、金星勲章を獲得。
main_quest-10000359,完全勝利：緊急10-2
main_quest-20000359,緊急【10-2】をS評価でクリアし、金星勲章を獲得。
main_quest-10000360,完全勝利：緊急10-3
main_quest-20000360,緊急【10-3】をS評価でクリアし、金星勲章を獲得。
main_quest-10000361,完全勝利：緊急10-4
main_quest-20000361,緊急【10-4】をS評価でクリアし、金星勲章を獲得。
main_quest-10000362,作戦完了：夜戦7-1
main_quest-20000362,夜戦【7-1】を初クリア。
main_quest-10000363,作戦完了：夜戦7-2
main_quest-20000363,夜戦【7-2】を初クリア。
main_quest-10000364,作戦完了：夜戦7-3
main_quest-20000364,夜戦【7-3】を初クリア。
main_quest-10000365,作戦完了：夜戦7-4
main_quest-20000365,夜戦【7-4】を初クリア。
main_quest-10000366,作戦完了：夜戦8-1
main_quest-20000366,夜戦【8-1】を初クリア。
main_quest-10000367,作戦完了：夜戦8-2
main_quest-20000367,夜戦【8-2】を初クリア。
main_quest-10000368,作戦完了：夜戦8-3
main_quest-20000368,夜戦【8-3】を初クリア。
main_quest-10000369,作戦完了：夜戦8-4
main_quest-20000369,夜戦【8-4】を初クリア。
main_quest-10000370,作戦完了：通常11-1
main_quest-20000370,通常【11-1】を初クリアし、銅星勲章を獲得。
main_quest-10000371,作戦完了：通常11-2
main_quest-20000371,通常【11-2】を初クリアし、銅星勲章を獲得。
main_quest-10000372,作戦完了：通常11-3
main_quest-20000372,通常【11-3】を初クリアし、銅星勲章を獲得。
main_quest-10000373,作戦完了：通常11-4
main_quest-20000373,通常【11-4】を初クリアし、銅星勲章を獲得。
main_quest-10000374,作戦完了：通常11-5
main_quest-20000374,通常【11-5】を初クリアし、銅星勲章を獲得。
main_quest-10000375,作戦完了：通常11-6
main_quest-20000375,通常【11-6】を初クリアし、銅星勲章を獲得。
main_quest-10000376,作戦完了：緊急11-1
main_quest-20000376,緊急【11-1】を初クリアし、銅星勲章を獲得。
main_quest-10000377,作戦完了：緊急11-2
main_quest-20000377,緊急【11-2】を初クリアし、銅星勲章を獲得。
main_quest-10000378,作戦完了：緊急11-3
main_quest-20000378,緊急【11-3】を初クリアし、銅星勲章を獲得。
main_quest-10000379,作戦完了：緊急11-4
main_quest-20000379,緊急【11-4】を初クリアし、銅星勲章を獲得。
main_quest-10000380,全域封鎖：通常11-1
main_quest-20000380,通常【11-1】の全拠点を占領し、銀星勲章を獲得。
main_quest-10000381,全域封鎖：通常11-2
main_quest-20000381,通常【11-2】の全拠点を占領し、銀星勲章を獲得。
main_quest-10000382,全域封鎖：通常11-3
main_quest-20000382,通常【11-3】の全拠点を占領し、銀星勲章を獲得。
main_quest-10000383,人質救援：通常11-4
main_quest-20000383,通常【11-4】で人形を3体救援する。
main_quest-10000384,全域封鎖：通常11-5
main_quest-20000384,通常【11-5】の全拠点を占領し、銀星勲章を獲得。
main_quest-10000385,全域封鎖：通常11-6
main_quest-20000385,通常【11-6】の全拠点を占領し、銀星勲章を獲得。
main_quest-10000386,人質救援：緊急11-1
main_quest-20000386,緊急【11-1】で人形を4体救援する。
main_quest-10000387,全域封鎖：緊急11-2
main_quest-20000387,緊急【11-2】の全拠点を占領し、銀星勲章を獲得。
main_quest-10000388,人質救援：緊急11-3
main_quest-20000388,緊急【11-3】で人形を1体救援する。
main_quest-10000389,全域封鎖：緊急11-4
main_quest-20000389,緊急【11-4】の全拠点を占領し、銀星勲章を獲得。
main_quest-10000390,完全勝利：通常11-1
main_quest-20000390,通常【11-1】をS評価でクリアし、金星勲章を獲得。
main_quest-10000391,完全勝利：通常11-2
main_quest-20000391,通常【11-2】をS評価でクリアし、金星勲章を獲得。
main_quest-10000392,完全勝利：通常11-3
main_quest-20000392,通常【11-3】をS評価でクリアし、金星勲章を獲得。
main_quest-10000393,完全勝利：通常11-4
main_quest-20000393,通常【11-4】をS評価でクリアし、金星勲章を獲得。
main_quest-10000394,完全勝利：通常11-5
main_quest-20000394,通常【11-5】をS評価でクリアし、金星勲章を獲得。
main_quest-10000395,完全勝利：通常11-6
main_quest-20000395,通常【11-6】をS評価でクリアし、金星勲章を獲得。
main_quest-10000396,完全勝利：緊急10-1
main_quest-20000396,緊急【11-1】をS評価でクリアし、金星勲章を獲得。
main_quest-10000397,完全勝利：緊急10-2
main_quest-20000397,緊急【11-2】をS評価でクリアし、金星勲章を獲得。
main_quest-10000398,完全勝利：緊急10-3
main_quest-20000398,緊急【11-3】をS評価でクリアし、金星勲章を獲得。
main_quest-10000399,完全勝利：緊急10-4
main_quest-20000399,緊急【11-4】をS評価でクリアし、金星勲章を獲得。
main_quest-10000400,作戦完了：夜戦9-1
main_quest-20000400,夜戦【9-1】を初クリア。
main_quest-10000401,作戦完了：夜戦9-2
main_quest-20000401,夜戦【9-2】を初クリア。
main_quest-10000402,作戦完了：夜戦9-3
main_quest-20000402,夜戦【9-3】を初クリア。
main_quest-10000403,作戦完了：夜戦9-4
main_quest-20000403,夜戦【9-4】を初クリア。
main_quest-10000404,作戦完了：夜戦10-1
main_quest-20000404,夜戦【10-1】を初クリア。
main_quest-10000405,作戦完了：夜戦10-2
main_quest-20000405,夜戦【10-2】を初クリア。
main_quest-10000406,作戦完了：夜戦10-3
main_quest-20000406,夜戦【10-3】を初クリア。
main_quest-10000407,作戦完了：夜戦10-4
main_quest-20000407,夜戦【10-4】を初クリア。
