achievement-10000001,小小兴趣
achievement-10000291,外天楼
achievement-20000291,累计完成100000次自律作战。
achievement-30000291,
achievement-10000292,力王
achievement-20000292,人力总数首次达到300000。
achievement-30000292,
achievement-10000293,兰博
achievement-20000293,弹药总数首次达到300000。
achievement-30000293,
achievement-10000294,幻想少女糖果屋
achievement-20000294,口粮总数首次达到300000。
achievement-30000294,
achievement-10000295,合金齿轮
achievement-20000295,零件总数首次达到300000。
achievement-30000295,
achievement-10000296,弹珠音乐箱
achievement-20000296,累计进行5000次装备制造。
achievement-30000296,
achievement-10000297,灯泡发明史
achievement-20000297,累计进行10000次装备制造。
achievement-30000297,
achievement-10000298,至尊太君
achievement-20000298,累计进行20000次装备制造。
achievement-30000298,
achievement-10000299,宇宙工厂
achievement-20000299,累计进行50000次装备制造。
achievement-30000299,
achievement-10000300,生产危机
achievement-20000300,累计进行20000次装备拆解。
achievement-30000300,
achievement-10000301,拆火车
achievement-20000301,累计进行50000次装备拆解。
achievement-30000301,
achievement-10000302,解体新书
achievement-20000302,累计进行100000次装备拆解。
achievement-30000302,
achievement-10000303,胜利之吻
achievement-20000303,首个战术少女好感度达到100。
achievement-30000303,
achievement-10000304,月之链
achievement-20000304,10个战术少女好感度达到100。
achievement-30000304,
achievement-10000305,水星之链
achievement-20000305,30个战术少女好感度达到100。
achievement-30000305,
achievement-10000306,金星之链
achievement-20000306,50个战术少女好感度达到100。
achievement-30000306,
achievement-10000307,火星之链
achievement-20000307,100个战术少女好感度达到100。
achievement-30000307,
achievement-10000308,木星之链
achievement-20000308,150个战术少女好感度达到100。
achievement-30000308,
achievement-10000309,土星之链
achievement-20000309,200个战术少女好感度达到100。
achievement-30000309,
achievement-10000310,天王星之链
achievement-20000310,300个战术少女好感度达到100。
achievement-30000310,
achievement-10000311,誓约烙印
achievement-20000311,首次与战术少女缔结誓约。
achievement-30000311,
achievement-10000312,战地誓言
achievement-20000312,与10个战术少女缔结誓约。
achievement-30000312,
achievement-10000313,心灵刻痕
achievement-20000313,与30个战术少女缔结誓约。
achievement-30000313,
achievement-10000314,感官链接
achievement-20000314,与50个战术少女缔结誓约。
achievement-30000314,
achievement-10000315,灵魂共鸣
achievement-20000315,与100个战术少女缔结誓约。
achievement-30000315,
achievement-10000316,浪漫交响
achievement-20000316,与150个战术少女缔结誓约。
achievement-30000316,
achievement-10000317,灿烂千阳
achievement-20000317,与200个战术少女缔结誓约。
achievement-30000317,
achievement-10000318,天堂礼赞
achievement-20000318,与300个战术少女缔结誓约。
achievement-30000318,
achievement-10000319,幸福终点站
achievement-20000319,首个战术少女好感度达到150。
achievement-30000319,
achievement-10000320,薄纸之绊
achievement-20000320,10个战术少女好感度达到150。
achievement-30000320,
achievement-10000321,棉纱之绊
achievement-20000321,30个战术少女好感度达到150。
achievement-30000321,
achievement-10000322,青木之绊
achievement-20000322,50个战术少女好感度达到150。
achievement-30000322,
achievement-10000323,白锡之绊
achievement-20000323,100个战术少女好感度达到150。
achievement-30000323,
achievement-10000324,水晶之绊
achievement-20000324,150个战术少女好感度达到150。
achievement-30000324,
achievement-10000325,细瓷之绊
achievement-20000325,200个战术少女好感度达到150。
achievement-30000325,
achievement-10000326,珍珠之绊
achievement-20000326,300个战术少女好感度达到150。
achievement-30000326,
achievement-10000327,跨境采购
achievement-20000327,首次进行家居采购。
achievement-30000327,
achievement-10000328,采购入门
achievement-20000328,进行10次家居采购。
achievement-30000328,
achievement-10000329,采购学徒
achievement-20000329,进行50次家居采购。
achievement-30000329,
achievement-10000330,采购工匠
achievement-20000330,进行100次家居采购。
achievement-30000330,
achievement-10000331,采购精英
achievement-20000331,进行500次家居采购。
achievement-30000331,
achievement-10000332,采购专家
achievement-20000332,进行1000次家居采购。
achievement-30000332,
achievement-10000333,采购大师
achievement-20000333,进行2000次家居采购。
achievement-30000333,
achievement-10000334,采购达人
achievement-20000334,进行5000次家居采购。
achievement-30000334,
achievement-10000335,采购厂长
achievement-20000335,进行10000次家居采购。
achievement-30000335,
achievement-10000336,采购大亨
achievement-20000336,进行20000次家居采购。
achievement-30000336,
achievement-10000337,从家开始
achievement-20000337,首次获得4星家具。
achievement-30000337,
achievement-10000338,温馨家具入门
achievement-20000338,获得10件4星家具。
achievement-30000338,
achievement-10000339,温馨家具学徒
achievement-20000339,获得20件4星家具。
achievement-30000339,
achievement-10000340,温馨家具工匠
achievement-20000340,获得50件4星家具。
achievement-30000340,
achievement-10000341,温馨家具精英
achievement-20000341,获得100件4星家具。
achievement-30000341,
achievement-10000342,温馨家具专家
achievement-20000342,获得200件4星家具。
achievement-30000342,
achievement-10000343,温馨家具大师
achievement-20000343,获得500件4星家具。
achievement-30000343,
achievement-10000344,温馨家具达人
achievement-20000344,获得1000件4星家具。
achievement-30000344,
achievement-10000345,温馨家具厂长
achievement-20000345,获得2000件4星家具。
achievement-30000345,
achievement-10000346,温馨家具大亨
achievement-20000346,获得5000件4星家具。
achievement-30000346,
achievement-10000347,收获情调
achievement-20000347,首次获得5星家具。
achievement-30000347,
achievement-10000348,优雅家具入门
achievement-20000348,获得5件5星家具。
achievement-30000348,
achievement-10000349,优雅家具学徒
achievement-20000349,获得10件5星家具。
achievement-30000349,
achievement-10000350,优雅家具工匠
achievement-20000350,获得20件5星家具。
achievement-30000350,
achievement-10000351,优雅家具精英
achievement-20000351,获得50件5星家具。
achievement-30000351,
achievement-10000352,优雅家具专家
achievement-20000352,获得100件5星家具。
achievement-30000352,
achievement-10000353,优雅家具大师
achievement-20000353,获得200件5星家具。
achievement-30000353,
achievement-10000354,优雅家具达人
achievement-20000354,获得500件5星家具。
achievement-30000354,
achievement-10000355,优雅家具厂长
achievement-20000355,获得1000件5星家具。
achievement-30000355,
achievement-10000356,优雅家具大亨
achievement-20000356,获得2000件5星家具。
achievement-30000356,
achievement-10000357,点燃生活
achievement-20000357,获得1套4星家具。
achievement-30000357,
achievement-10000358,新人装扮者
achievement-20000358,获得3套不同的4星家具。
achievement-30000358,
achievement-10000359,实习装扮者
achievement-20000359,获得5套不同的4星家具。
achievement-30000359,
achievement-10000360,装扮者
achievement-20000360,获得10套不同的4星家具。
achievement-30000360,
achievement-10000361,进阶装扮者
achievement-20000361,获得15套不同的4星家具。
achievement-30000361,
achievement-10000362,精英装扮者
achievement-20000362,获得20套不同的4星家具。
achievement-30000362,
achievement-10000363,资深装扮者
achievement-20000363,获得30套不同的4星家具。
achievement-30000363,
achievement-10000364,高阶装扮者
achievement-20000364,获得40套不同的4星家具。
achievement-30000364,
achievement-10000365,老练装扮者
achievement-20000365,获得50套不同的4星家具。
achievement-30000365,
achievement-10000366,大师装扮者
achievement-20000366,获得60套不同的4星家具。
achievement-30000366,
achievement-10000367,完美家居
achievement-20000367,获得1套5星家具。
achievement-30000367,
achievement-10000368,新人享受者
achievement-20000368,获得3套不同的5星家具。
achievement-30000368,
achievement-10000369,实习享受者
achievement-20000369,获得5套不同的5星家具。
achievement-30000369,
achievement-10000370,享受者
achievement-20000370,获得10套不同的5星家具。
achievement-30000370,
achievement-10000371,进阶享受者
achievement-20000371,获得15套不同的5星家具。
achievement-30000371,
achievement-10000372,精英享受者
achievement-20000372,获得20套不同的5星家具。
achievement-30000372,
achievement-10000373,资深享受者
achievement-20000373,获得30套不同的5星家具。
achievement-30000373,
achievement-10000374,高阶享受者
achievement-20000374,获得40套不同的5星家具。
achievement-30000374,
achievement-10000375,老练享受者
achievement-20000375,获得50套不同的5星家具。
achievement-30000375,
achievement-10000376,大师享受者
achievement-20000376,获得60套不同的5星家具。
achievement-30000376,
achievement-10000377,我漂亮吗？
achievement-20000377,首次解锁装扮。
achievement-30000377,
achievement-10000378,挂衣钩
achievement-20000378,解锁3件装扮。
achievement-30000378,
achievement-10000379,晒衣架
achievement-20000379,解锁10件装扮。
achievement-30000379,
achievement-10000380,藏衣箱
achievement-20000380,解锁30件装扮。
achievement-30000380,
achievement-10000381,更衣橱
achievement-20000381,解锁50件装扮。
achievement-30000381,
achievement-10000382,良衣库
achievement-20000382,解锁80件装扮。
achievement-30000382,
achievement-10000383,小精品店
achievement-20000383,解锁120件装扮。
achievement-30000383,
achievement-10000384,二手变装网店
achievement-20000384,解锁160件装扮。
achievement-30000384,
achievement-10000385,萝娘收藏间
achievement-20000385,解锁200件装扮。
achievement-30000385,
achievement-10000386,魔法少女
achievement-20000386,解锁250件装扮。
achievement-30000386,
achievement-10000387,最后一战
achievement-20000387,解锁300件装扮。
achievement-30000387,
achievement-10000388,送给我的？
achievement-20000388,首次赠送礼物。
achievement-30000388,
achievement-10000389,小包零食
achievement-20000389,赠送10件礼物。
achievement-30000389,
achievement-10000390,新鲜花束
achievement-20000390,赠送50件礼物。
achievement-30000390,
achievement-10000391,街边饰物
achievement-20000391,赠送100件礼物。
achievement-30000391,
achievement-10000392,精致茶具
achievement-20000392,赠送500件礼物。
achievement-30000392,
achievement-10000393,限量海报
achievement-20000393,赠送1000件礼物。
achievement-30000393,
achievement-10000394,珍藏绘本
achievement-20000394,赠送2000件礼物。
achievement-30000394,
achievement-10000395,王室糖果
achievement-20000395,赠送5000件礼物。
achievement-30000395,
achievement-10000396,名贵丝巾
achievement-20000396,赠送10000件礼物。
achievement-30000396,
achievement-10000397,奢华手袋
achievement-20000397,赠送20000件礼物。
achievement-30000397,
achievement-10000398,您辛苦了！
achievement-20000398,首次在宿舍中收集战术少女或融合势力单位的爱心。
achievement-30000398,
achievement-10000399,从零开始爱生活
achievement-20000399,在宿舍中收集50颗战术少女或融合势力单位的爱心。
achievement-30000399,
achievement-10000400,期待邂逅什么错
achievement-20000400,在宿舍中收集100颗战术少女或融合势力单位的爱心。
achievement-30000400,
achievement-10000401,我的人形太可爱
achievement-20000401,在宿舍中收集500颗战术少女或融合势力单位的爱心。
achievement-30000401,
achievement-10000402,线上老婆是女生
achievement-20000402,在宿舍中收集1000颗战术少女或融合势力单位的爱心。
achievement-30000402,
achievement-10000403,我的朋友并不少
achievement-20000403,在宿舍中收集2000颗战术少女或融合势力单位的爱心。
achievement-30000403,
achievement-10000404,我的青春没问题
achievement-20000404,在宿舍中收集5000颗战术少女或融合势力单位的爱心。
achievement-30000404,
achievement-10000405,绑到女校当长官
achievement-20000405,在宿舍中收集10000颗战术少女或融合势力单位的爱心。
achievement-30000405,
achievement-10000406,恋爱高校优等生
achievement-20000406,在宿舍中收集20000颗战术少女或融合势力单位的爱心。
achievement-30000406,
achievement-10000407,女友人形修罗场
achievement-20000407,在宿舍中收集50000颗战术少女或融合势力单位的爱心。
achievement-30000407,
achievement-10000408,第三新闻社
achievement-20000408,开启第3间宿舍。
achievement-30000408,
achievement-10000409,第四维
achievement-20000409,开启第4间宿舍。
achievement-30000409,
achievement-10000410,第五季
achievement-20000410,开启第5间宿舍。
achievement-30000410,
achievement-10000411,第六感
achievement-20000411,开启第6间宿舍。
achievement-30000411,
achievement-10000412,第七天堂
achievement-20000412,开启第7间宿舍。
achievement-30000412,
achievement-10000413,第八日
achievement-20000413,开启第8间宿舍。
achievement-30000413,
achievement-10000414,浪漫满屋
achievement-20000414,首次获得4星家具套装加成。
achievement-30000414,
achievement-10000415,幸福之家
achievement-20000415,首次获得5星家具1阶套装加成。
achievement-30000415,
achievement-10000416,小岛大亨
achievement-20000416,首次获得5星家具2阶套装加成。
achievement-30000416,
achievement-10000417,天际城市
achievement-20000417,首次获得5星家具3阶套装加成。
achievement-30000417,
achievement-10000425,入门级收藏：霰弹枪
achievement-20000425,图鉴解锁1位霰弹枪型战术少女。
achievement-30000425,
achievement-10000426,见习级收藏：霰弹枪
achievement-20000426,图鉴解锁5位不同的霰弹枪型战术少女。
achievement-30000426,
achievement-10000427,进阶级收藏：霰弹枪
achievement-20000427,图鉴解锁10位不同的霰弹枪型战术少女。
achievement-30000427,
achievement-10000428,专家级收藏：霰弹枪
achievement-20000428,图鉴解锁15位不同的霰弹枪型战术少女。
achievement-30000428,
achievement-10000429,学者级收藏：霰弹枪
achievement-20000429,图鉴解锁20位不同的霰弹枪型战术少女。
achievement-30000429,
achievement-10000430,精英级收藏：霰弹枪
achievement-20000430,图鉴解锁25位不同的霰弹枪型战术少女。
achievement-30000430,
achievement-10000431,大师级收藏：霰弹枪
achievement-20000431,图鉴解锁30位不同的霰弹枪型战术少女。
achievement-30000431,
achievement-10000432,向阳花F375
achievement-20000432,收集10颗格琳娜的爱心。
achievement-30000432,
achievement-10000433,向阳花F376
achievement-20000433,收集20颗格琳娜的爱心。
achievement-30000433,
achievement-10000434,向阳花F377
achievement-20000434,收集50颗格琳娜的爱心。
achievement-30000434,
achievement-10000435,向阳花F452
achievement-20000435,收集100颗格琳娜的爱心。
achievement-30000435,
achievement-10000436,向阳花F453
achievement-20000436,收集200颗格琳娜的爱心。
achievement-30000436,
achievement-10000437,向阳花F454
achievement-20000437,收集500颗格琳娜的爱心。
achievement-30000437,
achievement-10000438,向阳花F455
achievement-20000438,收集1000颗格琳娜的爱心。
achievement-30000438,
achievement-10000439,向阳花F456
achievement-20000439,收集2000颗格琳娜的爱心。
achievement-30000439,
achievement-10000440,向阳花F457
achievement-20000440,收集5000颗格琳娜的爱心。
achievement-30000440,
achievement-10000441,重型制造
achievement-20000441,累计进行1次战术少女重型制造。
achievement-30000441,
achievement-10000442,霰射5
achievement-20000442,累计进行5次战术少女重型制造。
achievement-30000442,
achievement-10000443,荒野兵器
achievement-20000443,累计进行10次战术少女重型制造。
achievement-30000443,
achievement-10000444,重装机兵
achievement-20000444,累计进行20次战术少女重型制造。
achievement-30000444,
achievement-10000445,异度装甲
achievement-20000445,累计进行50次战术少女重型制造。
achievement-30000445,
achievement-10000446,蒸汽女孩
achievement-20000446,累计进行100次战术少女重型制造。
achievement-30000446,
achievement-10000447,地狱女爵
achievement-20000447,累计进行200次战术少女重型制造。
achievement-30000447,
achievement-10000448,毁灭人形
achievement-20000448,累计进行500次战术少女重型制造。
achievement-30000448,
achievement-10000449,格里芬本色
achievement-20000449,累计进行1000次战术少女重型制造。
achievement-30000449,
achievement-10000450,铁血终结者
achievement-20000450,累计进行2000次战术少女重型制造。
achievement-30000450,
achievement-10000451,装备强化
achievement-20000451,累计进行1次装备强化。
achievement-30000451,
achievement-10000452,秘银
achievement-20000452,累计进行10次装备强化。
achievement-30000452,
achievement-10000453,精金
achievement-20000453,累计进行100次装备强化。
achievement-30000453,
achievement-10000454,辉光碎片
achievement-20000454,累计进行500次装备强化。
achievement-30000454,
achievement-10000455,楔形石
achievement-20000455,累计进行1000次装备强化。
achievement-30000455,
achievement-10000456,大块血石
achievement-20000456,累计进行5000次装备强化。
achievement-30000456,
achievement-10000457,女神之血
achievement-20000457,累计进行10000次装备强化。
achievement-30000457,
achievement-10000458,奥利哈刚
achievement-20000458,累计进行20000次装备强化。
achievement-30000458,
achievement-10000459,库雷利亚
achievement-20000459,累计进行50000次装备强化。
achievement-30000459,
achievement-10000460,装备调试
achievement-20000460,累计进行1次装备校准。
achievement-30000460,
achievement-10000461,返工报告
achievement-20000461,累计进行10次装备校准。
achievement-30000461,
achievement-10000462,改修工程
achievement-20000462,累计进行100次装备校准。
achievement-30000462,
achievement-10000463,需求地狱
achievement-20000463,累计进行500次装备校准。
achievement-30000463,
achievement-10000464,完美成品
achievement-20000464,累计进行1000次装备校准。
achievement-30000464,
achievement-10000465,最终进化
achievement-20000465,累计进行2000次装备校准。
achievement-30000465,
achievement-10000466,究极造物
achievement-20000466,累计进行5000次装备校准。
achievement-30000466,
achievement-10000467,熬夜检修
achievement-20000467,累计进行50次装备校准。
achievement-30000467,
achievement-10000468,爆炸艺术
achievement-20000468,累计进行10000次装备校准。
achievement-30000468,
achievement-10000469,第九城镇
achievement-20000469,开启第9间宿舍。
achievement-30000469,
achievement-10000470,第十放松室
achievement-20000470,开启第10间宿舍。
achievement-30000470,
achievement-10000471,我可以养它吗？
achievement-20000471,收养1只宠物。
achievement-30000471,
achievement-10000472,三猫成虎
achievement-20000472,收养3只不同的宠物。
achievement-30000472,
achievement-10000473,猫咪公主
achievement-20000473,收养5只不同的宠物。
achievement-30000473,
achievement-10000474,10忠狗
achievement-20000474,收养10只不同的宠物。
achievement-30000474,
achievement-10000475,宠物世界
achievement-20000475,收养15只不同的宠物。
achievement-30000475,
achievement-10000476,格里芬公园
achievement-20000476,收养20只不同的宠物。
achievement-30000476,
achievement-10000477,电池
achievement-20000477,累计获得10个电池。
achievement-30000477,
achievement-10000478,人形公寓
achievement-20000478,累计获得100个电池。
achievement-30000478,
achievement-10000479,家有少女
achievement-20000479,累计获得500个电池。
achievement-30000479,
achievement-10000480,梯队外传
achievement-20000480,累计获得1000个电池。
achievement-30000480,
achievement-10000481,我爱你家
achievement-20000481,累计获得5000个电池。
achievement-30000481,
achievement-10000482,闲人格琳娜
achievement-20000482,累计获得10000个电池。
achievement-30000482,
achievement-10000483,格里芬一家人
achievement-20000483,累计获得50000个电池。
achievement-30000483,
achievement-10000484,搞事班的故事
achievement-20000484,累计获得100000个电池。
achievement-30000484,
achievement-10000485,地下沟通站
achievement-20000485,累计获得200000个电池。
achievement-30000485,
achievement-10000486,指挥部的故事
achievement-20000486,累计获得500000个电池。
achievement-30000486,
achievement-10000487,获得好友
achievement-20000487,拥有1个好友。
achievement-30000487,
achievement-10000488,木头人
achievement-20000488,拥有10个好友。
achievement-30000488,
achievement-10000489,丢手绢
achievement-20000489,拥有20个好友。
achievement-30000489,
achievement-10000490,老狼几点了
achievement-20000490,拥有30个好友。
achievement-30000490,
achievement-10000491,老鹰捉小鸡
achievement-20000491,拥有40个好友。
achievement-30000491,
achievement-10000492,击鼓传花
achievement-20000492,拥有50个好友。
achievement-30000492,
achievement-10000493,好友支援
achievement-20000493,累计使用1次好友的支援梯队。
achievement-30000493,
achievement-10000494,来人呐！
achievement-20000494,累计使用50次好友的支援梯队。
achievement-30000494,
achievement-10000495,天降之物
achievement-20000495,累计使用100次好友的支援梯队。
achievement-30000495,
achievement-10000496,老猎人之铃
achievement-20000496,累计使用500次好友的支援梯队。
achievement-30000496,
achievement-10000497,友情 努力 通关
achievement-20000497,累计使用1000次好友的支援梯队。
achievement-30000497,
achievement-10000498,友谊是魔法
achievement-20000498,累计使用2000次好友的支援梯队。
achievement-30000498,
achievement-10000499,赞美太阳！
achievement-20000499,累计使用5000次好友的支援梯队。
achievement-30000499,
achievement-10000500,一万破天钻
achievement-20000500,累计使用10000次好友的支援梯队。
achievement-30000500,
achievement-10000501,元气弹
achievement-20000501,累计使用20000次好友的支援梯队。
achievement-30000501,
achievement-10000502,羁绊是力量之源
achievement-20000502,累计使用50000次好友的支援梯队。
achievement-30000502,
achievement-10000503,获赠电池
achievement-20000503,累计从好友处获得1次共享电池。
achievement-30000503,
achievement-10000504,我来也
achievement-20000504,累计从好友处获得50次共享电池。
achievement-30000504,
achievement-10000505,串门子
achievement-20000505,累计从好友处获得100次共享电池。
achievement-30000505,
achievement-10000506,龙门阵
achievement-20000506,累计从好友处获得500次共享电池。
achievement-30000506,
achievement-10000507,自来熟
achievement-20000507,累计从好友处获得1000次共享电池。
achievement-30000507,
achievement-10000508,摸鱼王
achievement-20000508,累计从好友处获得2000次共享电池。
achievement-30000508,
achievement-10000509,白昼茶会
achievement-20000509,累计从好友处获得5000次共享电池。
achievement-30000509,
achievement-10000510,拉呱大王
achievement-20000510,累计从好友处获得10000次共享电池。
achievement-30000510,
achievement-10000511,朋友圈大师
achievement-20000511,累计从好友处获得20000次共享电池。
achievement-30000511,
achievement-10000512,战斗队长
achievement-20000512,累计获得110枚铜星勋章。
achievement-30000512,
achievement-10000513,进阶战斗队长
achievement-20000513,累计获得120枚铜星勋章。
achievement-30000513,
achievement-10000514,精英战斗队长
achievement-20000514,累计获得130枚铜星勋章。
achievement-30000514,
achievement-10000515,资深战斗队长
achievement-20000515,累计获得140枚铜星勋章。
achievement-30000515,
achievement-10000516,高阶战斗队长
achievement-20000516,累计获得150枚铜星勋章。
achievement-30000516,
achievement-10000517,战术参谋
achievement-20000517,累计获得110枚银星勋章。
achievement-30000517,
achievement-10000518,进阶战术参谋
achievement-20000518,累计获得120枚银星勋章。
achievement-30000518,
achievement-10000519,精英战术参谋
achievement-20000519,累计获得130枚银星勋章。
achievement-30000519,
achievement-10000520,战地英雄
achievement-20000520,累计获得110枚金星勋章。
achievement-30000520,
achievement-10000521,进阶战地英雄
achievement-20000521,累计获得120枚金星勋章。
achievement-30000521,
achievement-10000522,精英战地英雄
achievement-20000522,累计获得130枚金星勋章。
achievement-30000522,
achievement-10000523,妖精指令
achievement-20000523,累计获得10个妖精指令。
achievement-30000523,
achievement-10000524,亮枪
achievement-20000524,累计获得100个妖精指令。
achievement-30000524,
achievement-10000525,鹫语者
achievement-20000525,累计获得500个妖精指令。
achievement-30000525,
achievement-10000526,姐妹连
achievement-20000526,累计获得1000个妖精指令。
achievement-30000526,
achievement-10000527,拆包部队
achievement-20000527,累计获得2000个妖精指令。
achievement-30000527,
achievement-10000528,灰鸡坠落
achievement-20000528,累计获得5000个妖精指令。
achievement-30000528,
achievement-10000529,格里芬家书
achievement-20000529,累计获得10000个妖精指令。
achievement-30000529,
achievement-10000530,奇怪博士
achievement-20000530,累计获得20000个妖精指令。
achievement-30000530,
achievement-10000531,克鲁格的名单
achievement-20000531,累计获得50000个妖精指令。
achievement-30000531,
achievement-10000532,一个承包商的诞生
achievement-20000532,累计获得100000个妖精指令。
achievement-30000532,
achievement-10000533,重型装备制造
achievement-20000533,累计进行1次装备重型制造。
achievement-30000533,
achievement-10000534,装置制造者
achievement-20000534,累计进行10次装备重型制造。
achievement-30000534,
achievement-10000535,桥梁设计师
achievement-20000535,累计进行20次装备重型制造。
achievement-30000535,
achievement-10000536,监狱建筑师
achievement-20000536,累计进行50次装备重型制造。
achievement-30000536,
achievement-10000537,狮鹫谷物语
achievement-20000537,累计进行100次装备重型制造。
achievement-30000537,
achievement-10000538,过山车之星
achievement-20000538,累计进行200次装备重型制造。
achievement-30000538,
achievement-10000539,进步之路
achievement-20000539,累计进行500次装备重型制造。
achievement-30000539,
achievement-10000540,天际线
achievement-20000540,累计进行1000次装备重型制造。
achievement-30000540,
achievement-10000541,围攻
achievement-20000541,累计进行2000次装备重型制造。
achievement-30000541,
achievement-10000542,纪元2062
achievement-20000542,累计进行5000次装备重型制造。
achievement-30000542,
achievement-10000543,图灵妖精
achievement-20000543,首个妖精升到3星。
achievement-30000543,
achievement-10000544,控制论精灵
achievement-20000544,首个妖精升到4星。
achievement-30000544,
achievement-10000545,不确定性魔女
achievement-20000545,首个妖精升到5星。
achievement-30000545,
achievement-10000546,战术妖精
achievement-20000546,首次获得妖精。
achievement-30000546,
achievement-10000547,入门级收藏：妖精
achievement-20000547,获得3个不同的妖精。
achievement-30000547,
achievement-10000548,见习级收藏：妖精
achievement-20000548,获得5个不同的妖精。
achievement-30000548,
achievement-10000549,进阶级收藏：妖精
achievement-20000549,获得10个不同的妖精。
achievement-30000549,
achievement-10000550,专家级收藏：妖精
achievement-20000550,获得15个不同的妖精。
achievement-30000550,
achievement-10000551,学者级收藏：妖精
achievement-20000551,获得20个不同的妖精。
achievement-30000551,
achievement-10000552,精英级收藏：妖精
achievement-20000552,获得25个不同的妖精。
achievement-30000552,
achievement-10000553,大师级收藏：妖精
achievement-20000553,获得30个不同的妖精。
achievement-30000553,
achievement-10000554,枕下乳牙
achievement-20000554,累计进行1次妖精校准。
achievement-30000554,
achievement-10000555,一坛金币
achievement-20000555,累计进行10次妖精校准。
achievement-30000555,
achievement-10000556,飞行仙粉
achievement-20000556,累计进行50次妖精校准。
achievement-30000556,
achievement-10000557,格里芬神灯
achievement-20000557,累计进行100次妖精校准。
achievement-30000557,
achievement-10000558,血岩碎片
achievement-20000558,累计进行500次妖精校准。
achievement-30000558,
achievement-10000559,头盔，飞鞋，羊皮口袋。
achievement-20000559,累计进行1000次妖精校准。
achievement-30000559,
achievement-10000560,湖中剑
achievement-20000560,累计进行2000次妖精校准。
achievement-30000560,
achievement-10000561,咕噜的宝贝
achievement-20000561,累计进行5000次妖精校准。
achievement-30000561,
achievement-10000562,一只袜子！
achievement-20000562,累计进行1次妖精拆解。
achievement-30000562,
achievement-10000563,驱魔人
achievement-20000563,累计进行10次妖精拆解。
achievement-30000563,
achievement-10000564,恶灵退散
achievement-20000564,累计进行50次妖精拆解。
achievement-30000564,
achievement-10000565,嫁给鼹鼠
achievement-20000565,累计进行100次妖精拆解。
achievement-30000565,
achievement-10000566,仲夏夜之梦
achievement-20000566,累计进行500次妖精拆解。
achievement-30000566,
achievement-10000567,奥尔良的妖精
achievement-20000567,累计进行1000次妖精拆解。
achievement-30000567,
achievement-10000568,妖精之锤
achievement-20000568,累计进行2000次妖精拆解。
achievement-30000568,
achievement-10000569,家养小精灵权益促进会
achievement-20000569,累计进行5000次妖精拆解。
achievement-30000569,
achievement-10000570,公共休息室
achievement-20000570,累计进行1次妖精强化。
achievement-30000570,
achievement-10000571,石环阵
achievement-20000571,累计进行10次妖精强化。
achievement-30000571,
achievement-10000572,格里芬的吹笛人
achievement-20000572,累计进行50次妖精强化。
achievement-30000572,
achievement-10000573,百鬼夜行
achievement-20000573,累计进行100次妖精强化。
achievement-30000573,
achievement-10000574,阿瓦隆的守护者
achievement-20000574,累计进行500次妖精强化。
achievement-30000574,
achievement-10000575,一千零一夜
achievement-20000575,累计进行1000次妖精强化。
achievement-30000575,
achievement-10000576,梦幻岛
achievement-20000576,累计进行2000次妖精强化。
achievement-30000576,
achievement-10000577,彩虹尽头
achievement-20000577,累计进行5000次妖精强化。
achievement-30000577,
achievement-10000578,林间花仙
achievement-20000578,累计进行1次妖精技能升级。
achievement-30000578,
achievement-10000579,山谷妖精
achievement-20000579,累计进行10次妖精技能升级。
achievement-30000579,
achievement-10000580,洞穴哥布林
achievement-20000580,累计进行20次妖精技能升级。
achievement-30000580,
achievement-10000581,溫蒂妮之泉
achievement-20000581,累计进行50次妖精技能升级。
achievement-30000581,
achievement-10000582,礁上塞壬
achievement-20000582,累计进行100次妖精技能升级。
achievement-30000582,
achievement-10000583,报丧女妖
achievement-20000583,累计进行200次妖精技能升级。
achievement-30000583,
achievement-10000584,戈尔工姐妹
achievement-20000584,累计进行500次妖精技能升级。
achievement-30000584,
achievement-10000585,心智升级
achievement-20000585,首次进行心智升级。
achievement-30000585,
achievement-10000586,这个女人来自IOP
achievement-20000586,累计进行5次心智升级。
achievement-30000586,
achievement-10000587,她的回忆
achievement-20000587,累计进行10次心智升级。
achievement-30000587,
achievement-10000588,人形星球
achievement-20000588,累计进行20次心智升级。
achievement-30000588,
achievement-10000589,大都会
achievement-20000589,累计进行50次心智升级。
achievement-30000589,
achievement-10000590,发条巧克力
achievement-20000590,累计进行100次心智升级。
achievement-30000590,
achievement-10000591,十二可乐
achievement-20000591,累计进行200次心智升级。
achievement-30000591,
achievement-10000592,格里芬漫游指南
achievement-20000592,累计进行300次心智升级。
achievement-30000592,
achievement-10000593,银翼枪手2064
achievement-20000593,累计进行400次心智升级。
achievement-30000593,
achievement-10000594,2064天空漫游
achievement-20000594,累计进行500次心智升级。
achievement-30000594,
achievement-10000595,心之技
achievement-20000595,首个战术少女解锁技能2。
achievement-30000595,
achievement-10000596,墓碑钉头
achievement-20000596,5个战术少女解锁技能2。
achievement-30000596,
achievement-10000597,人形之肘
achievement-20000597,10个战术少女解锁技能2。
achievement-30000597,
achievement-10000598,暴雨式背摔
achievement-20000598,20个战术少女解锁技能2。
achievement-30000598,
achievement-10000599,巴蕾斯塔炸弹
achievement-20000599,50个战术少女解锁技能2。
achievement-30000599,
achievement-10000600,薇尔德大脚
achievement-20000600,100个战术少女解锁技能2。
achievement-30000600,
achievement-10000601,杰丽柯长城
achievement-20000601,150个战术少女解锁技能2。
achievement-30000601,
