main_quest-10000001,完成行动：普通1-1
main_quest-20000269,首次通过普通8-2，获得该关卡铜章。
main_quest-10000270,完成行动：普通8-3
main_quest-20000270,首次通过普通8-3，获得该关卡铜章。
main_quest-10000271,完成行动：普通8-4
main_quest-20000271,首次通过普通8-4，获得该关卡铜章。
main_quest-10000272,完成行动：普通8-5
main_quest-20000272,首次通过普通8-5，获得该关卡铜章。
main_quest-10000273,完成行动：普通8-6
main_quest-20000273,首次通过普通8-6，获得该关卡铜章。
main_quest-10000274,完成行动：紧急8-1
main_quest-20000274,首次通过紧急8-1，获得该关卡铜章。
main_quest-10000275,完成行动：紧急8-2
main_quest-20000275,首次通过紧急8-2，获得该关卡铜章。
main_quest-10000276,完成行动：紧急8-3
main_quest-20000276,首次通过紧急8-3，获得该关卡铜章。
main_quest-10000277,完成行动：紧急8-4
main_quest-20000277,首次通过紧急8-4，获得该关卡铜章。
main_quest-10000278,全境封锁：普通8-1
main_quest-20000278,普通8-1首次全占领，获得该关卡银章。
main_quest-10000279,全境封锁：普通8-2
main_quest-20000279,普通8-2首次全占领，获得该关卡银章。
main_quest-10000280,全境封锁：普通8-3
main_quest-20000280,普通8-3首次全占领，获得该关卡银章。
main_quest-10000281,全境封锁：普通8-4
main_quest-20000281,普通8-4首次全占领，获得该关卡银章。
main_quest-10000282,全境封锁：普通8-5
main_quest-20000282,普通8-5首次全占领，获得该关卡银章。
main_quest-10000283,全境封锁：普通8-6
main_quest-20000283,普通8-6首次全占领，获得该关卡银章。
main_quest-10000284,全境封锁：紧急8-1
main_quest-20000284,紧急8-1首次全占领，获得该关卡银章。
main_quest-10000285,全境封锁：紧急8-2
main_quest-20000285,紧急8-2首次全占领，获得该关卡银章。
main_quest-10000286,全境封锁：紧急8-3
main_quest-20000286,紧急8-3首次全占领，获得该关卡银章。
main_quest-10000287,全境封锁：紧急8-4
main_quest-20000287,紧急8-4首次全占领，获得该关卡银章。
main_quest-10000288,完美胜利：普通8-1
main_quest-20000288,首次以S评价通过普通8-1，获得该关卡金章。
main_quest-10000289,完美胜利：普通8-2
main_quest-20000289,首次以S评价通过普通8-2，获得该关卡金章。
main_quest-10000290,完美胜利：普通8-3
main_quest-20000290,首次以S评价通过普通8-3，获得该关卡金章。
main_quest-10000291,完美胜利：普通8-4
main_quest-20000291,首次以S评价通过普通8-4，获得该关卡金章。
main_quest-10000292,完美胜利：普通8-5
main_quest-20000292,首次以S评价通过普通8-5，获得该关卡金章。
main_quest-10000293,完美胜利：普通8-6
main_quest-20000293,首次以S评价通过普通8-6，获得该关卡金章。
main_quest-10000294,完美胜利：紧急8-1
main_quest-20000294,首次以S评价通过紧急8-1，获得该关卡金章。
main_quest-10000295,完美胜利：紧急8-2
main_quest-20000295,首次以S评价通过紧急8-2，获得该关卡金章。
main_quest-10000296,完美胜利：紧急8-3
main_quest-20000296,首次以S评价通过紧急8-3，获得该关卡金章。
main_quest-10000297,完美胜利：紧急8-4
main_quest-20000297,首次以S评价通过紧急8-4，获得该关卡金章。
main_quest-10000298,完成行动：夜战6-1
main_quest-20000298,首次通过夜战6-1。
main_quest-10000299,完成行动：夜战6-2
main_quest-20000299,首次通过夜战6-2。
main_quest-10000300,完成行动：夜战6-3
main_quest-20000300,首次通过夜战6-3。
main_quest-10000301,完成行动：夜战6-4
main_quest-20000301,首次通过夜战6-4。
main_quest-10000302,完成行动：普通9-1
main_quest-20000302,首次通过普通9-1，获得该关卡铜章。
main_quest-10000303,完成行动：普通9-2
main_quest-20000303,首次通过普通9-2，获得该关卡铜章。
main_quest-10000304,完成行动：普通9-3
main_quest-20000304,首次通过普通9-3，获得该关卡铜章。
main_quest-10000305,完成行动：普通9-4
main_quest-20000305,首次通过普通9-4，获得该关卡铜章。
main_quest-10000306,完成行动：普通9-5
main_quest-20000306,首次通过普通9-5，获得该关卡铜章。
main_quest-10000307,完成行动：普通9-6
main_quest-20000307,首次通过普通9-6，获得该关卡铜章。
main_quest-10000308,完成行动：紧急9-1
main_quest-20000308,首次通过紧急9-1，获得该关卡铜章。
main_quest-10000309,完成行动：紧急9-2
main_quest-20000309,首次通过紧急9-2，获得该关卡铜章。
main_quest-10000310,完成行动：紧急9-3
main_quest-20000310,首次通过紧急9-3，获得该关卡铜章。
main_quest-10000311,完成行动：紧急9-4
main_quest-20000311,首次通过紧急9-4，获得该关卡铜章。
main_quest-10000312,全境封锁：普通9-1
main_quest-20000312,普通9-1首次全占领，获得该关卡银章。
main_quest-10000313,全境封锁：普通9-2
main_quest-20000313,普通9-2首次全占领，获得该关卡银章。
main_quest-10000314,全境封锁：普通9-3
main_quest-20000314,普通9-3首次全占领，获得该关卡银章。
main_quest-10000315,全境封锁：普通9-4
main_quest-20000315,普通9-4首次全占领，获得该关卡银章。
main_quest-10000316,全境封锁：普通9-5
main_quest-20000316,普通9-5首次全占领，获得该关卡银章。
main_quest-10000317,全境封锁：普通9-6
main_quest-20000317,普通9-6首次全占领，获得该关卡银章。
main_quest-10000318,全境封锁：紧急9-1
main_quest-20000318,紧急9-1首次全占领，获得该关卡银章。
main_quest-10000319,全境封锁：紧急9-2
main_quest-20000319,紧急9-2首次全占领，获得该关卡银章。
main_quest-10000320,飓风营救：紧急9-3
main_quest-20000320,成功救援2个人形。
main_quest-10000321,飓风营救：紧急9-4
main_quest-20000321,成功救援3个人形。
main_quest-10000322,完美胜利：普通9-1
main_quest-20000322,首次以S评价通过普通9-1，获得该关卡金章。
main_quest-10000323,完美胜利：普通9-2
main_quest-20000323,首次以S评价通过普通9-2，获得该关卡金章。
main_quest-10000324,完美胜利：普通9-3
main_quest-20000324,首次以S评价通过普通9-3，获得该关卡金章。
main_quest-10000325,完美胜利：普通9-4
main_quest-20000325,首次以S评价通过普通9-4，获得该关卡金章。
main_quest-10000326,完美胜利：普通9-5
main_quest-20000326,首次以S评价通过普通9-5，获得该关卡金章。
main_quest-10000327,完美胜利：普通9-6
main_quest-20000327,首次以S评价通过普通9-6，获得该关卡金章。
main_quest-10000328,完美胜利：紧急9-1
main_quest-20000328,首次以S评价通过紧急9-1，获得该关卡金章。
main_quest-10000329,完美胜利：紧急9-2
main_quest-20000329,首次以S评价通过紧急9-2，获得该关卡金章。
main_quest-10000330,完美胜利：紧急9-3
main_quest-20000330,首次以S评价通过紧急9-3，获得该关卡金章。
main_quest-10000331,完美胜利：紧急9-4
main_quest-20000331,首次以S评价通过紧急9-4，获得该关卡金章。
main_quest-10000332,完成行动：普通10-1
main_quest-20000332,首次通过普通10-1，获得该关卡铜章。
main_quest-10000333,完成行动：普通10-2
main_quest-20000333,首次通过普通10-2，获得该关卡铜章。
main_quest-10000334,完成行动：普通10-3
main_quest-20000334,首次通过普通10-3，获得该关卡铜章。
main_quest-10000335,完成行动：普通10-4
main_quest-20000335,首次通过普通10-4，获得该关卡铜章。
main_quest-10000336,完成行动：普通10-5
main_quest-20000336,首次通过普通10-5，获得该关卡铜章。
main_quest-10000337,完成行动：普通10-6
main_quest-20000337,首次通过普通10-6，获得该关卡铜章。
main_quest-10000338,完成行动：紧急10-1
main_quest-20000338,首次通过紧急10-1，获得该关卡铜章。
main_quest-10000339,完成行动：紧急10-2
main_quest-20000339,首次通过紧急10-2，获得该关卡铜章。
main_quest-10000340,完成行动：紧急10-3
main_quest-20000340,首次通过紧急10-3，获得该关卡铜章。
main_quest-10000341,完成行动：紧急10-4
main_quest-20000341,首次通过紧急10-4，获得该关卡铜章。
main_quest-10000342,全境封锁：普通10-1
main_quest-20000342,普通10-1首次全占领，获得该关卡银章。
main_quest-10000343,全境封锁：普通10-2
main_quest-20000343,普通10-2首次全占领，获得该关卡银章。
main_quest-10000344,全境封锁：普通10-3
main_quest-20000344,普通10-3首次全占领，获得该关卡银章。
main_quest-10000345,全境封锁：普通10-4
main_quest-20000345,普通10-4首次全占领，获得该关卡银章。
main_quest-10000346,全境封锁：普通10-5
main_quest-20000346,普通10-5首次全占领，获得该关卡银章。
main_quest-10000347,飓风营救：普通10-6
main_quest-20000347,成功救援2个人形。
main_quest-10000348,全境封锁：紧急10-1
main_quest-20000348,紧急10-1首次全占领，获得该关卡银章。
main_quest-10000349,飓风营救：紧急10-2
main_quest-20000349,成功救援6个人形。
main_quest-10000350,全境封锁：紧急10-3
main_quest-20000350,紧急10-3首次全占领，获得该关卡银章。
main_quest-10000351,全境封锁：紧急10-4
main_quest-20000351,紧急10-4首次全占领，获得该关卡银章。
main_quest-10000352,完美胜利：普通10-1
main_quest-20000352,首次以S评价通过普通10-1，获得该关卡金章。
main_quest-10000353,完美胜利：普通10-2
main_quest-20000353,首次以S评价通过普通10-2，获得该关卡金章。
main_quest-10000354,完美胜利：普通10-3
main_quest-20000354,首次以S评价通过普通10-3，获得该关卡金章。
main_quest-10000355,完美胜利：普通10-4
main_quest-20000355,首次以S评价通过普通10-4，获得该关卡金章。
main_quest-10000356,完美胜利：普通10-5
main_quest-20000356,首次以S评价通过普通10-5，获得该关卡金章。
main_quest-10000357,完美胜利：普通10-6
main_quest-20000357,首次以S评价通过普通10-6，获得该关卡金章。
main_quest-10000358,完美胜利：紧急10-1
main_quest-20000358,首次以S评价通过紧急10-1，获得该关卡金章。
main_quest-10000359,完美胜利：紧急10-2
main_quest-20000359,首次以S评价通过紧急10-2，获得该关卡金章。
main_quest-10000360,完美胜利：紧急10-3
main_quest-20000360,首次以S评价通过紧急10-3，获得该关卡金章。
main_quest-10000361,完美胜利：紧急10-4
main_quest-20000361,首次以S评价通过紧急10-4，获得该关卡金章。
main_quest-10000362,完成行动：夜战7-1
main_quest-20000362,首次通过夜战7-1。
main_quest-10000363,完成行动：夜战7-2
main_quest-20000363,首次通过夜战7-2。
main_quest-10000364,完成行动：夜战7-3
main_quest-20000364,首次通过夜战7-3。
main_quest-10000365,完成行动：夜战7-4
main_quest-20000365,首次通过夜战7-4。
main_quest-10000366,完成行动：夜战8-1
main_quest-20000366,首次通过夜战8-1。
main_quest-10000367,完成行动：夜战8-2
main_quest-20000367,首次通过夜战8-2。
main_quest-10000368,完成行动：夜战8-3
main_quest-20000368,首次通过夜战8-3。
main_quest-10000369,完成行动：夜战8-4
main_quest-20000369,首次通过夜战8-4。
main_quest-10000370,完成行动：普通11-1
main_quest-20000370,首次通过普通11-1，获得该关卡铜章。
main_quest-10000371,完成行动：普通11-2
main_quest-20000371,首次通过普通11-2，获得该关卡铜章。
main_quest-10000372,完成行动：普通11-3
main_quest-20000372,首次通过普通11-3，获得该关卡铜章。
main_quest-10000373,完成行动：普通11-4
main_quest-20000373,首次通过普通11-4，获得该关卡铜章。
main_quest-10000374,完成行动：普通11-5
main_quest-20000374,首次通过普通11-5，获得该关卡铜章。
main_quest-10000375,完成行动：普通11-6
main_quest-20000375,首次通过普通11-6，获得该关卡铜章。
main_quest-10000376,完成行动：紧急11-1
main_quest-20000376,首次通过紧急11-1，获得该关卡铜章。
main_quest-10000377,完成行动：紧急11-2
main_quest-20000377,首次通过紧急11-2，获得该关卡铜章。
main_quest-10000378,完成行动：紧急11-3
main_quest-20000378,首次通过紧急11-3，获得该关卡铜章。
main_quest-10000379,完成行动：紧急11-4
main_quest-20000379,首次通过紧急11-4，获得该关卡铜章。
main_quest-10000380,全境封锁：普通11-1
main_quest-20000380,普通11-1首次全占领，获得该关卡银章。
main_quest-10000381,全境封锁：普通11-2
main_quest-20000381,普通11-2首次全占领，获得该关卡银章。
main_quest-10000382,全境封锁：普通11-3
main_quest-20000382,普通11-3首次全占领，获得该关卡银章。
main_quest-10000383,飓风营救：普通11-4
main_quest-20000383,成功救援3个人形。
main_quest-10000384,全境封锁：普通11-5
main_quest-20000384,普通11-5首次全占领，获得该关卡银章。
main_quest-10000385,全境封锁：普通11-6
main_quest-20000385,普通11-6首次全占领，获得该关卡银章。
main_quest-10000386,飓风营救：紧急11-1
main_quest-20000386,成功救援4个人形。
main_quest-10000387,全境封锁：紧急11-2
main_quest-20000387,紧急11-2首次全占领，获得该关卡银章。
main_quest-10000388,飓风营救：紧急11-3
main_quest-20000388,成功救援1个人形。
main_quest-10000389,全境封锁：紧急11-4
main_quest-20000389,紧急11-4首次全占领，获得该关卡银章。
main_quest-10000390,完美胜利：普通11-1
main_quest-20000390,首次以S评价通过普通11-1，获得该关卡金章。
main_quest-10000391,完美胜利：普通11-2
main_quest-20000391,首次以S评价通过普通11-2，获得该关卡金章。
main_quest-10000392,完美胜利：普通11-3
main_quest-20000392,首次以S评价通过普通11-3，获得该关卡金章。
main_quest-10000393,完美胜利：普通11-4
main_quest-20000393,首次以S评价通过普通11-4，获得该关卡金章。
main_quest-10000394,完美胜利：普通11-5
main_quest-20000394,首次以S评价通过普通11-5，获得该关卡金章。
main_quest-10000395,完美胜利：普通11-6
main_quest-20000395,首次以S评价通过普通11-6，获得该关卡金章。
main_quest-10000396,完美胜利：紧急11-1
main_quest-20000396,首次以S评价通过紧急11-1，获得该关卡金章。
main_quest-10000397,完美胜利：紧急11-2
main_quest-20000397,首次以S评价通过紧急11-2，获得该关卡金章。
main_quest-10000398,完美胜利：紧急11-3
main_quest-20000398,首次以S评价通过紧急11-3，获得该关卡金章。
main_quest-10000399,完美胜利：紧急11-4
main_quest-20000399,首次以S评价通过紧急11-4，获得该关卡金章。
main_quest-10000400,完成行动：夜战9-1
main_quest-20000400,首次通过夜战9-1。
main_quest-10000401,完成行动：夜战9-2
main_quest-20000401,首次通过夜战9-2。
main_quest-10000402,完成行动：夜战9-3
main_quest-20000402,首次通过夜战9-3。
main_quest-10000403,完成行动：夜战9-4
main_quest-20000403,首次通过夜战9-4。
main_quest-10000404,完成行动：夜战10-1
main_quest-20000404,首次通过夜战10-1。
main_quest-10000405,完成行动：夜战10-2
main_quest-20000405,首次通过夜战10-2。
main_quest-10000406,完成行动：夜战10-3
main_quest-20000406,首次通过夜战10-3。
main_quest-10000407,完成行动：夜战10-4
main_quest-20000407,首次通过夜战10-4。
main_quest-10000408,完成行动：普通12-1
main_quest-20000408,首次通过普通12-1，获得该关卡铜章。
main_quest-10000409,完成行动：普通12-2
main_quest-20000409,首次通过普通12-2，获得该关卡铜章。
main_quest-10000410,完成行动：普通12-3
main_quest-20000410,首次通过普通12-3，获得该关卡铜章。
main_quest-10000411,完成行动：普通12-4
main_quest-20000411,首次通过普通12-4，获得该关卡铜章。
main_quest-10000412,完成行动：普通12-5
main_quest-20000412,首次通过普通12-5，获得该关卡铜章。
main_quest-10000413,完成行动：普通12-6
main_quest-20000413,首次通过普通12-6，获得该关卡铜章。
main_quest-10000414,完成行动：紧急12-1
main_quest-20000414,首次通过紧急12-1，获得该关卡铜章。
main_quest-10000415,完成行动：紧急12-2
main_quest-20000415,首次通过紧急12-2，获得该关卡铜章。
main_quest-10000416,完成行动：紧急12-3
main_quest-20000416,首次通过紧急12-3，获得该关卡铜章。
main_quest-10000417,完成行动：紧急12-4
main_quest-20000417,首次通过紧急12-4，获得该关卡铜章。
main_quest-10000418,王牌指挥：普通12-1
main_quest-20000418,普通12-1首次无战斗无撤退获胜，获得该关卡银章。
main_quest-10000419,掌中战局：普通12-2
main_quest-20000419,普通12-2首次链接补给线并占领指定点获胜，获得该关卡银章。
main_quest-10000420,神枪猎命：普通12-3
main_quest-20000420,普通12-3首次击杀指定敌人获胜，获得该关卡银章。
main_quest-10000421,神枪猎命：普通12-4
main_quest-20000421,普通12-4首次击杀指定敌人获胜，获得该关卡银章。
main_quest-10000422,神枪猎命：普通12-5
main_quest-20000422,普通12-5首次击杀指定敌人获胜，获得该关卡银章。
main_quest-10000423,掌中战局：普通12-6
main_quest-20000423,普通12-6首次占领指定机场获胜，获得该关卡银章。
main_quest-10000424,掌中战局：紧急12-1
main_quest-20000424,紧急12-1首次占领指定重型机场获胜，获得该关卡银章。
main_quest-10000425,神枪猎命：紧急12-2
main_quest-20000425,紧急12-2首次击杀不超过2个敌人获胜，获得该关卡银章。
main_quest-10000426,神枪猎命：紧急12-3
main_quest-20000426,紧急12-3首次击杀不超过4个敌人获胜，获得该关卡银章。
main_quest-10000427,全境封锁：紧急12-4
main_quest-20000427,紧急12-4首次全占领，获得该关卡银章。
main_quest-10000428,完美胜利：普通12-1
main_quest-20000428,首次以S评价通过普通12-1，获得该关卡金章。
main_quest-10000429,完美胜利：普通12-2
main_quest-20000429,首次以S评价通过普通12-2，获得该关卡金章。
main_quest-10000430,完美胜利：普通12-3
main_quest-20000430,首次以S评价通过普通12-3，获得该关卡金章。
main_quest-10000431,完美胜利：普通12-4
main_quest-20000431,首次以S评价通过普通12-4，获得该关卡金章。
main_quest-10000432,完美胜利：普通12-5
main_quest-20000432,首次以S评价通过普通12-5，获得该关卡金章。
main_quest-10000433,完美胜利：普通12-6
main_quest-20000433,首次以S评价通过普通12-6，获得该关卡金章。
main_quest-10000434,完美胜利：紧急12-1
main_quest-20000434,首次以S评价通过紧急12-1，获得该关卡金章。
main_quest-10000435,完美胜利：紧急12-2
main_quest-20000435,首次以S评价通过紧急12-2，获得该关卡金章。
main_quest-10000436,完美胜利：紧急12-3
main_quest-20000436,首次以S评价通过紧急12-3，获得该关卡金章。
main_quest-10000437,完美胜利：紧急12-4
main_quest-20000437,首次以S评价通过紧急12-4，获得该关卡金章。
main_quest-10000438,完成行动：普通13-1
main_quest-20000438,首次通过普通13-1，获得该关卡铜章。
main_quest-10000439,完成行动：普通13-2
main_quest-20000439,首次通过普通13-2，获得该关卡铜章。
main_quest-10000440,完成行动：普通13-3
main_quest-20000440,首次通过普通13-3，获得该关卡铜章。
main_quest-10000441,完成行动：普通13-4
main_quest-20000441,首次通过普通13-4，获得该关卡铜章。
main_quest-10000442,完成行动：普通13-5
main_quest-20000442,首次通过普通13-5，获得该关卡铜章。
main_quest-10000443,完成行动：普通13-6
main_quest-20000443,首次通过普通13-6，获得该关卡铜章。
main_quest-10000444,完成行动：紧急13-1
main_quest-20000444,首次通过紧急13-1，获得该关卡铜章。
main_quest-10000445,完成行动：紧急13-2
main_quest-20000445,首次通过紧急13-2，获得该关卡铜章。
main_quest-10000446,完成行动：紧急13-3
main_quest-20000446,首次通过紧急13-3，获得该关卡铜章。
main_quest-10000447,完成行动：紧急13-4
main_quest-20000447,首次通过紧急13-4，获得该关卡铜章。
main_quest-10000448,王牌指挥：普通13-1
main_quest-20000448,普通13-1首次在坚持指定回合数的情况下获胜，获得该关卡银章。
main_quest-10000449,掌中战局：普通13-2
main_quest-20000449,普通13-2首次破坏指定设施并获胜，获得该关卡银章。
main_quest-10000450,王牌指挥：普通13-3
main_quest-20000450,普通13-3首次在梯队无损失或撤离的情况下获胜，获得该关卡银章。
main_quest-10000451,全境封锁：普通13-4
main_quest-20000451,普通13-4首次全占领，获得该关卡银章。
main_quest-10000452,掌中战局：普通13-5
main_quest-20000452,普通13-5首次炸毁并堵塞指定通道并获胜，获得该关卡银章。
main_quest-10000453,王牌指挥：普通13-6
main_quest-20000453,普通13-6首次水淹叶戈尔并获胜，获得该关卡银章。
main_quest-10000454,掌中战局：紧急13-1
main_quest-20000454,紧急13-1首次击杀不超过0个敌人获胜，获得该关卡银章。
main_quest-10000455,掌中战局：紧急13-2
main_quest-20000455,紧急13-2首次击杀不超过5个敌人获胜，获得该关卡银章。
main_quest-10000456,掌中战局：紧急13-3
main_quest-20000456,紧急13-3首次在Boss存活的情况下占领指挥部并获胜，获得该关卡银章。
main_quest-10000457,王牌指挥：紧急13-4
main_quest-20000457,紧急13-4首次在梯队无损失或撤离的情况下获胜，获得该关卡银章。
main_quest-10000458,完美胜利：普通13-1
main_quest-20000458,首次以S评价通过普通13-1，获得该关卡金章。
main_quest-10000459,完美胜利：普通13-2
main_quest-20000459,首次以S评价通过普通13-2，获得该关卡金章。
main_quest-10000460,完美胜利：普通13-3
main_quest-20000460,首次以S评价通过普通13-3，获得该关卡金章。
main_quest-10000461,完美胜利：普通13-4
main_quest-20000461,首次以S评价通过普通13-4，获得该关卡金章。
main_quest-10000462,完美胜利：普通13-5
main_quest-20000462,首次以S评价通过普通13-5，获得该关卡金章。
main_quest-10000463,完美胜利：普通13-6
main_quest-20000463,首次以S评价通过普通13-6，获得该关卡金章。
main_quest-10000464,完美胜利：紧急13-1
main_quest-20000464,首次以S评价通过紧急13-1，获得该关卡金章。
main_quest-10000465,完美胜利：紧急13-2
main_quest-20000465,首次以S评价通过紧急13-2，获得该关卡金章。
main_quest-10000466,完美胜利：紧急13-3
main_quest-20000466,首次以S评价通过紧急13-3，获得该关卡金章。
main_quest-10000467,完美胜利：紧急13-4
main_quest-20000467,首次以S评价通过紧急13-4，获得该关卡金章。
