furniture_establish-10010001,Rescue Station Wallpaper
furniture_establish-10030305,Temporary Warehouse Model
furniture_establish-20030305,A temporary warehouse has been built//c but this structure made out of fine wires and spray-painted plastic film is extremely fragile. Please exercise caution when retrieving Commands//c Commander.
furniture_establish-10030306,Industrial Warehouse Model
furniture_establish-20030306,A warehouse built with red bricks and sheet metal is much more durable and can store more Commands. (This is not the story of Three Little Pigs!)
furniture_establish-10030307,Industrial Warehouse Model
furniture_establish-20030307,A warehouse built with red bricks and sheet metal is much more durable and can store more Commands. (This is not the story of Three Little Pigs!)
furniture_establish-10030308,Industrial Warehouse Model
furniture_establish-20030308,A warehouse built with red bricks and sheet metal is much more durable and can store more Commands. (This is not the story of Three Little Pigs!)
furniture_establish-10030309,Industrial Warehouse Model
furniture_establish-20030309,A warehouse built with red bricks and sheet metal is much more durable and can store more Commands. (This is not the story of Three Little Pigs!)
furniture_establish-10030310,Advanced Warehouse Model
furniture_establish-20030310,An advanced warehouse model that uses renewable energy and is environmentally friendly. The key is its geometric structural design. How else would it have won the Pritzker Architecture Prize?
furniture_establish-10030400,Blank Weather System
furniture_establish-20030400,Since there are hooks on the ceiling//c building a realistic weather system here will likely make the Fairies happy//c thus increasing their EXP gain. At the end of the day//c maintaining a good vibe in the dark underground is of the utmost importance.
furniture_establish-10030401,Cloudy Weather System
furniture_establish-20030401,A small patch of dark clouds is the beginning of everything. Don't underestimate the model-making skills that go into creating miniature clouds out of cotton//c glue//c and spray paint.
furniture_establish-10030402,Cloudy Weather System
furniture_establish-20030402,A small patch of dark clouds is the beginning of everything. Don't underestimate the model-making skills that go into creating miniature clouds out of cotton//c glue//c and spray paint.
furniture_establish-10030403,Cloudy Weather System
furniture_establish-20030403,A small patch of dark clouds is the beginning of everything. Don't underestimate the model-making skills that go into creating miniature clouds out of cotton//c glue//c and spray paint.
furniture_establish-10030404,Cloudy Weather System
furniture_establish-20030404,A small patch of dark clouds is the beginning of everything. Don't underestimate the model-making skills that go into creating miniature clouds out of cotton//c glue//c and spray paint.
furniture_establish-10030405,Cloudy Weather System
furniture_establish-20030405,A small patch of dark clouds is the beginning of everything. Don't underestimate the model-making skills that go into creating miniature clouds out of cotton//c glue//c and spray paint.
furniture_establish-10030406,Dark Moon Weather System
furniture_establish-20030406,As the mysterious dark moon reveals its mottled edges from behind the clouds//c the Fairies excitedly bring out their tarot cards and summoning candles. I hope they don't accidentally open a teleportation gateway to somewhere otherworldly...
furniture_establish-10030407,Dark Moon Weather System
furniture_establish-20030407,As the mysterious dark moon reveals its mottled edges from behind the clouds//c the Fairies excitedly bring out their tarot cards and summoning candles. I hope they don't accidentally open a teleportation gateway to somewhere otherworldly...
furniture_establish-10030408,Dark Moon Weather System
furniture_establish-20030408,As the mysterious dark moon reveals its mottled edges from behind the clouds//c the Fairies excitedly bring out their tarot cards and summoning candles. I hope they don't accidentally open a teleportation gateway to somewhere otherworldly...
furniture_establish-10030409,Dark Moon Weather System
furniture_establish-20030409,As the mysterious dark moon reveals its mottled edges from behind the clouds//c the Fairies excitedly bring out their tarot cards and summoning candles. I hope they don't accidentally open a teleportation gateway to somewhere otherworldly...
furniture_establish-10030410,Twin Moon Weather System
furniture_establish-20030410,What's better than a Weather System with a moon? The answer is a Weather System with TWO moons! Moreover//c they're shining brightly and are much prettier than the potato-like Mars moons//c Phobos and Deimos.
furniture_establish-10040001,Cafe Wallpaper
furniture_establish-20040001,Cafe Wallpaper
furniture_establish-10040003,Cafe Floor
furniture_establish-20040003,Cafe Floor
furniture_establish-10040004,Cafe Carpet
furniture_establish-20040004,Cafe Carpet
furniture_establish-10040005,Cafe Bar Counter
furniture_establish-20040005,Cafe Bar Counter
furniture_establish-10040006,Cafe Rack
furniture_establish-20040006,Cafe Rack
furniture_establish-10040007,Cafe Wall Mount
furniture_establish-20040007,Cafe Wall Mount
furniture_establish-10040008,Cafe Floor Acoustics
furniture_establish-20040008,Cafe Floor Acoustics
furniture_establish-10040009,Cafe Table Middle
furniture_establish-20040009,Cafe Table Middle
furniture_establish-10040010,Cafe Table Right
furniture_establish-20040010,Cafe Table Right
furniture_establish-10040011,Cafe Coffee Bean Container
furniture_establish-20040011,Cafe Coffee Bean Container
furniture_establish-10040013,Cafe Bar Stool
furniture_establish-20040013,Cafe Bar Stool
furniture_establish-10040014,Cafe Carpet
furniture_establish-20040014,Cafe Carpet
furniture_establish-10040016,Cafe Chair Left
furniture_establish-20040016,Cafe Chair Left
furniture_establish-10040017,Cafe Chair Right
furniture_establish-20040017,Cafe Chair Right
furniture_establish-10040018,Cafe Bar Stool
furniture_establish-20040018,Cafe Bar Stool
furniture_establish-10040019,Cafe Bar Backboard
furniture_establish-20040019,Cafe Bar Backboard
furniture_establish-10040020,Cafe Chair Right
furniture_establish-20040020,Cafe Chair Right
furniture_establish-10040021,Cafe Bar Stool No Interaction
furniture_establish-20040021,Cafe Bar Stool No Interaction
furniture_establish-10040022,Cafe Bar Refrigerator
furniture_establish-20040022,Cafe Bar Refrigerator
furniture_establish-10040023,Cafe Bar Coffee Machine
furniture_establish-20040023,Cafe Bar Coffee Machine
furniture_establish-10040024,Gramophone
furniture_establish-20040024,Gramophone
furniture_establish-10040025,Cafe Bar Stool No Interaction
furniture_establish-20040025,Cafe Bar Stool No Interaction
furniture_establish-10040026,Notebook
furniture_establish-20040026,Notebook
furniture_establish-10040027,Projector
furniture_establish-20040027,Projector
furniture_establish-10040028,Comic Stand
furniture_establish-20040028,Cafe Comics Rack
furniture_establish-10050100,Dusty Listening Post
furniture_establish-20050100,There seems to be some kind of electronic equipment underneath the dusty tarp. It looks like an old radio set with an indistinct "WAVE" logo embossed onto it.
furniture_establish-10050101,Shortwave Listening Post
furniture_establish-20050101,During the War//c intelligence personnel used this old equipment to break countless codes and change the course of the war. Now you can do it too!
furniture_establish-10050102,Short-wave Listening Post
furniture_establish-20050102,During the War//c intelligence personnel used this old equipment to break countless codes and change the course of the war. Now you can do it too!
furniture_establish-10050103,Shortwave Listening Post
furniture_establish-20050103,During the War//c intelligence personnel used this old equipment to break countless codes and change the course of the war. Now you can do it too!
furniture_establish-10050104,Shortwave Listening Post
furniture_establish-20050104,During the War//c intelligence personnel used this old equipment to break countless codes and change the course of the war. Now you can do it too!
furniture_establish-10050105,Shortwave Listening Post
furniture_establish-20050105,During the War//c intelligence personnel used this old equipment to break countless codes and change the course of the war. Now you can do it too!
furniture_establish-10050106,Longwave Listening Post
furniture_establish-20050106,Alright//c installing a radio antenna underground didn't work too well//c so we moved the antenna out of the base. Now you can intercept more information.
furniture_establish-10050107,Longwave Listening Post
furniture_establish-20050107,Alright//c installing a radio antenna underground didn't work too well//c so we moved the antenna out of the base. Now you can intercept more information.
furniture_establish-10050108,Longwave Listening Post
furniture_establish-20050108,Alright//c installing a radio antenna underground didn't work too well//c so we moved the antenna out of the base. Now you can intercept more information.
furniture_establish-10050109,Longwave Listening Post
furniture_establish-20050109,Alright//c installing a radio antenna underground didn't work too well//c so we moved the antenna out of the base. Now you can intercept more information.
furniture_establish-10050110,Data Detection Hub
furniture_establish-20050110,Intelligence work in the Information Age requires ever more advanced equipment provided by WAVE to handle an explosion of message volume. The newly-added enhanced learning system can filter out most of the spam generated during the age of the Internet and greatly improve data comparison effectiveness!
furniture_establish-10050200,Dusty Mission Briefing Station
furniture_establish-20050200,Throughout the long history of intelligence work//c many mysteries were solved in front of simple information boards like this. It now waits quietly here for you to unveil it.
furniture_establish-10050201,Interim Mission Briefing Station
furniture_establish-20050201,An essential tool for all intelligence operatives (and people posing as intelligence operatives). If there aren't enough confusing links for you//c this old cipher machine will definitely make your head spin. After all//c as the saying goes//c "In order to deceive your enemy you must first deceive yourself."
furniture_establish-10050202,Interim Mission Briefing Station
furniture_establish-20050202,An essential tool for all intelligence operatives (and people posing as intelligence operatives). If there aren't enough confusing links for you//c this old cipher machine will definitely make your head spin. After all//c as the saying goes//c "In order to deceive your enemy you must first deceive yourself."
furniture_establish-10050203,Interim Mission Briefing Station
furniture_establish-20050203,An essential tool for all intelligence operatives (and people posing as intelligence operatives). If there aren't enough confusing links for you//c this old cipher machine will definitely make your head spin. After all//c as the saying goes//c "In order to deceive your enemy you must first deceive yourself."
furniture_establish-10050204,Interim Mission Briefing Station
furniture_establish-20050204,An essential tool for all intelligence operatives (and people posing as intelligence operatives). If there aren't enough confusing links for you//c this old cipher machine will definitely make your head spin. After all//c as the saying goes//c "In order to deceive your enemy you must first deceive yourself."
furniture_establish-10050205,Interim Mission Briefing Station
furniture_establish-20050205,An essential tool for all intelligence operatives (and people posing as intelligence operatives). If there aren't enough confusing links for you//c this old cipher machine will definitely make your head spin. After all//c as the saying goes//c "In order to deceive your enemy you must first deceive yourself."
furniture_establish-10050206,Cold War-Era Mission Briefing Station
furniture_establish-20050206,The light box gives off a cold radiance that shines through hard-to-make-out aerial photography films. It illuminates the Commander standing in front of the station with a dignified expression on his face. Perhaps your counterpart from the Cold War looked this way too. "I can't believe they covered up the number of bombers!"
furniture_establish-10050207,Cold War-Era Mission Briefing Station
furniture_establish-20050207,The light box gives off a cold radiance that shines through hard-to-make-out aerial photography films. It illuminates the Commander standing in front of the station with a dignified expression on his face. Perhaps your counterpart from the Cold War looked this way too. "I can't believe they covered up the number of bombers!"
furniture_establish-10050208,Cold War-Era Mission Briefing Station
furniture_establish-20050208,The light box gives off a cold radiance that shines through hard-to-make-out aerial photography films. It illuminates the Commander standing in front of the station with a dignified expression on his face. Perhaps your counterpart from the Cold War looked this way too. "I can't believe they covered up the number of bombers!"
furniture_establish-10050209,Cold War-Era Mission Briefing Station
furniture_establish-20050209,The light box gives off a cold radiance that shines through hard-to-make-out aerial photography films. It illuminates the Commander standing in front of the station with a dignified expression on his face. Perhaps your counterpart from the Cold War looked this way too. "I can't believe they covered up the number of bombers!"
furniture_establish-10050210,Holographic Mission Center
furniture_establish-20050210,This mission center is equipped with the latest technology. Its holographic displays can attach many vivid pictures to each mission briefing//c which can be downloaded to the Commander's mobile terminal with the touch of a button//c and then there's the ability to surf at incredibly high speeds. It's wonderful.
furniture_establish-10050300,Dusty Storage Equipment
furniture_establish-20050300,There appears to be a huge//c bulky device underneath the tarp//c gleaming with the metallic luster of heavy duty equipment. It's hard to draw parallels between this and the mental image of electronic equipment - can it really store data?
furniture_establish-10050301,Early Disk Drive Storage
furniture_establish-20050301,A large-scale storage device containing 50 double-sided platters//c each bigger than a basin (total capacity 3.75MB). Although it makes as much noise as a sewing machine when reading data//c it beats the hell out of writing files by hand//c right?
furniture_establish-10050302,Early Disk Drive Storage
furniture_establish-20050302,A large-scale storage device containing 50 double-sided platters//c each bigger than a basin (total capacity 3.75MB). Although it makes as much noise as a sewing machine when reading data//c it beats the hell out of writing files by hand//c right?
furniture_establish-10050303,Early Disk Drive Storage
furniture_establish-20050303,A large-scale storage device containing 50 double-sided platters//c each bigger than a basin (total capacity 3.75MB). Although it makes as much noise as a sewing machine when reading data//c it beats the hell out of writing files by hand//c right?
furniture_establish-10050304,Early Disk Drive Storage
furniture_establish-20050304,A large-scale storage device containing 50 double-sided platters//c each bigger than a basin (total capacity 3.75MB). Although it makes as much noise as a sewing machine when reading data//c it beats the hell out of writing files by hand//c right?
furniture_establish-10050305,Early Disk Drive Storage
furniture_establish-20050305,A large-scale storage device containing 50 double-sided platters//c each bigger than a basin (total capacity 3.75MB). Although it makes as much noise as a sewing machine when reading data//c it beats the hell out of writing files by hand//c right?
furniture_establish-10050306,Advanced Disk Drive Storage
furniture_establish-20050306,This storage device uses advanced technology to store 2.52 GB of data samples. Everything is good except that trying to convince the T-Dolls that the lights that comes on when it reads data is normal and not because of radiation is very tiresome. And the thing is//c Dolls have never had to worry about radiation in the first place!
furniture_establish-10050307,Advanced Disk Drive Storage
furniture_establish-20050307,This storage device uses advanced technology to store 2.52 GB of data samples. Everything is good except that trying to convince the T-Dolls that the lights that comes on when it reads data is normal and not because of radiation is very tiresome. And the thing is//c Dolls have never had to worry about radiation in the first place!
furniture_establish-10050308,Advanced Disk Drive Storage
furniture_establish-20050308,This storage device uses advanced technology to store 2.52 GB of data samples. Everything is good except that trying to convince the T-Dolls that the lights that comes on when it reads data is normal and not because of radiation is very tiresome. And the thing is//c Dolls have never had to worry about radiation in the first place!
furniture_establish-10050309,Advanced Disk Drive Storage
furniture_establish-20050309,This storage device uses advanced technology to store 2.52 GB of data samples. Everything is good except that trying to convince the T-Dolls that the lights that comes on when it reads data is normal and not because of radiation is very tiresome. And the thing is//c Dolls have never had to worry about radiation in the first place!
furniture_establish-10050310,Ultra High-Speed Liquid-Cooled Storage
furniture_establish-20050310,The ultimate form of data sample storage. Since its read and write speeds are so fast//c it needs to be immersed in special coolant to work. This is incredibly high-tech stuff.
furniture_establish-10050400,Dusty Analyzer
furniture_establish-20050400,There is a huge metal box under the tarp with many meters and knobs with unclear functions. By activating this device//c you should be able to begin data analysis and produce designs for powerful weapons//c or at least that's what it says.
furniture_establish-10050401,Universal Turing Analyzer
furniture_establish-20050401,This is a one-off attempt to realize Turing's designs. While it seems ideal on paper//c there are many problems in actual use. Both its analysis speed and thread count are greatly limited//c but at least we can start analyzing.
furniture_establish-10050402,Universal Turing Analyzer
furniture_establish-20050402,This is a one-off attempt to realize Turing's designs. While it seems ideal on paper//c there are many problems in actual use. Both its analysis speed and thread count are greatly limited//c but at least we can start analyzing.
furniture_establish-10050403,Universal Turing Analyzer
furniture_establish-20050403,This is a one-off attempt to realize Turing's designs. While it seems ideal on paper//c there are many problems in actual use. Both its analysis speed and thread count are greatly limited//c but at least we can start analyzing.
furniture_establish-10050404,Universal Turing Analyzer
furniture_establish-20050404,This is a one-off attempt to realize Turing's designs. While it seems ideal on paper//c there are many problems in actual use. Both its analysis speed and thread count are greatly limited//c but at least we can start analyzing.
furniture_establish-10050405,Universal Turing Analyzer
furniture_establish-20050405,This is a one-off attempt to realize Turing's designs. While it seems ideal on paper//c there are many problems in actual use. Both its analysis speed and thread count are greatly limited//c but at least we can start analyzing.
furniture_establish-10050406,Advanced Large-Scale Analyzer
furniture_establish-20050406,The huge casing of this new machinery comes with a whopping 96K of memory and a high-speed CPU. Both its analysis speed and thread count have reached new heights//c and its ever-changing lights look really cool. You could call it the unicorn of analysis equipment.
furniture_establish-10050407,Advanced Large-Scale Analyzer
furniture_establish-20050407,The huge casing of this new machinery comes with a whopping 96K of memory and a high-speed CPU. Both its analysis speed and thread count have reached new heights//c and its ever-changing lights look really cool. You could call it the unicorn of analysis equipment.
furniture_establish-10050408,Advanced Large-Scale Analyzer
furniture_establish-20050408,The huge casing of this new machinery comes with a whopping 96K of memory and a high-speed CPU. Both its analysis speed and thread count have reached new heights//c and its ever-changing lights look really cool. You could call it the unicorn of analysis equipment.
furniture_establish-10050409,Advanced Large-Scale Analyzer
furniture_establish-20050409,The huge casing of this new machinery comes with a whopping 96K of memory and a high-speed CPU. Both its analysis speed and thread count have reached new heights//c and its ever-changing lights look really cool. You could call it the unicorn of analysis equipment.
furniture_establish-10050410,Futuristic Analysis Terminal
furniture_establish-20050410,No matter how fast computers get//c they can't compare to the intricacies of the human brain. When the strengths of both are combined//c the speed of analysis becomes frighteningly quick. Huh? Did it stall again? Quick//c go see if the operator fell asleep again!
furniture_establish-10050001,Intelligence Center Floor
furniture_establish-20050001,Intelligence Center Floor
furniture_establish-10050002,Intelligence Center Wallpaper
furniture_establish-20050002,Intelligence Center Wallpaper
furniture_establish-10050003,Intelligence Center Wire Left
furniture_establish-20050003,Intelligence Center Wire Left
furniture_establish-10050004,Intelligence Center Wire Mid
furniture_establish-20050004,Intelligence Center Wire Mid
furniture_establish-10050005,Intelligence Center Wire Right
furniture_establish-20050005,Intelligence Center Wire Right
furniture_establish-10060100,Storeroom
furniture_establish-20060100,Managed by an AI//c this chip storage room can automatically stack and arrange your inventory of chips in order to maximize space utilization while controlling the temperature and humidity to preserve and avoid corrosion of the circuitry in your chips.
furniture_establish-10060101,Storeroom
furniture_establish-20060101,Managed by an AI//c this chip storage room can automatically stack and arrange your inventory of chips in order to maximize space utilization while controlling the temperature and humidity to preserve and avoid corrosion of the circuitry in your chips.
furniture_establish-10060102,Storeroom
furniture_establish-20060102,Managed by an AI//c this chip storage room can automatically stack and arrange your inventory of chips in order to maximize space utilization while controlling the temperature and humidity to preserve and avoid corrosion of the circuitry in your chips.
furniture_establish-10060103,Storeroom
furniture_establish-20060103,Managed by an AI//c this chip storage room can automatically stack and arrange your inventory of chips in order to maximize space utilization while controlling the temperature and humidity to preserve and avoid corrosion of the circuitry in your chips.
furniture_establish-10060104,Storeroom
furniture_establish-20060104,Managed by an AI//c this chip storage room can automatically stack and arrange your inventory of chips in order to maximize space utilization while controlling the temperature and humidity to preserve and avoid corrosion of the circuitry in your chips.
furniture_establish-10060105,Storeroom
furniture_establish-20060105,Managed by an AI//c this chip storage room can automatically stack and arrange your inventory of chips in order to maximize space utilization while controlling the temperature and humidity to preserve and avoid corrosion of the circuitry in your chips.
furniture_establish-10060106,Storeroom
furniture_establish-20060106,Managed by an AI//c this chip storage room can automatically stack and arrange your inventory of chips in order to maximize space utilization while controlling the temperature and humidity to preserve and avoid corrosion of the circuitry in your chips.
furniture_establish-10060107,Storeroom
furniture_establish-20060107,Managed by an AI//c this chip storage room can automatically stack and arrange your inventory of chips in order to maximize space utilization while controlling the temperature and humidity to preserve and avoid corrosion of the circuitry in your chips.
furniture_establish-10060108,Storeroom
furniture_establish-20060108,Managed by an AI//c this chip storage room can automatically stack and arrange your inventory of chips in order to maximize space utilization while controlling the temperature and humidity to preserve and avoid corrosion of the circuitry in your chips.
furniture_establish-10060109,Storeroom
furniture_establish-20060109,Managed by an AI//c this chip storage room can automatically stack and arrange your inventory of chips in order to maximize space utilization while controlling the temperature and humidity to preserve and avoid corrosion of the circuitry in your chips.
furniture_establish-10060110,Storeroom
furniture_establish-20060110,Managed by an AI//c this chip storage room can automatically stack and arrange your inventory of chips in order to maximize space utilization while controlling the temperature and humidity to preserve and avoid corrosion of the circuitry in your chips.
furniture_establish-10060200,Basic Maintenance Machinery
furniture_establish-20060200,A basic maintenance machinery that is able to fit a single load. Although it looks suspiciously like a machine meant for something else//c it is actually used to repair HOC personnel. What's even more amazing is that the HOC Dolls come out looking all fuzzy with a softener fragrance.
furniture_establish-10060201,Small Maintenance Machinery
furniture_establish-20060201,Can repair two HOC units at the same time. The water inlet//c outlet//c and power supply system have been improved to prevent water leakage and flooding. However//c even in such cases//c the sandbags from the nearby shooting range can be used to control the water.
furniture_establish-10060202,Medium Maintenance Machinery
furniture_establish-20060202,The large-scale array with three parallel maintenance machines with a built-in gentle rinsing and drying function and a separate fragrance injection system is very popular with the female commanders.
furniture_establish-10060203,Large Maintenance Machinery
furniture_establish-20060203,With this ultimate four-linked maintenance assembly with the addition of sterilization and anti-allergen functions//c there is no more excuse for the Dolls throwing hissy fits who are unwilling to go for repairs. What's even better is this machine is also A+++ in energy rating//c saving the Commander from the verge of bankruptcy.
furniture_establish-10060300,Integrated Indoor Training Range
furniture_establish-20060300,As the barrage of explosions from multiple teams of T-Dolls training at the same time will cause small earthquakes and alert the local residents//c it is decided instead that they will take turns to reduce the intensity of this occurrence to avoid being found out. Surprisingly//c the training efficiency has not gone down.
furniture_establish-10060301,Integrated Indoor Training Range
furniture_establish-20060301,As the barrage of explosions from multiple teams of T-Dolls training at the same time will cause small earthquakes and alert the local residents//c it is decided instead that they will take turns to reduce the intensity of this occurrence to avoid being found out. Surprisingly//c the training efficiency has not gone down.
furniture_establish-10060302,Integrated Indoor Training Range
furniture_establish-20060302,As the barrage of explosions from multiple teams of T-Dolls training at the same time will cause small earthquakes and alert the local residents//c it is decided instead that they will take turns to reduce the intensity of this occurrence to avoid being found out. Surprisingly//c the training efficiency has not gone down.
furniture_establish-10060303,Integrated Indoor Training Range
furniture_establish-20060303,As the barrage of explosions from multiple teams of T-Dolls training at the same time will cause small earthquakes and alert the local residents//c it is decided instead that they will take turns to reduce the intensity of this occurrence to avoid being found out. Surprisingly//c the training efficiency has not gone down.
furniture_establish-10060304,Integrated Indoor Training Range
furniture_establish-20060304,As the barrage of explosions from multiple teams of T-Dolls training at the same time will cause small earthquakes and alert the local residents//c it is decided instead that they will take turns to reduce the intensity of this occurrence to avoid being found out. Surprisingly//c the training efficiency has not gone down.
furniture_establish-10060305,Integrated Indoor Training Range
furniture_establish-20060305,As the barrage of explosions from multiple teams of T-Dolls training at the same time will cause small earthquakes and alert the local residents//c it is decided instead that they will take turns to reduce the intensity of this occurrence to avoid being found out. Surprisingly//c the training efficiency has not gone down.
furniture_establish-10060306,Integrated Indoor Training Range
furniture_establish-20060306,As the barrage of explosions from multiple teams of T-Dolls training at the same time will cause small earthquakes and alert the local residents//c it is decided instead that they will take turns to reduce the intensity of this occurrence to avoid being found out. Surprisingly//c the training efficiency has not gone down.
furniture_establish-10060307,Integrated Indoor Training Range
furniture_establish-20060307,As the barrage of explosions from multiple teams of T-Dolls training at the same time will cause small earthquakes and alert the local residents//c it is decided instead that they will take turns to reduce the intensity of this occurrence to avoid being found out. Surprisingly//c the training efficiency has not gone down.
furniture_establish-10060308,Integrated Indoor Training Range
furniture_establish-20060308,As the barrage of explosions from multiple teams of T-Dolls training at the same time will cause small earthquakes and alert the local residents//c it is decided instead that they will take turns to reduce the intensity of this occurrence to avoid being found out. Surprisingly//c the training efficiency has not gone down.
furniture_establish-10060309,Integrated Indoor Training Range
furniture_establish-20060309,As the barrage of explosions from multiple teams of T-Dolls training at the same time will cause small earthquakes and alert the local residents//c it is decided instead that they will take turns to reduce the intensity of this occurrence to avoid being found out. Surprisingly//c the training efficiency has not gone down.
furniture_establish-10060310,Integrated Indoor Training Range
furniture_establish-20060310,As the barrage of explosions from multiple teams of T-Dolls training at the same time will cause small earthquakes and alert the local residents//c it is decided instead that they will take turns to reduce the intensity of this occurrence to avoid being found out. Surprisingly//c the training efficiency has not gone down.
furniture_establish-10060001,Garage Floor
furniture_establish-20060001,Garage Floor
furniture_establish-10060002,Garage Wall
furniture_establish-20060002,Garage Wall
furniture_establish-10060003,Garage Lights Left
furniture_establish-20060003,Garage Lights Left
furniture_establish-10060005,Garage Sand
furniture_establish-20060005,Garage Sand
furniture_establish-10060400,Elevator - To the camp
furniture_establish-20060400,Elevator - To the camp
furniture_establish-10070100,Elevator - To the garage
furniture_establish-20070100,Elevator - To the garage
furniture_establish-10070001,Garage Floor
furniture_establish-20070001,Garage Floor
furniture_establish-10070002,Garage Wallpaper
furniture_establish-20070002,Garage Wallpaper
furniture_establish-10070003,
furniture_establish-20070003,
furniture_establish-10070004,
furniture_establish-20070004,
furniture_establish-10070005,
furniture_establish-20070005,
furniture_establish-10070006,
furniture_establish-20070006,
furniture_establish-10070007,
furniture_establish-20070007,
furniture_establish-10070008,
furniture_establish-20070008,
furniture_establish-10070009,
furniture_establish-20070009,
furniture_establish-10070010,
furniture_establish-20070010,
furniture_establish-10080001,Wallpaper
furniture_establish-20080001,Wallpaper
furniture_establish-10080002,Floor
furniture_establish-20080002,Floor
furniture_establish-10080003,
furniture_establish-20080003,
furniture_establish-10080004,
furniture_establish-20080004,
furniture_establish-10080005,
furniture_establish-20080005,
furniture_establish-10080006,
furniture_establish-20080006,
furniture_establish-10080007,Real Time Relay Terminal
furniture_establish-20080007,Real Time Relay Terminal
furniture_establish-10080009,
furniture_establish-20080009,
furniture_establish-10080010,
furniture_establish-20080010,
furniture_establish-10080011,Black Market Shop
furniture_establish-20080011,Black Market Shop
furniture_establish-10080012,
furniture_establish-20080012,
furniture_establish-10080100,Dusty Gate Console
furniture_establish-20080100,A gate console that has been in disrepair for a long time//c but it seems that there is always a voice calling you to open the rain-proof cover and launch an ambitious expedition into the unknown wilderness.
furniture_establish-10080101,Ancient Gate Console
furniture_establish-20080101,The four displays together emit a haze of blinding white light//c one of which also needs a good smack to stop the image from flickering around. I would've told Kalina to copy the exploration schedule down on paper if I had known about this issue beforehand...
furniture_establish-10080102,Ancient Gate Console
furniture_establish-20080102,The four displays together emit a haze of blinding white light//c one of which also needs a good smack to stop the image from flickering around. I would've told Kalina to copy the exploration schedule down on paper if I had known about this issue beforehand...
furniture_establish-10080103,Ancient Gate Console
furniture_establish-20080103,The four displays together emit a haze of blinding white light//c one of which also needs a good smack to stop the image from flickering around. I would've told Kalina to copy the exploration schedule down on paper if I had known about this issue beforehand...
furniture_establish-10080104,Ancient Gate Console
furniture_establish-20080104,The four displays together emit a haze of blinding white light//c one of which also needs a good smack to stop the image from flickering around. I would've told Kalina to copy the exploration schedule down on paper if I had known about this issue beforehand...
furniture_establish-10080105,Ancient Gate Console
furniture_establish-20080105,The four displays together emit a haze of blinding white light//c one of which also needs a good smack to stop the image from flickering around. I would've told Kalina to copy the exploration schedule down on paper if I had known about this issue beforehand...
furniture_establish-10080106,Automated Gate Console
furniture_establish-20080106,Thanks to the newly upgraded 8Mb RAM and 107Mb hard drive//c the system can now support more T-Dolls on their explorations//c and you can even play Return to Castle Sangvis Ferri 3D on it when you want to slack off.
furniture_establish-10080107,Automated Gate Console
furniture_establish-20080107,Thanks to the newly upgraded 8Mb RAM and 107Mb hard drive//c the system can now support more T-Dolls on their explorations//c and you can even play Return to Castle Sangvis Ferri 3D on it when you want to slack off.
furniture_establish-10080108,Automated Gate Console
furniture_establish-20080108,Thanks to the newly upgraded 8Mb RAM and 107Mb hard drive//c the system can now support more T-Dolls on their explorations//c and you can even play Return to Castle Sangvis Ferri 3D on it when you want to slack off.
furniture_establish-10080109,Automated Gate Console
furniture_establish-20080109,Thanks to the newly upgraded 8Mb RAM and 107Mb hard drive//c the system can now support more T-Dolls on their explorations//c and you can even play Return to Castle Sangvis Ferri 3D on it when you want to slack off.
furniture_establish-10080110,Advanced Gate Console
furniture_establish-20080110,The most advanced console is nothing like the old stuff that takes 5 minutes for a restart with frequent hard drive failures. The strange thing is that the Commander's work efficiency has gone down//c but no matter//c everything is fine as long as the exploration team's efficiency goes up~
furniture_establish-10080300,Elementary Loot Rack
furniture_establish-20080300,A simple single-layered rack for storing loot obtained through exploration. Please collect them in a timely manner~ You can exchange them with Kalina on the left side of the room for some much-needed supplies.
furniture_establish-10080301,Elementary Loot Rack
furniture_establish-20080301,A simple single-layered rack for storing loot obtained through exploration. Please collect them in a timely manner~ You can exchange them with Kalina on the left side of the room for some much-needed supplies.
furniture_establish-10080302,Intermediate Loot Rack
furniture_establish-20080302,Double-layered racks for double the capacity allows for freer work shifts and more procrastination when it comes to retrieving the loot. Perhaps this is why the Griffin laundry machines can only hold one liter each.
furniture_establish-10080303,Intermediate Loot Rack
furniture_establish-20080303,Double-layered racks for double the capacity allows for freer work shifts and more procrastination when it comes to retrieving the loot. Perhaps this is why the Griffin laundry machines can only hold one liter each.
furniture_establish-10080304,Advanced Loot Rack
furniture_establish-20080304,The most advanced multi-layered racks. Cool-looking robot arms move up and down but they don't actually do anything meaningful. Ultimately//c the Commander still has to personally retrieve the loot.
furniture_establish-10080305,Advanced Loot Rack
furniture_establish-20080305,The most advanced multi-layered racks. Cool-looking robot arms move up and down but they don't actually do anything meaningful. Ultimately//c the Commander still has to personally retrieve the loot.
furniture_establish-10080306,Advanced Loot Rack
furniture_establish-20080306,The most advanced multi-layered racks. Cool-looking robot arms move up and down but they don't actually do anything meaningful. Ultimately//c the Commander still has to personally retrieve the loot.
