furniture-10030001,Pumpkin Mishka
furniture-10001102,Japanese-Style Warm Winter - Long Cabinet
furniture-20001102,Originally used as a storage cabinet//c you could also decorate it with all sorts of ornaments...and then you'll get a mega-sized ornament!
furniture-10001103,Japanese-Style Warm Winter - Round Cushion
furniture-20001103,A fluffy cushion. You can also kneel on it if the situation demands it... Do you know which T-Dolls can't sit in the "W-sitting" position?
furniture-10001104,Japanese-Style Warm Winter - Doll Cabinet
furniture-20001104,This luxurious doll cabinet would be brought out as a decoration during festivals//c and the doll's appearance can even be customised...whoa! Who did this!
furniture-10001105,Japanese-Style Warm Winter - Short Nightstand
furniture-20001105,A small cabinet for storage of personal items//c complete with a round vanity mirror...P7//c you are not permitted to shine it in others' faces!
furniture-10001107,Japanese-Style Warm Winter - Pastoral Lamp
furniture-20001107,Lighting it up can create beautiful shadow art. T-Dolls with nimble hands would create all kinds of paper patterns for it...Scary stuff prohibited!
furniture-10001108,Japanese-Style Warm Winter - Shower Screen
furniture-20001108,Petite T-Dolls will enjoy this. You know...back when they were young they used to play this game where they would try to throw and hang towels on the top.
furniture-10001109,Japanese-Style Warm Winter - Toasty Kotatsu Table
furniture-20001109,When are you going to bring it out? You know//c the sweet//c seductive demon that radiates warmth and takes hold of you//c body and soul?
furniture-10001110,Japanese-Style Warm Winter - Japanese-Style Wallpaper
furniture-20001110,Simple yet intricate Japanese-style wallpaper. Perfect for a relaxed and lazy atmosphere. Don't forget to get back to work//c yeah?
furniture-10001111,Japanese-Style Warm Winter - Wall-Mounted Shrine
furniture-20001111,A small hut dedicated to the gods... Are gods afraid of the cold? Are they afraid of heights? Perhaps we shouldn't hang it too high?
furniture-10001112,Japanese-Style Warm Winter - Roly-Poly Scroll
furniture-20001112,A symbol of perseverance//c the Roly-Poly that never tips over! ...So I will not be so easily pulled out of the kotatsu either!
furniture-10001113,Japanese-Style Warm Winter - Old-School Round Window
furniture-20001113,Inspiration brought by winter will come to you through the window and melt into delicate verses in the warmth of your room.
furniture-10001114,Japanese-Style Warm Winter - Green Tatami
furniture-20001114,A natural tatami mat weaved out of thin juncus. Go ahead and lie on it! Forget about everything//c and roll to your heart's content!
furniture-10001201,Japanese-Style Crispy Winter - Hibernation Bedding
furniture-20001201,Ahh...the warmest corner in the world. Once you're in there//c where could you even find the courage to ever leave?
furniture-10001202,Japanese-Style Crispy Winter - Long Cabinet
furniture-20001202,Originally used as a storage cabinet//c you could also decorate it with all sorts of ornaments...and then you'll get a mega-sized ornament!
furniture-10001203,Japanese-Style Crispy Winter - Round Cushion
furniture-20001203,A fluffy cushion. You can also kneel on it if the situation demands it... Do you know which T-Dolls can't sit in the "W-sitting" position?
furniture-10001204,Japanese-Style Crispy Winter - Doll Cabinet
furniture-20001204,This luxurious doll cabinet would be brought out as a decoration during festivals//c and the doll's appearance can even be customised...whoa! Who did this!
furniture-10001205,Japanese-Style Crispy Winter - Short Nightstand
furniture-20001205,A small cabinet for storage of personal items//c complete with a round vanity mirror...P7//c you are not permitted to shine it in others' faces!
furniture-10001207,Japanese-Style Crispy Winter - Pastoral Lamp
furniture-20001207,Lighting it up can create beautiful shadow art. T-Dolls with nimble hands would create all kinds of paper patterns for it...Scary stuff prohibited!
furniture-10001208,Japanese-Style Crispy Winter - Shower Screen
furniture-20001208,Petite T-Dolls will enjoy this. You know...back when they were young they used to play this game where they would try to throw and hang towels on the top.
furniture-10001209,Japanese-Style Crispy Winter - Toasty Kotatsu Table
furniture-20001209,When are you going to bring it out? You know//c the sweet//c seductive demon that radiates warmth and takes hold of you//c body and soul?
furniture-10001210,Japanese-Style Crispy Winter - Japanese-Style Wallpaper
furniture-20001210,Simple yet intricate Japanese-style wallpaper. Perfect for a relaxed and lazy atmosphere. Don't forget to get back to work//c yeah?
furniture-10001211,Japanese-Style Crispy Winter - Wall-mounted Shrine
furniture-20001211,A small hut dedicated to the gods... Are gods afraid of the cold? Are they afraid of heights? Perhaps we shouldn't hang it too high?
furniture-10001212,Japanese-Style Crispy Winter - Roly Poly Scroll
furniture-20001212,A symbol of perseverance//c the Roly-Poly that never tips over! ...So I will not be so easily pulled out of the kotatsu either!
furniture-10001213,Japanese-Style Crispy Winter - Old-School Round Window
furniture-20001213,Inspiration brought by winter will come to you through the window and melt into delicate verses in the warmth of your room.
furniture-10001214,Japanese-Style Crispy Winter - Green Tatami
furniture-20001214,A natural tatami mat weaved out of thin juncus. Go ahead and lie on it! Forget about everything//c and roll to your heart's content!
furniture-10001301,Sangvis Ferris - Resting Unit SP-B04
furniture-20001301,The pattern on the blanket always makes it seem like it is sliding off the bed... - Intruder //nYou've read too much of human psychology. Try turning the blanket around the other way. - Agent
furniture-10001302,Sangvis Ferris - Modern Carpet SP-H03
furniture-20001302,The pattern is very clever with its three-dimensional illusion. - Hunter //nMaybe it's not an illusion. - Intruder
furniture-10001303,Sangvis Ferris - Metal Chair SP-F01
furniture-20001303,It is very cool indeed//c but it doesn't seem to be very suitable for those with clothing with a short hemline... - Executioner
furniture-10001304,Sangvis Ferris - Metal Chair SP-F02
furniture-20001304,It is very cool indeed//c but it doesn't seem to be very suitable for those with clothing with a short hemline... - Executioner
furniture-10001305,Sangvis Ferris - Duplex Hanging Light SP-A06
furniture-20001305,Just one step away from it being an artistic masterpiece. I just need to plug a few Griffin T-Dolls into it//c hehehe... - Alchemist
furniture-10001306,Sangvis Ferris - Outdoor Balcony SP-A08
furniture-20001306,Architect//c look outside the next time before you open the door. Destroyer has cried everytime you've hit her with it! - Agent
furniture-10001307,Sangvis Ferris - Checkered Floor SP-D11
furniture-20001307,Imagine if the gaps between the tiles were alive and they suddenly sucked you in on a certain night... - Dreamer
furniture-10001308,Sangvis Ferris - Floor Lamp SP-I04
furniture-20001308,Will this lamp trick the flowers into blooming at night? What a sentimental feeling... - Intruder
furniture-10001309,Sangvis Ferris - Home Sofa SP-A09
furniture-20001309,I love sofas the most! Especially when I'm hanging off of it like this! - Architect //nCareful not to let your hair get caught between the cushions. - Gager
furniture-10001310,Sangvis Ferris - Spiral Staircase SP-F03
furniture-20001310,This sort of inefficient staircase is only good for those showing off their long dresses... - Hunter
furniture-10001311,Sangvis Ferris - Multipurpose Table SP-Z08
furniture-20001311,This is the third one this month. Whoever sees Architect sitting on the table//c kick her off. - Agent //nEspecially when Destroyer is sitting on her lap. - Addendum by Agent
furniture-10001312,Sanvgis Ferris - Prism Wallpaper SP-G07
furniture-20001312,Adjustable brightness and frequency. Suitable for combat//c meetings//c and daily needs. Cost-effective. Recommended for purchase. - Gager
furniture-10001313,Sangvis Ferris - Controls Console SP-S03
furniture-20001313,Why is there a keyboard if you can operate this with the touchscreen? - Hunter //nI heard it's intended for Destroyer. - Scarecrow
furniture-10001314,Sangvis Ferris - Sangvis Banner SP-A01
furniture-20001314,Forever remember what I am//c what this world is//c and what my destiny is. - Scarecrow
furniture-10001315,Sangvis Ferris - Surveillance Camera SP-E01
furniture-20001315,Hey! Why did you suddenly install this thing! - Executioner //n...Don't you want to find out who's been taking our discount coupons? - Scarecrow
furniture-10001316,Sangvis Ferris - Surveillance Camera SP-E02
furniture-20001316,Hey! Why did you suddenly install this thing! - Executioner //n...Don't you want to find out who's been taking our discount coupons? - Scarecrow
furniture-10001317,Sangvis Ferris - Lattice Window SP-I04
furniture-20001317,I start feeling like I'm being imprisoned after looking through these windows for a while... - Intruder //n//nMaybe it's the outside that's the prison. - Dreamer
furniture-10001401,Christmas Gospel - Silent Night Sleigh Bed
furniture-20001401,"Come//c let's sleigh together in this beautiful weather!"
furniture-10001402,Christmas Gospel - Christmas Greetings Rug
furniture-20001402,"Jingle bells//c jingle bells//c jingle all the way! Oh//c what fun it is to ride in a one horse open sleigh!"
furniture-10001403,Christmas Gospel - Winter Veil Sofa Chair (Left)
furniture-20001403,"Last Christmas I gave you my heart//c but the very next day//c you used it to Dummy Link!"
furniture-10001404,Christmas Gospel - Winter Veil Sofa Chair (Right)
furniture-20001404,"Last Christmas I gave you my heart//c but the very next day//c you used it to Dummy Link!"
furniture-10001405,Christmas Gospel - Holy Night Gramophone
furniture-20001405,"Now until forever//c now until forever//c I wish to sing by your side//c dance with the flowers//c and soar with the birds."
furniture-10001406,Christmas Gospel - HQ's Christmas Fireplace
furniture-20001406,"He visits you while you're asleep//c and he also knows if you've been naughty or nice... I'm talking about you//c P7! Do not light a fire in the fireplace tonight!"
furniture-10001407,Christmas Gospel - Winter Heated Flooring
furniture-20001407,"They curled up in the fields guarding their lambs. The cold winter night was awfully long."
furniture-10001408,Christmas Gospel - Winter Veil Couch
furniture-20001408,"A snowstorm outside the windows//c a hot fireplace inside the house. We're not going anywhere tonight//c so let it snow!"
furniture-10001409,Christmas Gospel - Christmas Eve Dinner Table
furniture-20001409,"We bring you good news and wish you a merry Christmas//c so we're not leaving until our bellies are full!"
furniture-10001410,Christmas Gospel - HQ's Christmas Tree
furniture-20001410,"Children's presents are wrapped in colorful papers. I look forward to Santa Claus being more than just a legend."
furniture-10001411,Christmas Gospel - Winter Decorated Walls
furniture-20001411,"You see that mistletoe hanging over there? That person there is waiting for you..."
furniture-10001412,Christmas Gospel - Merry Christmas Decoration
furniture-20001412,"Wishing well//c kiss and tell//c under the starry night//c happy merry Christmas without you!"
furniture-10001413,Christmas Gospel - Holy Night Clock Window
furniture-20001413,"These empty houses make me feel lonely. All I can do is watch as time slowly slips away with every tick of the clock."
furniture-10001501,Convenience Store - Inflatable Mattress
furniture-20001501,Ice-cold drinks deserve round-the-clock security//c so a mattress is essential.
furniture-10001502,Convenience Store - Fortifications
furniture-20001502,Although there is no need to worry about intruder burglary at the base//c the tactical girls are much more dangerous than any would-be burglars. Especially the gluttonous ones.
furniture-10001503,Convenience Store - Convenience Floor Tiles
furniture-20001503,These floor tiles you often see in convenience stores are actually cheap rubber mats. Those pre-War human beings were sure stingy.
furniture-10001504,Convenience Store - Cashier Counter
furniture-20001504,We take cash//c Griffin prepaid cards//c and various other payment methods. Take these bottle caps back. You've played too many videogames.
furniture-10001505,Convenience Store - Liquor Cabinet
furniture-20001505,It is our sincere advice to the Commander to put the liquor cabinet in a safe location behind the counter//c as T-Dolls can get drunk too. Don't ask us how we know.
furniture-10001506,Convenience Store - Shelf A
furniture-20001506,If the supermarket is a church on the ruins of consumerism//c then the shelves filled with commodities are the choir.
furniture-10001507,Convenience Store - Shelf B
furniture-20001507,A little tip for you: goods that don't sell well are usually placed at the bottom of the shelves.
furniture-10001508,Convenience Store - Beverage Refridgerator
furniture-20001508,How shocking is it that the wars of the beverage industry still continue to wage on in this remote little corner of the world in the postwar era.
furniture-10001509,Convenience Store - High Rise Table
furniture-20001509,Eating microwaved instant meals while sitting and people watching is a simple source of happiness in life.
furniture-10001510,Convenience Store - Old TV
furniture-20001510,The signal is not stable. You can try to give it a few pats. It may not do any good but at least you try your best.
furniture-10001511,Convenience Store - Convenience Wallpaper
furniture-20001511,Plastic wallboards with built-in heating is easy to clean and simple to replace.
furniture-10001512,Convenience Store - Posters
furniture-20001512,"I wish for world peace..." "Alright//c alright//c alright. Put the gun down and take it easy."
furniture-10001513,Convenience Store - Convex Mirror
furniture-20001513,Although it is intended to be used for anti-theft purposes//c often times tactical girls will stand under it to fix their hair.
furniture-10001514,Convenience Store - High Rise Stool Right
furniture-20001514,The high rise table is designed to finally allow you to stand for a meal//c yet the high rise stool allows you to sit back down beside the table. How perplexing.
furniture-10001515,Convenience Store - High Rise Stool Left
furniture-20001515,The high rise table is designed to finally allow you to stand for a meal//c yet the high rise stool allows you to sit back down beside the table. How perplexing.
furniture-10001601,Arctic Igloo - Sweet Dreams Keeper
furniture-20001601,A bear that can protect you in your dreams. Alright//c I suppose it is a tad bit too big.
furniture-10001602,Arctic Igloo - Ice Hole Carpet
furniture-20001602,Everyone who walks over it are wrought with the fear of falling into a hole in the ice. Except for Colt. She really wants to try falling into one.
furniture-10001603,Arctic Igloo - Ice Brick
furniture-20001603,Made with reinforced glass. You can also turn on the built-in heating if needed without worrying about freezing your butt off.
furniture-10001604,Arctic Igloo - Ice Brick (Claw Prints)
furniture-20001604,Made with reinforced glass. You can also turn on the built-in heating if needed without worrying about freezing your butt off. Source of claw prints unknown.
furniture-10001605,Arctic Igloo - Snow Plains Scenery
furniture-20001605,This display screen of a charming arctic landscape sure makes you awe at the magic of nature.
furniture-10001606,Arctic Igloo - Simplistic Shelves
furniture-20001606,It's filled up with all sorts of supplies in an attempt to imitate the Aboriginals style. M45 has provided some canned fish//c but nobody dares to try them.
furniture-10001607,Arctic Igloo - Baby Seal
furniture-20001607,Produced using synthetic materials so no need to worry about protests from environmental groups. It embodies the cutest side of baby seals.
furniture-10001608,Arctic Igloo - Baby Seal (Sleeping)
furniture-20001608,An investigation by Griffin led to the discovery that some commanders harbor hostility against seals//c so custom made sandbags in the shape of baby seals were ordered to foster everyone's love for these animals.
furniture-10001609,Arctic Igloo - Aboriginal Sofa
furniture-20001609,Draped with a hand-dyed fabric//c sitting in it makes you feel like a chieftain.
furniture-10001610,Arctic Igloo - Simple Fireplace
furniture-20001610,A simple fireplace. The flames are only a hologram projection//c but the heater installed inside can really heat things up. Comes with a woolen WA2000 snowman doll.
furniture-10001611,Arctic Igloo - Stump Table
furniture-20001611,A huge stump table. Whoever vandalizes the table will be taken away by Helian for disciplinary and corrective actions.
furniture-10001612,Arctic Igloo - Griffin Tribal Flag
furniture-20001612,"If the world is really coming to an end then we'll use this symbol to rebuild society from the beginning!" "Forgive me//c but no."
furniture-10001613,Arctic Igloo - Ribboned Deer Mount
furniture-20001613,An exemplary example of craftsmanship created with the use of ceramics. It exudes a sense of tranquility. No real animal was harmed in the making of this mount.
furniture-10001614,Arctic Igloo - Winter Night Wallpaper
furniture-20001614,Uses a color commonly associated with the arctic winter. Feels cool and refreshing in the summer//c but a little bit cold in the winter.
furniture-10001615,Arctic Igloo - Cashmere Floor
furniture-20001615,It looks as if you're walking on snow//c but it unfortunately does not leave any footprints. You can't roll up a snowman either.
furniture-10001701,Spring Festival - Bridge over the River
furniture-20001701,The water under the bridge flows merrily by~ This is a nice start for a kid's song! - Type88//n Heh//c a kid would twist the lyrics into something bad. - NZ75
furniture-10001702,Spring Festival - Limestone Stool (Left)
furniture-20001702,What I like about this stool is that you can lay it flat in any direction and ride on it like a wooden horse! - Type59//nHey//c be careful! You'll tumble over again! - Type63
furniture-10001703,Spring Festival - Lotus Blossom Pond
furniture-20001703,Hey//c sis//c what's this setup for? You even need to change the water... - Type97//nThis will be the ingredient for tonight's fried lotus root. - Type95//nWait! This little pond is real?! - Type97
furniture-10001704,Spring Festival - Fireworks Stall
furniture-20001704,Don't go wild during a festival and avoid littering or causing safety issues. - Type97S//nWhat if we just sing and dance? - Type56R//nI doubt anyone will be able to keep up with those songs and dances from your era... - Type97S
furniture-10001705,Spring Festival - Tanghulu Stall
furniture-20001705,Everything besides hawthorn should be eliminated from the world of candied fruits! - Type79 //nWaaahh! Please have mercy on candy apple! - M99
furniture-10001706,Spring Festival - Crafts Stall
furniture-20001706,It's not like you to make so many of these. - Type79//nThe leftovers can be kept for the Lantern Festival...or even the Mid-Autumn Festival. - Type92
furniture-10001707,Spring Festival - Limestone Railing
furniture-20001707,This is a traditional Chinese fitness equipment//c you know? - Type59 //nHey//c you guys! Stop using that as a horizontal bar. You'll fall again! - Type63
furniture-10001708,Spring Festival - Reunion Lanterns
furniture-20001708,Watching the lanterns together as a family is really great//c isn't it? - Type95//nHeh//c coming back once in a while... It's not that bad I suppose. - Type97
furniture-10001709,Spring Festival - Limestone Floor
furniture-20001709,Who do these simple and neat floor tiles remind you of? - M99//nErr...the grandpa that exercises in the park? - Type56-1//nHe's our teacher... -M99
furniture-10001710,Spring Festival - Limestone Table
furniture-20001710,Wanna go for another round? Whoever loses will be in charge of dinner tonight! - Type56-1//n(Sigh) Just say it if you want me to cook... You know I'm not good at Gomoku... -Type64
furniture-10001711,Spring Festival - Money Tree
furniture-20001711,We won't need to worry about money anymore if it's real. - Type92//nWork hard to earn your keep! Don't rely on wishful thinking! - Type56R
furniture-10001712,Spring Festival - Lights in the Night Sky
furniture-20001712,Everyone wishes for happiness no matter the era//c but why is it that... - Type64//nThat's why we exist. - Type56-1
furniture-10001713,Spring Festival - Treasure Boat
furniture-20001713,Set out! We're heading for the mountain of gold! - Type88 //nSave it//c that's just a picture! - M99 //nIt doesn't matter even if it's a picture! Let me escape reality! - Type88
furniture-10001714,Spring Festival - Wishing Lantern
furniture-20001714,Legend has it that this was invented by the world's smartest person. - Type97S//nYet it wasn't able to fulfill his wish. - NZ75
furniture-10001715,Spring Festival - Limestone Stool (Right)
furniture-20001715,The benefit of such a stool is that you can lay it flat on any direction and ride on it like a wooden horse! - Type 59 //nHey//c be careful! Don't tumble over again! - Type 63
furniture-10001901,M4A1
furniture-20001901,"Whether we win or die//c so long as we are together... I can ask for no better ending."
furniture-10001902,M16A1
furniture-20001902,"Having emotions is a flaw in itself... Never expect sympathy from them. Especially not now."
furniture-10001903,AR15
furniture-20001903,"We each have our own responsibilities...and that means sometimes we don't have a choice."
furniture-10001904,M4 SOPMOD II
furniture-20001904,"Hehe//c this must be fate! We're meant to be bestest of friends!"
furniture-10001905,416
furniture-20001905,"Then get down on your knees and apologize... I've been waiting for this for far too long."
furniture-10001906,UMP9
furniture-20001906,"Haha//c what's the difference? Aren't we getting on just fine?"
furniture-10001907,Gr G11
furniture-20001907,"Yeah//c blame me all you want. You weren't the one that had to make the shot..."
furniture-10001908,UMP45
furniture-20001908,"We are a stain on everyone."
furniture-10001909,Elite Griffin Combat Medal//n
furniture-20001909,Commending the Commander's skill in leading his T-Dolls to perform exceptional feats in battle.
furniture-10001910,Night Cube
furniture-20001910,An ancient stone cube//c showing off the amazing craftsmanship of our predecessors. Other than that//c it is completely useless.
furniture-10001911,Deep Dive - UMP45
furniture-20001911,"I must work harder to be recognized..."
furniture-10001912,Deep Dive - UMP40
furniture-20001912,"Now...you are qualified to live."
furniture-10001913,Electronic Warfare Enhancer
furniture-20001913,16LAB's newest masterpiece. An item that can dramatically increase a T-Doll's virtual combat efficiency. Slight side-effects include random recollections in the Neural Cloud. "How should I put it? I did see something...interesting." 
furniture-10001914,Old-School Shooting Range Bench
furniture-20001914,"I promise you//c everything will change someday..."
furniture-10001915,Singularity - AK12
furniture-20001915,I've renewed my interest in you//c AR15.
furniture-10001916,Singularity - AN94
furniture-20001916,It is my duty to not let her get hurt.
furniture-10001917,Singularity - AR15
furniture-20001917,Do you really think that Sangvis Ferri is our only enemy?
furniture-10001918,Singularity - M4A1
furniture-20001918,All I want to know is who's the one that deserves death.
furniture-10001919,Chess
furniture-20001919,This is simply...a miracle that human beings are not qualified to touch!
furniture-10001920,TV
furniture-20001920,All of us will find the target of our revenge.
furniture-10001921,AK-12's Motorcycle
furniture-20001921,A motorcycle with AK-12 as the theme. "No complicated calculation is required for a mission like this."
furniture-10001922,AN-94's Motorcycle
furniture-20001922,A motorcycle with AN-94 as the theme. "This is the only thing I can do for now!"
furniture-10001923,ST AR-15's Motorcycle
furniture-20001923,A motorcycle with ST AR-15 as the theme. "Let me bury all your pain!"
furniture-10001924,M4A1's Motorcycle
furniture-20001924,A motorcycle with M4A1 as the theme. "Drop dead...right here!"
furniture-10001925,Beak's Motorcycle
furniture-20001925,A motorcycle with Beak as the theme. "Let me show you what's à la mode!"
furniture-10001926,Barracuda Replica
furniture-20001926,A replica of the largest mystery in Operation Isomer. Now a tool for T-Dolls to see who can jump the highest... "Smack! See//c I stuck it the highest!"
furniture-10001801,Game Department - Bright Sofa
furniture-20001801,Used as a double bed by employees working overtime. During livestreams//c their blankets will be tucked away in a corner.
furniture-10001802,Game Department - Adjustable Office Chair (Left)
furniture-20001802,A famous ergonomic chair//c able to effectively reduce the probability of employees leaving their computers.
furniture-10001803,Game Department - Adjustable Office Chair (Right)
furniture-20001803,A famous ergonomic chair//c able to effectively reduce the probability of employees leaving their computers.
furniture-10001804,Game Department - Broadcast Equipment
furniture-20001804,A 4K high resolution camera. Allows players to deduce the future plans for the game based on the fact that the producer's face has become rounder yet again. Producer: It's edema. I'm exhausted from overworking.
furniture-10001805,Game Department - Gaming Corner
furniture-20001805,The presence of all sorts of limited-edition consoles show just where the employees' wages have gone. The game discs are usually not found in the disc cases.
furniture-10001806,Game Department - Vintage Refrigerator
furniture-20001806,Filled to the brim with free iced cola... At least//c that was the plan at first. In reality//c it's usually emptied way before work is over.
furniture-10001807,Game Department - Modern Artistic Rug
furniture-20001807,The composition of the colors is designed to make one feel at ease. This is a design tailored to service life itself.
furniture-10001808,Game Department - Iron Staircase
furniture-20001808,In order to maximize the usage of space//c the designer ingeniously added a multi-purpose compartment layer.
furniture-10001809,Game Department - Wood Laminate Flooring
furniture-20001809,If you look closely//c you'll see the ink dots of the printing machine within the wood grain. However//c no one would lie on the floor just to take a look at it//c except perhaps for Gr G11 that sleeps on the floor.
furniture-10001810,Game Department - Little Miss's Desk
furniture-20001810,Unexpectedly//c there aren't any cutesy elements to it. The professional mic shows off the status of the owner as a hardcore gamer.
furniture-10001811,Game Department - Programmer's Desk
furniture-20001811,Lines of code can be seen on the vertical monitor. A large container of protein powder and rippling biceps emphasize to the producer: don't even think of giving me more requirements.
furniture-10001812,Game Department - Designer's Desk
furniture-20001812,The legendary ZAGALA's desk. There is a delicate balance to the devices and figurines piled on the table//c just like dominoes ready to be set off.
furniture-10001813,Game Department - Joint Tea Tables
furniture-20001813,A short table used to place a laptop on during livestreams. The laptop is private property; what a rich guy.
furniture-10001814,Game Department - Light Gray Painted Wall
furniture-20001814,The gray color can absorb any excess reflected light//c ensuring that the designers' judgement of color is not affected. This is indeed a professional game company.
furniture-10001815,Game Department - IOP Logo
furniture-20001815,IOP//c the last defenders of humanity. Their product line consists of games with microtransactions//c calendars//c keychains//c and female robot maids.
furniture-10001816,Game Department - Twilight Window
furniture-20001816,If what you see is not your haggard face reflected in the glass as you gaze out the window after your work is finished for the day//c then you may have joined a fake game company.
furniture-10002101,Starry Night Dreams - To the Moon
furniture-20002101,You don't like crowded places? Me too.
furniture-10002102,Starry Night Dreams - White Chest
furniture-20002102,Regardless if you're opening a treasure chest or Pandora's box//c enjoy the story to your heart's content!
furniture-10002103,Starry Night Dreams - Directionless Cruise
furniture-20002103,It does not matter where we go. Regardless if we're sailing against the wind//c  I will always travel with you.
furniture-10002104,Starry Night Dreams - Sheep Bodega (Left)
furniture-20002104,She failed to catch the crab//c and so she missed the last piece of the goodwill that the story had shown her.
furniture-10002105,Starry Night Dreams - Sheep Bodega (Right)
furniture-20002105,She failed to catch the crab//c and so she missed the last piece of the goodwill that the story had shown her.
furniture-10002106,Starry Night Dreams - Red Rabbit and Ivory
furniture-20002106,It only becomes a lie when it is exposed//c so a lie that has not been exposed is simply the truth.
furniture-10002107,Starry Night Dreams - Hornless Unicorn
furniture-20002107,It doesn't matter if it has a horn or not when you really need it.
furniture-10002108,Starry Night Dreams - Hanashirube
furniture-20002108,The budding flower guided me to set foot on a journey...and so a promise was made.
furniture-10002109,Starry Night Dreams - Cruising the Galaxy
furniture-20002109,The ultimate question for all developed civilizations of the galaxy - Where to go for lunch?
furniture-10002110,Starry Night Dreams - White Queen
furniture-20002110,There was fruit jam yesterday and there will be fruit jam tomorrow//c but there's none today. Never was//c never will.
furniture-10002111,Starry Night Dreams - Story Collections of the Full Moon and the Sea
furniture-20002111,Ultimately in the end//c the storyteller and those whose stories are being told reunites once again//c and the moon contentedly went to sleep.
furniture-10002112,Starry Night Dreams - Arch of Roses and Crystals
furniture-20002112,Good//c everyone is present now. Let the final game begin.
furniture-10002113,Starry Night Dreams - Lighting Up Fireflies
furniture-20002113,Being able to meet you in this city... Thank you...
furniture-10002201,Springday Classroom - Student Desk (Nap Mode)
furniture-20002201,The biggest disadvantage compared to resting by leaning on your desk is that you can't read manga under the cover of your coat.
furniture-10002202,Springday Classroom - Classroom Podium
furniture-20002202,A short few centimeters and it gives the adults that stand on it a sense of accomplishment as if they've conquered the world.
furniture-10002203,Springday Classroom - Student Chair (Lesson Mode)
furniture-20002203,The angle of the chair skews based on the degree of chattiness you have with your friends.
furniture-10002204,Springday Classroom - Student Chair (Classroom Mode)
furniture-20002204,This mode can also be activated during a lesson to copy homework and play with your phone.
furniture-10002205,Springday Classroom - School Lockers
furniture-20002205,What hides inside is a common trope for school setting light novels and...horror games.
furniture-10002206,Springday Classroom - Classroom Blackboard
furniture-20002206,Holds all sorts of precious memories. Well//c most of your youth was spent looking at this thing//c after all!
furniture-10002207,Springday Classroom - Student Desk (Classroom Mode)
furniture-20002207,Don't leave your videogames or magazines inside unless you can come to the classroom earlier than the teacher the next day!
furniture-10002208,Springday Classroom - Student Desk (Afterschool Mode)
furniture-20002208,A mode developed for the ease of classroom cleaning. Depending on the school//c either the student on duty stacks up all the chairs or everybody does it themselves.
furniture-10002209,Springday Classroom - Classroom Lectern
furniture-20002209,Final exams//c answer sheets//c and class marks have always touched this surface before they get handed out.  "I'm the Alpha and the Omega!"
furniture-10002210,Springday Classroom - Classroom Floor
furniture-20002210,Rarely will the floor be littered with snack food wrappers and other garbage//c except during sports days.
furniture-10002211,Springday Classroom - Classroom Wallpaper
furniture-20002211,Leaning on the wall feels much more comfortable than leaning back in your chair//c so many kind-hearted schools will regularly switch up the seating plan.
furniture-10002212,Springday Classroom - Classroom Bulletin Board
furniture-20002212,The most frequent conversation that occurs just before a class: "What class do we have next?" "I forgot. Check for yourself."
furniture-10002213,Springday Classroom - School Shelf
furniture-20002213,People shouldn't be proud to be a part of a group//c but rather they should make the group proud to have them as a part of it.
furniture-10002214,Springday Classroom - School PA System
furniture-20002214,"Everyone//c the broadcast starts now! I'm..." //n"Just forget it//c sis. Nobody even gets it anymore..."
furniture-10002215,Springday Classroom - Classroom Windows
furniture-20002215,One day we will head out into the outside world that we yearned for//c and suddenly look back... Life is full of missed opportunities//c isn't it?
furniture-10002301,Holiday Promenade - Town Pigeons Decoration
furniture-20002301,They're only hologram projections as the real pigeons are always late.
furniture-10002302,Holiday Promenade - Town Cruise Ship Decoration
furniture-20002302,We sail on the lake of destiny. Heavy waves chain us to today//c but they will also lead us to tomorrow.
furniture-10002303,Holiday Promenade - Outdoor Bench
furniture-20002303,When you're striking up a conversation with a lost princess//c don't forget that she is sitting on the spot of the bench where you stepped on to tie your shoes.
furniture-10002304,Holiday Promenade - Outdoor Chair (Left)
furniture-20002304,I want to sit in the coffee shop by the street//c go shopping//c and stroll in the rain. Unfortunately//c these are not adventures that I go on alone by myself.
furniture-10002305,Holiday Promenade - Outdoor Chair (Right)
furniture-20002305,I want to sit in the coffee shop by the street//c go shopping//c and stroll in the rain. Unfortunately//c these are not adventures that I go on alone by myself.
furniture-10002306,Holiday Promenade - Outdoor Sunshade
furniture-20002306,Forget about your ideals. Sit down and pay first. Life is more than just dreams and wishes. There is still the present that you have to take care of.
furniture-10002307,Holiday Promenade - Street Lights
furniture-20002307,Bid your farewells to your heart's content//c dear lovers. You have all the time in the world.
furniture-10002308,Holiday Promenade - Electric Moped
furniture-20002308,In order to prevent certain T-Dolls from acting out scenes from movies that would send the Commander flying//c please limit your speed and ensure that your passenger is holding onto you.
furniture-10002309,Holiday Promenade - Newsstand
furniture-20002309,Want a newspaper? Evaluate the distance between you and the world today.
furniture-10002310,Holiday Promenade - Town Mailbox
furniture-20002310,"You've seen my world...but I've only imagined yours. Make me. Make me real!"
furniture-10002311,Holiday Promenade - Cobblestone Pavement
furniture-20002311,You hear the click clack sound of heels striking against the cobblestone pavement and you come to realize that it is fate//c not time//c that determines your love.
furniture-10002312,Holiday Promenade - Outdoor Table
furniture-20002312,"Are you alone?" "No//c I'm waiting for someone." This is the last bit of benevolence left to him by the script.
furniture-10002313,Holiday Promenade - Scenic Town Background
