gift_item-10000001,Pumpkin Mishka
gift_item-20002201,Unlocks a new costume for your T-Doll
gift_item-30002201,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10002202,Miss Pinocchio
gift_item-20002202,Unlocks a new costume for your T-Doll
gift_item-30002202,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10002203,Adventures of Fenfen
gift_item-20002203,Unlocks a new costume for your T-Doll
gift_item-30002203,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10002204,Frog Princess
gift_item-20002204,Unlocks a new costume for your T-Doll
gift_item-30002204,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10002205,The Wonderful Adventures of Goose
gift_item-20002205,Unlocks a new costume for your T-Doll
gift_item-30002205,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10002206,Lenore's Raven
gift_item-20002206,Unlocks a new costume for your T-Doll
gift_item-30002206,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10002301,The Aristocrat Experience
gift_item-20002301,Unlocks a new costume for your T-Doll
gift_item-30002301,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10002302,Flowerful Maid
gift_item-20002302,Unlocks a new costume for your T-Doll
gift_item-30002302,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10002303,Home Ec Training
gift_item-20002303,Unlocks a new costume for your T-Doll
gift_item-30002303,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10002304,Beer Ranch
gift_item-20002304,Unlocks a new costume for your T-Doll
gift_item-30002304,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10002305,Contracted Today
gift_item-20002305,Unlocks a new costume for your T-Doll
gift_item-30002305,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10002401,Beach Punk 2064
gift_item-20002401,Unlocks a new costume for your T-Doll
gift_item-30002401,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10002402,Age of Slushies
gift_item-20002402,Unlocks a new costume for your T-Doll
gift_item-30002402,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10002403,The Sun Never Rises
gift_item-20002403,Unlocks a new costume for your T-Doll
gift_item-30002403,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10002404,The Diving Bell and the Doll
gift_item-20002404,Unlocks a new costume for your T-Doll
gift_item-30002404,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10002405,Lollipop Ammo
gift_item-20002405,Unlocks a new costume for your T-Doll
gift_item-30002405,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10002406,FAL's Summer
gift_item-20002406,Unlocks a new costume for your T-Doll
gift_item-30002406,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10002407,50 Days with Gr G36
gift_item-20002407,Unlocks a new costume for your T-Doll
gift_item-30002407,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10002408,Midsummer Fruit
gift_item-20002408,Unlocks a new costume for your T-Doll
gift_item-30002408,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10002409,Ameli's Receive
gift_item-20002409,Unlocks a new costume for your T-Doll
gift_item-30002409,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10002410,Apprentice Witch
gift_item-20002410,Unlocks a new costume for your T-Doll
gift_item-30002410,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10002501,Knight of Calamity
gift_item-20002501,Unlocks a new costume for your T-Doll
gift_item-30002501,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10002502,Dragon Jr.
gift_item-20002502,Unlocks a new costume for your T-Doll
gift_item-30002502,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10002503,Law of Exorcism
gift_item-20002503,Unlocks a new costume for your T-Doll
gift_item-30002503,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10002504,Steel Butterfly
gift_item-20002504,Unlocks a new costume for your T-Doll
gift_item-30002504,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10002505,Electric Witch
gift_item-20002505,Unlocks a new costume for your T-Doll
gift_item-30002505,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10002601,Pumpkin Skewers
gift_item-20002601,Unlocks a new costume for your T-Doll
gift_item-30002601,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10002602,Elf Helsing
gift_item-20002602,Unlocks a new costume for your T-Doll
gift_item-30002602,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10002603,Ghost Trap
gift_item-20002603,Unlocks a new costume for your T-Doll
gift_item-30002603,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10002604,Guns N' Side Boxes
gift_item-20002604,Unlocks a new costume for your T-Doll
gift_item-30002604,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10002605,Jack the Trine
gift_item-20002605,Unlocks a new costume for your T-Doll
gift_item-30002605,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10002606,Dark Sorceress Academy
gift_item-20002606,Unlocks a new costume for your T-Doll
gift_item-30002606,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10002701,Chain Breaker
gift_item-20002701,Unlocks a new costume for your T-Doll
gift_item-30002701,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10002702,Swansong
gift_item-20002702,Unlocks a new costume for your T-Doll
gift_item-30002702,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10002703,I'm Soarin'//c Flyin'
gift_item-20002703,Unlocks a new costume for your T-Doll
gift_item-30002703,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10002704,VRAIN Power
gift_item-20002704,Unlocks a new costume for your T-Doll
gift_item-30002704,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10002705,Miracle☆Start
gift_item-20002705,Unlocks a new costume for your T-Doll
gift_item-30002705,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10002706,Astral Bond
gift_item-20002706,Unlocks a new costume for your T-Doll
gift_item-30002706,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10002801,Queen of X'mas Morning
gift_item-20002801,Unlocks a new costume for your T-Doll
gift_item-30002801,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10002802,Scarlet Turbo
gift_item-20002802,Unlocks a new costume for your T-Doll
gift_item-30002802,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10002803,Little Chimney Sweeper
gift_item-20002803,Unlocks a new costume for your T-Doll
gift_item-30002803,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10002804,Satellite of Love
gift_item-20002804,Unlocks a new costume for your T-Doll
gift_item-30002804,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10002805,Blue Christmas
gift_item-20002805,Unlocks a new costume for your T-Doll
gift_item-30002805,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10002806,Every Child's X'mas Dream
gift_item-20002806,Unlocks a new costume for your T-Doll
gift_item-30002806,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10002807,Red-Eared Cat
gift_item-20002807,Unlocks a new costume for your T-Doll
gift_item-30002807,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10002901,New Year Wish
gift_item-20002901,Unlocks a new costume for your T-Doll
gift_item-30002901,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10002902,New Year's MVP
gift_item-20002902,Unlocks a new costume for your T-Doll
gift_item-30002902,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10002903,Gunslinger Miko
gift_item-20002903,Unlocks a new costume for your T-Doll
gift_item-30002903,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10002904,Insegui l'aquilone
gift_item-20002904,Unlocks a new costume for your T-Doll
gift_item-30002904,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10002905,Bells of Beginning
gift_item-20002905,Unlocks a new costume for your T-Doll
gift_item-30002905,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10002906,Snow//c Moon and Flowers
gift_item-20002906,Unlocks a new costume for your T-Doll
gift_item-30002906,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10002907,Fireworks of Dreams
gift_item-20002907,Unlocks a new costume for your T-Doll
gift_item-30002907,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10002908,New Year Fair
gift_item-20002908,Unlocks a new costume for your T-Doll
gift_item-30002908,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10000521,Winter Trip
gift_item-20000521,Unlocks a new costume for your T-Doll
gift_item-30000521,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10003001,Sangria Succulent
gift_item-20003001,Unlocks a new costume for your T-Doll
gift_item-30003001,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10003002,Lily of the Valley
gift_item-20003002,Unlocks a new costume for your T-Doll
gift_item-30003002,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10003003,Noble Orchid
gift_item-20003003,Unlocks a new costume for your T-Doll
gift_item-30003003,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10003004,Edelweiss
gift_item-20003004,Unlocks a new costume for your T-Doll
gift_item-30003004,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10003005,Monks Cress
gift_item-20003005,Unlocks a new costume for your T-Doll
gift_item-30003005,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10003006,Vietnamese Balm
gift_item-20003006,Unlocks a new costume for your T-Doll
gift_item-30003006,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10003007,Baby Blue Eyes
gift_item-20003007,Unlocks a new costume for your T-Doll
gift_item-30003007,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10003101,Blissful Mission
gift_item-20003101,Unlocks a new costume for your T-Doll
gift_item-30003101,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10003102,Silver Star
gift_item-20003102,Unlocks a new costume for your T-Doll
gift_item-30003102,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10003103,You Who Steps Up
gift_item-20003103,Unlocks a new costume for your T-Doll
gift_item-30003103,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10003105,Conveyed Feelings
gift_item-20003105,Unlocks a new costume for your T-Doll
gift_item-30003105,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10003106,Oath of Transformation
gift_item-20003106,Unlocks a new costume for your T-Doll
gift_item-30003106,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10003107,Exciting Future
gift_item-20003107,Unlocks a new costume for your T-Doll
gift_item-30003107,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10000522,Marching Band
gift_item-20000522,Unlocks a new costume for your T-Doll
gift_item-30000522,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10000523,Mobile Operating Table
gift_item-20000523,Unlocks a new costume for your T-Doll
gift_item-30000523,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10003201,Dragon's Son
gift_item-20003201,Unlocks a new costume for your T-Doll
gift_item-30003201,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10003202,Obsidian Princess
gift_item-20003202,Unlocks a new costume for your T-Doll
gift_item-30003202,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10003203,Goblin Huntress
gift_item-20003203,Unlocks a new costume for your T-Doll
gift_item-30003203,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10003204,Griffin's Dancer
gift_item-20003204,Unlocks a new costume for your T-Doll
gift_item-30003204,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10003205,Cloak and Cat Ears
gift_item-20003205,Unlocks a new costume for your T-Doll
gift_item-30003205,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10003301,Before Dawn
gift_item-20003301,Unlocks a new costume for your T-Doll
gift_item-30003301,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10003302,Quiet Azure
gift_item-20003302,Unlocks a new costume for your T-Doll
gift_item-30003302,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10003303,Silent Rouge
gift_item-20003303,Unlocks a new costume for your T-Doll
gift_item-30003303,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10003304,White Rabbit Summer Banquet
gift_item-20003304,Unlocks a new costume for your T-Doll
gift_item-30003304,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10003305,Cocktail Observer
gift_item-20003305,Unlocks a new costume for your T-Doll
gift_item-30003305,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10003306,Fox Steps Under Star Night
gift_item-20003306,Unlocks a new costume for your T-Doll
gift_item-30003306,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10003307,Moonlight and Emerald
gift_item-20003307,Unlocks a new costume for your T-Doll
gift_item-30003307,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10003308,Destiny Waltz
gift_item-20003308,Unlocks a new costume for your T-Doll
gift_item-30003308,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10003309,Black Swan's Dream
gift_item-20003309,Unlocks a new costume for your T-Doll
gift_item-30003309,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10000524,Best Friend's Armor
gift_item-20000524,Unlocks a new costume for your T-Doll
gift_item-30000524,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10000525,Precious Christmas Outfit
gift_item-20000525,Unlocks a new costume for your T-Doll
gift_item-30000525,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10000526,Red Comet
gift_item-20000526,Unlocks a new costume for your T-Doll
gift_item-30000526,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10000527,Best Friend's Casual Wear
gift_item-20000527,Unlocks a new costume for your T-Doll
gift_item-30000527,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10000528,Middle School Adventure
gift_item-20000528,Unlocks a new costume for your T-Doll
gift_item-30000528,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10000529,Model Warrior
gift_item-20000529,Unlocks a new costume for your T-Doll
gift_item-30000529,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10003401,Black Kitty's Gift
gift_item-20003401,Unlocks a new costume for your T-Doll
gift_item-30003401,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10003402,Lil' Scientist
gift_item-20003402,Unlocks a new costume for your T-Doll
gift_item-30003402,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10003403,Agent Lop Rabbit
gift_item-20003403,Unlocks a new costume for your T-Doll
gift_item-30003403,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10003404,Shiba Investigator
gift_item-20003404,Unlocks a new costume for your T-Doll
gift_item-30003404,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10003405,Angel's Paint Brush
gift_item-20003405,Unlocks a new costume for your T-Doll
gift_item-30003405,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10003406,Super Piggy
gift_item-20003406,Unlocks a new costume for your T-Doll
gift_item-30003406,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10003501,Holiday Lucky Star
gift_item-20003501,Unlocks a new costume for your T-Doll
gift_item-30003501,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10003502,Sunscreen Battle
gift_item-20003502,Unlocks a new costume for your T-Doll
gift_item-30003502,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10003503,Flying Fish Assault
gift_item-20003503,Unlocks a new costume for your T-Doll
gift_item-30003503,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10003504,Anti-Drowning Accessories
gift_item-20003504,Unlocks a new costume for your T-Doll
gift_item-30003504,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10003505,Cape No. 4
gift_item-20003505,Unlocks a new costume for your T-Doll
gift_item-30003505,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10003506,Crow Lifeguard
gift_item-20003506,Unlocks a new costume for your T-Doll
gift_item-30003506,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10003507,Swimming Lesson
gift_item-20003507,Unlocks a new costume for your T-Doll
gift_item-30003507,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10003601,Aqua Youth
gift_item-20003601,Unlocks a new costume for your T-Doll
gift_item-30003601,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10003602,Maiden's Secret
gift_item-20003602,Unlocks a new costume for your T-Doll
gift_item-30003602,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10003603,Moonlit Prayer
gift_item-20003603,Unlocks a new costume for your T-Doll
gift_item-30003603,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10003604,Oborozukiyo
gift_item-20003604,Unlocks a new costume for your T-Doll
gift_item-30003604,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10003605,Efflorescence
gift_item-20003605,Unlocks a new costume for your T-Doll
gift_item-30003605,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10003701,High School Thrills
gift_item-20003701,Unlocks a new costume for your T-Doll
gift_item-30003701,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10003702,Pure White Graduation
gift_item-20003702,Unlocks a new costume for your T-Doll
gift_item-30003702,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10003703,Late for School
gift_item-20003703,Unlocks a new costume for your T-Doll
gift_item-30003703,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10003704,Commando Bunny
gift_item-20003704,Unlocks a new costume for your T-Doll
gift_item-30003704,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10003705,New Term Begins with a Meow
gift_item-20003705,Unlocks a new costume for your T-Doll
gift_item-30003705,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10003706,Recreation after School
gift_item-20003706,Unlocks a new costume for your T-Doll
gift_item-30003706,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10003707,Daydreaming in Class
gift_item-20003707,Unlocks a new costume for your T-Doll
gift_item-30003707,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10003708,Meow Prism Power
gift_item-20003708,Unlocks a new costume for your T-Doll
gift_item-30003708,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10003801,Candy Mugger!
gift_item-20003801,Unlocks a new costume for your T-Doll
gift_item-30003801,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10003802,Burning-Eyed Gr G36c
gift_item-20003802,Unlocks a new costume for your T-Doll
gift_item-30003802,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10003803,Pumpkin Fortress
gift_item-20003803,Unlocks a new costume for your T-Doll
gift_item-30003803,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10003805,Darkside Moonwalk
gift_item-20003805,Unlocks a new costume for your T-Doll
gift_item-30003805,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10003806,Open Your Eyes//c It's Full Moon.
gift_item-20003806,Unlocks a new costume for your T-Doll
gift_item-30003806,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10003807,Ingenious Stratagem No.97
gift_item-20003807,Unlocks a new costume for your T-Doll
gift_item-30003807,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10003808,Phantom Assault
gift_item-20003808,Unlocks a new costume for your T-Doll
gift_item-30003808,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10003809,Nocturnal Executioner
gift_item-20003809,Unlocks a new costume for your T-Doll
gift_item-30003809,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10003901,Crimson Navigator
gift_item-20003901,Unlocks a new costume for your T-Doll
gift_item-30003901,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10003902,Pulsing Dash
gift_item-20003902,Unlocks a new costume for your T-Doll
gift_item-30003902,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10003903,Breakneck Whirlwind
gift_item-20003903,Unlocks a new costume for your T-Doll
gift_item-30003903,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10003904,Cheers on the Blazing Tarmac
gift_item-20003904,Unlocks a new costume for your T-Doll
gift_item-30003904,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10003905,Mach Tempest
gift_item-20003905,Unlocks a new costume for your T-Doll
gift_item-30003905,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10400001,Rapid Growth Disk
gift_item-20400001,N/A
gift_item-30400001,A learning disk for Coalition Units' exclusive use. It contains Griffin's combat training data and ethical education.
gift_item-10004001,Holy Night Promise
gift_item-20004001,Unlocks a new costume for your T-Doll
gift_item-30004001,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10004002,Vixen's Platform ⅑
gift_item-20004002,Unlocks a new costume for your T-Doll
gift_item-30004002,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10004003,120 Winter Gifts
gift_item-20004003,Unlocks a new costume for your T-Doll
gift_item-30004003,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10004004,Treasure Buried Deep Within
gift_item-20004004,Unlocks a new costume for your T-Doll
gift_item-30004004,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10004005,The X'mas Princess and the Stony Pett
gift_item-20004005,Unlocks a new costume for your T-Doll
gift_item-30004005,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10004006,Unblemished Protector
gift_item-20004006,Unlocks a new costume for your T-Doll
gift_item-30004006,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10004007,My Lie in December
gift_item-20004007,Unlocks a new costume for your T-Doll
gift_item-30004007,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10004101,Shrine Maiden's Blessed Draw
gift_item-20004101,Unlocks a new costume for your T-Doll
gift_item-30004101,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10004102,Lucky Rat's Lazy Spring
gift_item-20004102,Unlocks a new costume for your T-Doll
gift_item-30004102,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10004103,Hanetsuki Paddle
gift_item-20004103,Unlocks a new costume for your T-Doll
gift_item-30004103,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10004104,Purifying Arrow//c Flowers and Dreams
gift_item-20004104,Unlocks a new costume for your T-Doll
gift_item-30004104,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10004105,New Year Lion Dance
gift_item-20004105,Unlocks a new costume for your T-Doll
gift_item-30004105,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10004106,Red Plum and White Snow
gift_item-20004106,Unlocks a new costume for your T-Doll
gift_item-30004106,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10004107,With You
gift_item-20004107,Unlocks a new costume for your T-Doll
gift_item-30004107,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10004201,
gift_item-20004201,Unlocks a new costume for your T-Doll
gift_item-30004201,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10004202,
gift_item-20004202,Unlocks a new costume for your T-Doll
gift_item-30004202,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10004203,
gift_item-20004203,Unlocks a new costume for your T-Doll
gift_item-30004203,Gift this item to the corresponding T-Doll in your dormitory to obtain a costume//c a poster//c and Affection.
gift_item-10004204,
gift_item-20004204,Unlocks a new costume for your T-Doll
