item-10000001,T-Doll Contract
item-10001341,Midsummer Fruit
item-20001341,Midsummer Fruit
item-10001342,Ameli's Receive
item-20001342,Ameli's Receive
item-10001343,Apprentice Witch
item-20001343,Apprentice Witch
item-10001344,M4 SOPMOD II Neural Upgrade Icon
item-20001344,M4 SOPMOD II Neural Upgrade Icon
item-10001345,UMP45 Neural Upgrade Icon
item-20001345,UMP45 Neural Upgrade Icon
item-10001346,ID Card: Beach Party
item-20001346,ID Card: Beach Party
item-10001347,Icon: Beach Punk 2064
item-20001347,Icon: Beach Punk 2064
item-10001348,Background: Midsummer Beach
item-20001348,Background: Midsummer Beach
item-10001349,Background: Full Moon//c Long Life
item-20001349,Background: Full Moon//c Long Life
item-10001350,Knight of Calamity
item-20001350,Knight of Calamity
item-10001351,Dragon Jr.
item-20001351,Dragon Jr.
item-10001352,Law of Exorcism
item-20001352,Law of Exorcism
item-10001353,Steel Butterfly
item-20001353,Steel Butterfly
item-10001354,Electric Witch
item-20001354,Electric Witch
item-10001355,Icon: Doll Musician
item-20001355,Icon: Doll Musician
item-10001356,ID Card: Girl and the World
item-20001356,ID Card: Girl and the World
item-10001357,Icon: Trick or Dinergate
item-20001357,Icon: Trick or Dinergate
item-10001358,ID Card: Halloween Fun
item-20001358,ID Card: Halloween Fun
item-10001359,Background: Survivor's Halloween
item-20001359,Background: Survivor's Halloween
item-10001360,Pumpkin Skewers
item-20001360,Pumpkin Skewers
item-10001361,Elf Helsing
item-20001361,Elf Helsing
item-10001362,Ghost Trap
item-20001362,Ghost Trap
item-10001363,Guns N' Side Boxes
item-20001363,Guns N' Side Boxes
item-10001364,Jack the Trine
item-20001364,Jack the Trine
item-10001365,Dark Sorceress Academy
item-20001365,Dark Sorceress Academy
item-10001366,STEN MkII Neural Upgrade Icon
item-20001366,STEN MkII Neural Upgrade Icon
item-10001367,M14 Neural Upgrade Icon
item-20001367,M14 Neural Upgrade Icon
item-10001368,Gr G36 Neural Upgrade Icon
item-20001368,Gr G36 Neural Upgrade Icon
item-10001369,LWMMG Neural Upgrade Icon
item-20001369,LWMMG Neural Upgrade Icon
item-10001370,Chain Breaker
item-20001370,Chain Breaker
item-10001371,Swansong
item-20001371,Swansong
item-10001372,I'm Soarin'//c Flyin'
item-20001372,I'm Soarin'//c Flyin'
item-10001373,VRAIN Power
item-20001373,VRAIN Power
item-10001374,Miracle☆Start
item-20001374,Miracle☆Start
item-10001375,Astral Bond
item-20001375,Astral Bond
item-10001376,Icon: Pumpkin Skewers
item-20001376,Icon: Pumpkin Skewers
item-10001377,ID Card: Guns N' Side Boxes
item-20001377,ID Card: Guns N' Side Boxes
item-10001378,Queen of X'mas Morning
item-20001378,Queen of X'mas Morning
item-10001379,Scarlet Turbo
item-20001379,Scarlet Turbo
item-10001380,Little Chimney Sweeper
item-20001380,Little Chimney Sweeper
item-10001381,Satellite of Love
item-20001381,Satellite of Love
item-10001382,Blue Christmas
item-20001382,Blue Christmas
item-10001383,Every Child's X'mas Dream
item-20001383,Every Child's X'mas Dream
item-10001384,Red-Eared Cat
item-20001384,Red-Eared Cat
item-10001385,Icon: Magic Candy Cane
item-20001385,Icon: Magic Candy Cane
item-10001386,Icon: T-Reindeer
item-20001386,Icon: T-Reindeer
item-10001387,ID Card: T-Reindeer
item-20001387,ID Card: T-Reindeer
item-10001388,Background: Winter is Coming
item-20001388,Background: Winter is Coming
item-10001389,Icon: Official 4-koma - VOL. 7
item-20001389,Icon: Official 4-koma - VOL. 7
item-10001390,Icon: Queen of X'mas Morning
item-20001390,Icon: Queen of X'mas Morning
item-10001391,ID Card: Bustling X'mas House
item-20001391,ID Card: Bustling X'mas House
item-10001392,New Year Wish
item-20001392,New Year Wish
item-10001393,New Year's MVP
item-20001393,New Year's MVP
item-10001394,Gunslinger Miko
item-20001394,Gunslinger Miko
item-10001395,Insegui l'aquilone
item-20001395,Insegui l'aquilone
item-10001396,Bells of Beginning
item-20001396,Bells of Beginning
item-10001397,Snow//c Moon and Flowers
item-20001397,Snow//c Moon and Flowers
item-10001398,Fireworks of Dreams
item-20001398,Fireworks of Dreams
item-10001399,New Year Fair
item-20001399,New Year Fair
item-10001400,Winter Trip
item-20001400,Winter Trip
item-10001401,Icon: Taiwanese Server 2nd Anni. Commemorative Icon
item-20001401,Icon: Taiwanese Server 2nd Anni. Commemorative Icon
item-10001402,ID Card: Taiwanese Server 2nd Anni. Commemorative ID Card
item-20001402,ID Card: Taiwanese Server 2nd Anni. Commemorative ID Card
item-10001403,Icon: Official 4-koma - VOL. 8
item-20001403,Icon: Official 4-koma - VOL. 8
item-10001404,True Core Mask Commemorative Icon: Isomer
item-20001404,True Core Mask Commemorative Icon: Isomer
item-10001405,ID Card: Sangvis Presence
item-20001405,ID Card: Sangvis Presence
item-10001406,Icon: Fatal Freedom
item-20001406,Icon: Fatal Freedom
item-10001407,Sangria Succulent
item-20001407,Sangria Succulent
item-10001408,Lily of the Valley
item-20001408,Lily of the Valley
item-10001409,Noble Orchid
item-20001409,Noble Orchid
item-10001410,Edelweiss
item-20001410,Edelweiss
item-10001411,Monks Cress
item-20001411,Monks Cress
item-10001412,Vietnamese Balm
item-20001412,Vietnamese Balm
item-10001413,Baby Blue Eyes
item-20001413,Baby Blue Eyes
item-10001414,Icon: Sangria Succulent
item-20001414,Icon: Sangria Succulent
item-10001415,ID Card: Sangria Succulent
item-20001415,ID Card: Sangria Succulent
item-10001416,Icon: Brandy Chocolate Dog
item-20001416,Icon: Brandy Chocolate Dog
item-10001417,Icon: Express Postal Pigeon
item-20001417,Icon: Express Postal Pigeon
item-10001418,ID Card: Sanctuary Oath
item-20001418,ID Card: Sanctuary Oath
item-10001419,Icon: Official 4-koma - VOL. 9
item-20001419,Icon: Official 4-koma - VOL. 9
item-10001420,Blissful Mission
item-20001420,Blissful Mission
item-10001421,Silver Star
item-20001421,Silver Star
item-10001422,You Who Steps Up
item-20001422,You Who Steps Up
item-10001423,Conveyed Feelings
item-20001423,Conveyed Feelings
item-10001424,Oath of Transformation
item-20001424,Oath of Transformation
item-10001425,Exciting Future
item-20001425,Exciting Future
item-10001426,Marching Band
item-20001426,Marching Band
item-10001427,Icon: The Most Beautiful Smile
item-20001427,Icon: The Most Beautiful Smile
item-10001428,ID Card: Blissful Mission
item-20001428,ID Card: Blissful Mission
item-10001429,Mobile Operating Table
item-20001429,Mobile Operating Table
item-10001430,Icon: Official 4-koma - VOL. 10
item-20001430,Icon: Official 4-koma - VOL. 10
item-10001431,Icon: Springfield's Special
item-20001431,Icon: Springfield's Special
item-10001432,Dragon's Son
item-20001432,Dragon's Son
item-10001433,Obsidian Princess
item-20001433,Obsidian Princess
item-10001434,Goblin Huntress
item-20001434,Goblin Huntress
item-10001435,Griffin's Dancer
item-20001435,Griffin's Dancer
item-10001436,Cloak and Cat Ears
item-20001436,Cloak and Cat Ears
item-10001437,1st Anniversary Icon
item-20001437,1st Anniversary Icon
item-10001438,Background: Witching Hour
item-20001438,Background: Witching Hour
item-10001439,Icon: Enlightened Explorer
item-20001439,Icon: Enlightened Explorer
item-10001440,Icon: Shining Pursuer
item-20001440,Icon: Shining Pursuer
item-10001441,Icon: Seed of Hope
item-20001441,Icon: Seed of Hope
item-10001442,Icon: Lost Guide
item-20001442,Icon: Lost Guide
item-10001443,Icon: Abyss of Despair
item-20001443,Icon: Abyss of Despair
item-10001444,True Core Mask Memento Icon - Third Anniversary
item-20001444,True Core Mask Memento Icon - Third Anniversary
item-10001445,Micro Uzi Neural Upgrade Icon
item-20001445,Micro Uzi Neural Upgrade Icon
item-10001446,AS Val Neural Upgrade Icon
item-20001446,AS Val Neural Upgrade Icon
item-10001447,StG44 Neural Upgrade Icon
item-20001447,StG44 Neural Upgrade Icon
item-10001448,Before Dawn
item-20001448,Before Dawn
item-10001449,Quiet Azure
item-20001449,Quiet Azure
item-10001450,Silent Rouge
item-20001450,Silent Rouge
item-10001451,White Rabbit Summer Banquet
item-20001451,White Rabbit Summer Banquet
item-10001452,Cocktail Observer
item-20001452,Cocktail Observer
item-10001453,Fox Steps Under Star Night
item-20001453,Fox Steps Under Star Night
item-10001454,Moonlight and Emerald
item-20001454,Moonlight and Emerald
item-10001455,Destiny Waltz
item-20001455,Destiny Waltz
item-10001456,Black Swan's Dream
item-20001456,Black Swan's Dream
item-10001457,ID Card: Midsummer Tea Party
item-20001457,ID Card: Midsummer Tea Party
item-10001458,Icon: "Seizing First Place"
item-20001458,Icon: "Seizing First Place"
item-10001459,Icon: Beer Wave
item-20001459,Icon: Beer Wave
item-10001460,Icon: Crimson Fist Grand Slam
item-20001460,Icon: Crimson Fist Grand Slam
item-10001461,Icon: Kitty Friends Won't Leave
item-20001461,Icon: Kitty Friends Won't Leave
item-10001462,Icon: A Toast To This Damn World
item-20001462,Icon: A Toast To This Damn World
item-10001463,Icon: Dear Becky
item-20001463,Icon: Dear Becky
item-10001464,Icon: Super-Shorty Squad Leader
item-20001464,Icon: Super-Shorty Squad Leader
item-10001465,ID Card: Welcome to VA-11 Hall-A
item-20001465,ID Card: Welcome to VA-11 Hall-A
item-10001466,Best Friend's Armor
item-20001466,Best Friend's Armor
item-10001467,Precious Christmas Outfit
item-20001467,Precious Christmas Outfit
item-10001468,Red Comet
item-20001468,Red Comet
item-10001469,Best Friend's Casual Dress
item-20001469,Best Friend's Casual Dress
item-10001470,Middle School Adventure
item-20001470,Middle School Adventure
item-10001471,Model Warrior
item-20001471,Model Warrior
item-10001472,Black Kitty's Gift
item-20001472,Black Kitty's Gift
item-10001473,Lil' Scientist
item-20001473,Lil' Scientist
item-10001474,Agent Lop Rabbit
item-20001474,Agent Lop Rabbit
item-10001475,Shiba Investigator
item-20001475,Shiba Investigator
item-10001476,Angel's Paint Brush
item-20001476,Angel's Paint Brush
item-10001477,Super Piggy
item-20001477,Super Piggy
item-10001478,Icon: Summer Protector
item-20001478,Icon: Summer Protector
item-10001479,ID Card: Tacticool Watermelon Festival
item-20001479,ID Card: Tacticool Watermelon Festival
item-10001480,Holiday Lucky Star
item-20001480,Holiday Lucky Star
item-10001481,Sunscreen Battle
item-20001481,Sunscreen Battle
item-10001482,Flying Fish Assault
item-20001482,Flying Fish Assault
item-10001483,Anti-Drowning Accessories
item-20001483,Anti-Drowning Accessories
item-10001484,Cape No. 4
item-20001484,Cape No. 4
item-10001485,Crow Lifeguard
item-20001485,Crow Lifeguard
item-10001486,Swimming Lesson
item-20001486,Swimming Lesson
item-10001487,Icon: G80-3000
item-20001487,Icon: G80-3000
item-10001488,Icon: MX8.0
item-20001488,Icon: MX8.0
item-10001489,Icon: Japanese Server 1st Anni. Commemorative Icon
item-20001489,Icon: Japanese Server 1st Anni. Commemorative Icon
item-10001490,True Core Mask Commemorative Icon: Shattered Connexion
item-20001490,True Core Mask Commemorative Icon: Shattered Connexion
item-10001491,Icon: Lost Queen-of-the-Night
item-20001491,Icon: Lost Queen-of-the-Night
item-10001492,ID: Train Station of the Beginning
item-20001492,ID: Train Station of the Beginning
item-10001493,MP5 Neural Upgrade Icon
item-20001493,MP5 Neural Upgrade Icon
item-10001494,416 Neural Upgrade Icon
item-20001494,416 Neural Upgrade Icon
item-10001495,Type88 Neural Upgrade Icon
item-20001495,Type88 Neural Upgrade Icon
item-10001496,UMP9 Neural Upgrade Icon
item-20001496,UMP9 Neural Upgrade Icon
item-10001497,Aqua Youth
item-20001497,Aqua Youth
item-10001498,Maiden's Secret
item-20001498,Maiden's Secret
item-10001499,Moonlit Prayer
item-20001499,Moonlit Prayer
item-10001500,Oborozukiyo
item-20001500,Oborozukiyo
item-10001501,Efflorescence
item-20001501,Efflorescence
item-10001502,Background: Phantasmal Sea of Flowers
item-20001502,Background: Phantasmal Sea of Flowers
item-10001503,High School Thrills
item-20001503,High School Thrills
item-10001504,Pure White Graduation
item-20001504,Pure White Graduation
item-10001505,Late for School
item-20001505,Late for School
item-10001506,Commando Bunny
item-20001506,Commando Bunny
item-10001507,New Term Begins with a Meow
item-20001507,New Term Begins with a Meow
item-10001508,Recreation after School
item-20001508,Recreation after School
item-10001509,Daydreaming in Class
item-20001509,Daydreaming in Class
item-10001510,Meow Prism Power
item-20001510,Meow Prism Power
item-10001511,Icon: Summer Memories
item-20001511,Icon: Summer Memories
item-10001512,ID: R-Type Over-The-Shoulder Throw
item-20001512,ID: R-Type Over-The-Shoulder Throw
item-10001513,Icon: Eulogizer
item-20001513,Icon: Eulogizer
item-10001514,Icon: Possessed Night Face-off
item-20001514,Icon: Possessed Night Face-off
item-10001515,ID Card: When Madness Descends
item-20001515,ID Card: When Madness Descends
item-10001516,Icon: Ghost Ship Captain Kitty
item-20001516,Icon: Ghost Ship Captain Kitty
item-10001517,Candy Mugger!
item-20001517,Candy Mugger!
item-10001518,Burning-Eyed Gr G36c
item-20001518,Burning-Eyed Gr G36c
item-10001519,Pumpkin Fortress
item-20001519,Pumpkin Fortress
item-10001520,Open Your Eyes//c It's Full Moon.
item-20001520,Open Your Eyes//c It's Full Moon.
item-10001521,Darkside Moonwalk
item-20001521,Darkside Moonwalk
item-10001522,Ingenious Stratagem No.97
item-20001522,Ingenious Stratagem No.97
item-10001523,Phantom Assault
item-20001523,Phantom Assault
item-10001524,Nocturnal Executioner
item-20001524,Nocturnal Executioner
item-10001525,Icon: Gourmet of Doom
item-20001525,Icon: Gourmet of Doom
item-10001526,Icon: All Together Meow
item-20001526,Icon: All Together Meow
item-10001527,Icon: Path of No Return
item-20001527,Icon: Path of No Return
item-10001528,Icon: Never Give Up
item-20001528,Icon: Never Give Up
item-10001529,Icon: "Please Count On Me!"
item-20001529,Icon: "Please Count On Me!"
item-10001530,Icon: Seeds of Hope
item-20001530,Icon: Seeds of Hope
item-10001531,Icon: "I'm In Tip-Top Form!"
item-20001531,Icon: "I'm In Tip-Top Form!"
item-10001532,Icon: "If You Gaze Long Enough At A Dinergate..."
item-20001532,Icon: "If You Gaze Long Enough At A Dinergate..."
item-10001533,Icon: "No treat//c but don't trick"
item-20001533,Icon: "No treat//c but don't trick"
item-10001534,ID Card: Feast of the Monstrous
item-20001534,Icon: Feast of the Monstrous
item-10001535,Crimson Navigator
item-20001535,Crimson Navigator
item-10001536,Pulsing Dash
item-20001536,Pulsing Dash
item-10001537,Breakneck Whirlwind
item-20001537,Breakneck Whirlwind
item-10001538,Cheers on the Blazing Tarmac
item-20001538,Cheers on the Blazing Tarmac
item-10001539,Mach Tempest
item-20001539,Mach Tempest
item-10001540,Icon: "Merry X'mas WOOF!"
item-20001540,Icon: "Merry Xmas WOOF!"
item-10001541,Icon: "I want hugs!"
item-20001541,Icon: "I want hugs!"
item-10001542,ID Card: An Embrace through Time and Space
item-20001542,ID Card: An Embrace through Time and Space
item-10001543,Holy Night Promise
item-20001543,Holy Night Promise
item-10001544,Vixen's Platform ⅑
item-20001544,Vixen's Platform ⅑
item-10001545,120 Winter Gifts
item-20001545,120 Winter Gifts
item-10001546,Treasure Buried Deep Within
item-20001546,Treasure Buried Deep Within
item-10001547,Icon: The Xmas Princess and the Stony Pett
item-20001547,Icon: The Xmas Princess and the Stony Pett
item-10001548,Unblemished Protector
item-20001548,Unblemished Protector
item-10001549,My Lie in December
item-20001549,My Lie in December
item-10001550,Stechkin Neural Upgrade Icon
item-20001550,Stechkin Neural Upgrade Icon
item-10001551,C96 Neural Upgrade Icon
item-20001551,C96 Neural Upgrade Icon
item-10001552,M38 Neural Upgrade Icon
item-20001552,M38 Neural Upgrade Icon
item-10001553,NTW-20 Neural Upgrade Icon
item-20001553,NTW-20 Neural Upgrade Icon
item-10001554,Icon: Auspicious Blessings
item-20001554,Icon: Auspicious Blessings
item-10001555,Background: The Cozy Snowy Yard
item-20001555,Background: The Cozy Snowy Yard
item-10001556,Shrine Maiden's Blessed Draw
item-20001556,Shrine Maiden's Blessed Draw
item-10001557,Lucky Rat's Lazy Spring
item-20001557,Lucky Rat's Lazy Spring
item-10001558,Hanetsuki Paddle
item-20001558,Hanetsuki Paddle
item-10001559,Purifying Arrow//c Flowers and Dreams
item-20001559,Purifying Arrow//c Flowers and Dreams
item-10001560,New Year Lion Dance
item-20001560,New Year Lion Dance
item-10001561,Red Plum and White Snow
item-20001561,Red Plum and White Snow
item-10001562,With You
item-20001562,With You
item-10001563,ID Card: Rider in the Snow
item-20001563,ID Card: Rider in the Snow
item-10001564,Icon: Taiwanese Server 3rd Anniversary Commemorative Icon
item-20001564,Icon: Taiwanese Server 3rd Anniversary Commemorative Icon
item-10001565,True Core Mask Commemorative Icon: Polarized Light
item-20001565,True Core Mask Commemorative Icon: Polarized Light
item-10001566,Icon: Split-Second
item-20001566,Icon: Split-Second
item-10001567,ID: Impending Boom
item-20001567,ID: Impending Boom
item-10001568,Echeveria Lantern
item-20001568,Echeveria Lantern
item-10001569,Alluring Larkspur
item-20001569,Alluring Larkspur
item-10001570,Dignified Bamboo
item-20001570,Dignified Bamboo
item-10001571,Tender Marigold
item-20001571,Tender Marigold
item-10001572,Scarlet Turk's Cap
item-20001572,Scarlet Turk's Cap
item-10001573,Snowy Plum Blossom
item-20001573,Snowy Plum Blossom
item-10001574,Night of Blue Lotus
item-20001574,Night of Blue Lotus
item-10001575,Graceful Lady's-Slipper
item-20001575,Graceful Lady's-Slipper
item-10001576,Fragrant Clove
item-20001576,Fragrant Clove
item-10001577,Divine Peach Blossom
item-20001577,Divine Peach Blossom
item-10001578,Scarecrow Icon
item-20001578,Scarecrow Icon
item-10001579,Executioner Icon
item-20001579,Executioner Icon
item-10001580,
item-20001580,
item-10001584,
item-20001584,
item-10001585,Dragoon Icon
item-20001585,Dragoon Icon
item-10001586,
item-20001586,
item-10001587,
item-20001587,
item-10001589,
item-20001589,
item-10001591,
item-20001591,
item-10001592,
item-20001592,
item-10001593,Guard Icon
item-20001593,Guard Icon
item-10001594,Jaeger Icon
item-20001594,Jaeger Icon
item-10001595,
item-20001595,
item-10001597,
item-20001597,
item-10001598,
item-20001598,
item-10001600,
item-20001600,
item-10001601,
item-20001601,
item-10001602,
item-20001602,
item-10001603,
item-20001603,
item-10001604,
item-20001604,
item-10001605,
item-20001605,
item-10001606,
item-20001606,
item-10001607,
item-20001607,
item-10001608,Strawberry Cake & Garden Cosmos
item-20001608,Strawberry Cake & Garden Cosmos
item-10001609,
item-20001609,
item-10001610,
item-20001610,
item-10001611,Icon: Tsavorite Girl
item-20001611,Icon: Tsavorite Girl
item-10001612,Icon: The Eye of Storytelling
item-20001612,Icon: The Eye of Storytelling
item-10001613,ID: The Edge of Time
item-20001613,ID: The Edge of Time
item-10001614,Background: Twilight City
item-20001614,Background: Twilight City
item-10001615,ID Card: Black Canyon
item-20001615,ID Card: Black Canyon
item-10001616,
item-20001616,
item-10001617,
item-20001617,
item-10001618,
item-20001618,
item-10001619,
item-20001619,
item-10001620,
item-20001620,
item-10001621,
item-20001621,
item-10001622,
item-20001622,
item-10001623,
item-20001623,
item-10001624,
item-20001624,
item-10001625,
item-20001625,
item-10001626,Icon: 2nd Anniversary Icon
item-20001626,Icon: 2nd Anniversary Icon
item-10001627,Icon: True Core Mask Memento Icon - 2nd Anniversary
item-20001627,Icon: True Core Mask Memento Icon - 2nd Anniversary
item-10001628,
item-20001628,
item-10001629,
item-20001629,
item-10001630,War Correspondent
item-20001630,War Correspondent
item-10001631,
item-20001631,
item-10001632,
item-20001632,
item-10001633,
item-20001633,
item-10001634,
item-20001634,
item-10001635,
item-20001635,
item-10001636,
item-20001636,
item-10001637,
item-20001637,
item-10001638,
item-20001638,
item-10001639,
item-20001639,
item-10001640,
item-20001640,
item-10001641,A Girl's Hot Air Balloon Adventure
item-20001641,A Girl's Hot Air Balloon Adventure
item-10001642,The Guarded Beloved
item-20001642,The Guarded Beloved
item-10001643,Top Hat Drifting to the Flowers
item-20001643,Top Hat Drifting to the Flowers
item-10001644,The One-Eyed Rabbit Knight
item-20001644,The One-Eyed Rabbit Knight
item-10001645,Guardian in the Rye
item-20001645,Guardian in the Rye
item-10001646,The Wish-Making Sorceress of Fireworks
item-20001646,The Wish-Making Sorceress of Fireworks
item-10001647,The Wish-Granting Sorceress of Fireworks
item-20001647,The Wish-Granting Sorceress of Fireworks
item-10001648,Herbal-Flavored Hard Candy
item-20001648,Herbal-Flavored Hard Candy
item-10001649,The Rex Rabbit In Search of Courage
item-20001649,The Rex Rabbit In Search of Courage
item-10001650,The Wish-Preserving Witch of Shadows
item-20001650,The Wish-Preserving Witch of Shadows
item-10001651,
item-20001651,
item-10001652,
item-20001652,
item-10001653,
item-20001653,
item-10008001,Intel Points
item-20008001,Winter Event Intel Points
item-10008002,Intel Points
item-20008002,Bartender Collab Intel Points
item-10008003,Secret Document
item-20008003,2019 Summer Event Intel Point
item-10009001,Crate
item-20009001,Winter Event Resource Box
item-10009003,Crate
item-20009003,2019 Summer Event Supply Box
item-10100001,Red Envelope
item-20100001,Open Red Envelope to obtain reward
item-10100002,1st Anniversary Costume Voucher
item-20100002,Use 1st Anniversary Costume Voucher to obtain costume
item-10100003,Seithr
item-20100003,Seithr
item-10100004,Crate
item-20100004,Open Crate to obtain reward
item-10100005,Kitty King of Super Gems
item-20100005,Kitty King of Super Gems
item-10100006,Gingerbread Doll
item-20100006,Gingerbread Doll
item-10100007,Supply Box
item-20100007,Supply Box
item-10100008,Easter Egg
item-20100008,Easter Egg
item-10100009,Crown of Respect
item-20100009,Crown of Respect
item-10100010,True Core Mask
item-20100010,True Core Mask
item-10100011,2nd Anniversary Costume Voucher
item-20100011,Use 2nd Anniversary Costume Voucher to obtain costume
item-10100012,Metal Zongzi
item-20100012,Metal Zongzi
item-10100013,Kitsune Mask
item-20100013,Kitsune Maskthe use of this capsule. Capped enhancements will be added to other attributes that still require enhancing. Comes in a variety of fruity flavors.
item-10100014,Supply Box
item-20100014,Supply Box
item-10100015,Dinergate Lantern
item-20100015,Dinergate Lantern
item-10100016,Seithr
item-20100016,Seithr
item-10100017,Candy Cane
item-20100017,Candy Cane
item-10100018,True Core Mask: Isomer
item-20100018,True Core Mask: Isomer
item-10100019,Brandy Chocolate Dog
item-20100019,Brandy Chocolate Dog
item-10100020,True Core Mask·3rd Anni
item-20100020,True Core Mask·3rd Anni
item-10100021,Crate
item-20100021,Third Anniversary Special Supply Box
item-10100022,Third Anniversary Costume Voucher
item-20100022,Third Anniversary Costume Voucher
item-10100023,White Knight Armor Fragments
item-20100023,White Knight Armor Fragments
item-10100024,Tacticool Watermelon
item-20100024,Tacticool Watermelon
item-10100025,True Core Mask - Shattered Connexion
item-20100025,True Core Mask - Shattered Connexion
item-10100026,The Dream Interpreter
item-20100026,The Dream Interpreter
item-10100027,Strange Soap
item-20100027,Strange Soap
item-10100029,Star Ornament
item-20100029,Star Ornament
item-10100030,Nova Medal
item-20100030,Nova Medal
item-10100031,Platinum Medal
item-20100031,Platinum Medal
item-10900030,Nova Medal
item-20900030,Nova Medal
item-10900031,Platinum Medal
item-20900031,Platinum Medal
item-10900032,Nova Medal
item-20900032,Nova Medal
item-10900033,Platinum Medal
item-20900033,Platinum Medal
item-10100032,
item-20100032,
item-10100033,Nova Medal
item-20100033,Nova Medal
item-10100034,Platinum Medal
item-20100034,Platinum Medal
item-10100035,Tangerine Coin
item-20100035,Tangerine Coin
item-10100036,True Core Mask: 2nd Anniversary
item-20100036,True Core Mask: 2nd Anniversary
item-10100037,Supply Box
item-20100037,2nd Anniversary Special Supply Box
item-10100046,1st Anniversary Costume Voucher
item-20100046,1st Anniversary Costume Voucher
item-10110001,Carnival Event Points
item-20110001,Carnival Event Points
item-10110002,Carnival Event Points
item-20110002,Carnival Event Points
item-10110003,Carnival Event Points
item-20110003,Carnival Event Points
item-10110004,Carnival Event Points
item-20110004,Carnival Event Points
item-10110005,Event Points
item-20110005,Event Points
item-10110006,Event Points
item-20110006,Event Points
item-10110007,Event Points
item-20110007,Event Points
item-10110008,Event Points
item-20110008,Event Points
item-10110009,Event Points
item-20110009,Event Points
item-10110010,Event Points
item-20110010,Event Points
item-10110011,Event Points
item-20110011,Event Points
item-10110012,Event Points
item-20110012,Event Points
item-10110013,Event Points
item-20110013,Event Points
item-10110014,Event Points
item-20110014,Event Points
item-10110015,Event Points
item-20110015,Event Points
item-10110016,Event Points
item-20110016,Event Points
item-10110017,Event Points
item-20110017,Event Points
item-10110018,Event Points
item-20110018,Event Points
item-10110019,Event Points
item-20110019,Event Points
item-10110020,Event Points
item-20110020,Event Points
item-10110021,Event Points
item-20110021,Event Points
item-10110022,Event Points
item-20110022,Event Points
item-10110023,Event Points
item-20110023,Carnival Event Points
item-10110024,Event Points
item-20110024,Event Points
item-10110025,Event Points
item-20110025,Event Points
item-10110026,Event Points
item-20110026,Event Points
item-10110027,Event Points
item-20110027,Event Points
item-10110028,Event Points
item-20110028,Event Points
item-10110029,Event Points
item-20110029,Event Points
item-10007001,Candy Pocket
item-20007001,The original purpose of the tactical bag was to allow everyone to bring more disposable equipment for their missions//c but everyone just uses it to store their favorite treats.
item-10007002,Extra Parts
item-20007002,The Commander asked everyone to carry some spare parts for the occasional need//c but this would increase their load//c so the T-Dolls devised a method to solve their problem.
item-10007003,Worrywart
item-20007003,The more things you know//c the more worries you'll have. However//c anxiety is a useless thing//c and the only thing we can do is our best.
item-10007004,Lovestruck
item-20007004,Cake//c chocolate//c or a love letter... What did you receive today? Or did you receive them all? You can't let the others find out if you're really receiving them!
item-10007005,Overthinking
item-20007005,Too many things on your mind will make you unable to concentrate. Therefore//c it's a good strategy to distract yourself before you start thinking too much. Helian's suggestion is to take on more missions//c and Kalina's suggestion is to go shopping with her as much as possible.
item-10007006,Spit Bubble
item-20007006,Who puts on  a spit bubble accessory when interacting with other Dolls//c anyway? Some NEETs might do it to scare off people trying to pull them into their social circles.
item-10007007,Princess Syndrome
item-20007007,Nobody knows when this disease started spreading//c but if its patients could see the bubble on top of their heads//c who knows if they would stop being so creepy?
item-10007008,Gold-Digging Dreams
item-20007008,You mean gold-diggers don't dream of gold ore? Well//c gold ore falling from the sky is nothing more than a sweet dream//c after all.
item-10007009,Purple Blues
item-20007009,I don't know why//c but as I sway to this melancholic tune//c I find the past scattered in time in a purple haze...
item-10007010,Golden Lullaby
item-20007010,So long as you enter Dreamland humming this lullaby//c no matter how nightmarish your dream//c you'll surely become a peerless Gold Saint.
item-10007011,Green Hymn
item-20007011,Every time I catch this familiar green tune//c I can't help but think that someone capable of making such holy music must love eating cherries a lot.
item-10007012,Cherry Blossom Breeze
item-20007012,Flowers blossoming in spring//c new clothes//c the ground covered in soft grass... Although one can only dream of such things these days//c the sense of peace they bring can carry over to reality.
item-10007013,Stormy Cloud
item-20007013,Be tolerant. Put yourself in other people's shoes. Try to understand others... But right now I don't want to think about anything. I just want to vent my feelings without a care in the world.
item-10007014,Oncoming Storm
item-20007014,Even if we know we're in the wrong//c it can still be hurtful when we get told off. Living with negative emotions and learning to correct our mistakes are a part of growing up//c but...ugh...I can't bear it anymre...
item-10007101,Commander Costume - Swimsuit Effect
item-20007101,Commander Costume - Swimsuit Effect
item-10007102,Commander Costume - Summer Event Effect
item-20007102,Commander Costume - Summer Event Effect
item-10007103,Commander Outfit - 2019 Yukata Set Special Effect
item-20007103,Commander Outfit - 2019 Yukata Set Special Effect
item-10007104,Commander Outfit - 2019 Delinquent Set Special Effect
item-20007104,Commander Outfit - 2019 Delinquent Set Special Effect
item-10007105,Commander Outfit - 2019 X'mas Set Special Effect
item-20007105,Commander Outfit - 2019 X'mas Set Special Effect
item-10007106,Commander Outfit - 2020 Spring Festival Set Special Effect
item-20007106,Commander Outfit - 2020 Spring Festival Set Special Effect
item-10007107,
item-20007107,
item-10006001,Ordinary Meat Bun
item-20006001,Can be used to quell hunger. Also helps a tiny bit with exploration speed. It's better than nothing//c I guess.
item-10006002,Bundle of Meat Buns
