achievement-10000001,A Little Interest
achievement-20000275,Perform 10//c000 T-Doll Dummy Links.
achievement-30000275,
achievement-10000276,Maid Cafe
achievement-20000276,Perform 20//c000 T-Doll Dummy Links.
achievement-30000276,
achievement-10000277,Faust
achievement-20000277,Perform 20//c000 T-Doll Enhancements.
achievement-30000277,
achievement-10000278,Maiden's Slippers
achievement-20000278,Perform 50//c000 T-Doll Enhancements.
achievement-30000278,
achievement-10000279,Centurion
achievement-20000279,Perform 100//c000 T-Doll Enhancements.
achievement-30000279,
achievement-10000280,A Farewell to Arms
achievement-20000280,Retire 20//c000 T-Dolls.
achievement-30000280,
achievement-10000281,Non-Violence//c Non-Cooperation
achievement-20000281,Retire 50//c000 T-Dolls.
achievement-30000281,
achievement-10000282,Thanks for all the Fish
achievement-20000282,Retire 100//c000 T-Dolls.
achievement-30000282,
achievement-10000283,Military Law No. 5000
achievement-20000283,Undergo Skill Training 5//c000 times.
achievement-30000283,
achievement-10000284,Commando
achievement-20000284,Undergo Skill Training 10//c000 times.
achievement-30000284,
achievement-10000285,Peace Through Tyranny
achievement-20000285,Undergo Skill Training 20//c000 times.
achievement-30000285,
achievement-10000286,5000 Days of Summer
achievement-20000286,Complete 5//c000 Combat Simulations.
achievement-30000286,
achievement-10000287,21st Century Girl
achievement-20000287,Complete 10//c000 Combat Simulations.
achievement-30000287,
achievement-10000288,Freedom is Everyone's Right
achievement-20000288,Complete 20//c000 Combat Simulations.
achievement-30000288,
achievement-10000289,Blade Dancer
achievement-20000289,Complete 20//c000 Auto-Battles.
achievement-30000289,
achievement-10000290,Neurocaster
achievement-20000290,Complete 50//c000 Auto-Battles.
achievement-30000290,
achievement-10000291,Strange Building
achievement-20000291,Complete 100//c000 Auto-Battles.
achievement-30000291,
achievement-10000292,King of Strength
achievement-20000292,Manpower reaches 300//c000 for the first time.
achievement-30000292,
achievement-10000293,Romba
achievement-20000293,Ammo reaches 300//c000 for the first time.
achievement-30000293,
achievement-10000294,Maiden's Hideout
achievement-20000294,Rations reach 300//c000 for the first time.
achievement-30000294,
achievement-10000295,Alloy Cogwheel
achievement-20000295,Parts reach 300//c000 for the first time.
achievement-30000295,
achievement-10000296,Marble Machine
achievement-20000296,Produce 5//c000 pieces of equipment.
achievement-30000296,
achievement-10000297,Invention History of the Light Bulb
achievement-20000297,Produce 10//c000 pieces of equipment.
achievement-30000297,
achievement-10000298,Primatron
achievement-20000298,Produce 20//c000 pieces of equipment.
achievement-30000298,
achievement-10000299,Cosmic Factory
achievement-20000299,Produce 50//c000 pieces of equipment.
achievement-30000299,
achievement-10000300,Production Crisis
achievement-20000300,Dismantle 20//c000 pieces of equipment.
achievement-30000300,
achievement-10000301,Dismantled Train
achievement-20000301,Dismantle 50//c000 pieces of equipment.
achievement-30000301,
achievement-10000302,Anatomische Tabellen
achievement-20000302,Dismantle 100//c000 pieces of equipment.
achievement-30000302,
achievement-10000303,V-J Day in Times Square
achievement-20000303,Affection reaches 100 for the first T-Doll.
achievement-30000303,
achievement-10000304,Chain of Moon
achievement-20000304,Affection reaches 100 for 10 T-Dolls.
achievement-30000304,
achievement-10000305,Chain of Mercury
achievement-20000305,Affection reaches 100 for 30 T-Dolls.
achievement-30000305,
achievement-10000306,Chain of Venus
achievement-20000306,Affection reaches 100 for 50 T-Dolls.
achievement-30000306,
achievement-10000307,Chain of Mars
achievement-20000307,Affection reaches 100 for 100 T-Dolls.
achievement-30000307,
achievement-10000308,Chain of Jupiter
achievement-20000308,Affection reaches 100 for 150 T-Dolls.
achievement-30000308,
achievement-10000309,Chain of Saturn
achievement-20000309,Affection reaches 100 for 200 T-Dolls.
achievement-30000309,
achievement-10000310,Chain of Uranus
achievement-20000310,Affection reaches 100 for 300 T-Dolls.
achievement-30000310,
achievement-10000311,T-Doll Special Marking System: Oath
achievement-20000311,Establish Oath with a T-Doll for the first time.
achievement-30000311,
achievement-10000312,Battlefield Oath
achievement-20000312,Establish Oath with 10 T-Dolls.
achievement-30000312,
achievement-10000313,Imprint on the Heart
achievement-20000313,Establish Oath with 30 T-Dolls.
achievement-30000313,
achievement-10000314,Sensory Link
achievement-20000314,Establish Oath with 50 T-Dolls.
achievement-30000314,
achievement-10000315,Soul Resonance
achievement-20000315,Establish Oath with 100 T-Dolls.
achievement-30000315,
achievement-10000316,Romantic Symphony
achievement-20000316,Establish Oath with 150 T-Dolls.
achievement-30000316,
achievement-10000317,A Thousand Suns
achievement-20000317,Establish Oath with 200 T-Dolls.
achievement-30000317,
achievement-10000318,Hymn to Heaven
achievement-20000318,Establish Oath with 300 T-Dolls.
achievement-30000318,
achievement-10000319,Terminal
achievement-20000319,Affection reaches 150 for the first T-Doll.
achievement-30000319,
achievement-10000320,Bond of Paper
achievement-20000320,Affection reaches 150 for 10 T-Dolls.
achievement-30000320,
achievement-10000321,Bond of Cotton
achievement-20000321,Affection reaches 150 for 30 T-Dolls.
achievement-30000321,
achievement-10000322,Bond of Wood
achievement-20000322,Affection reaches 150 for 50 T-Dolls.
achievement-30000322,
achievement-10000323,Bond of Tin
achievement-20000323,Affection reaches 150 for 100 T-Dolls.
achievement-30000323,
achievement-10000324,Bond of Crystal
achievement-20000324,Affection reaches 150 for 150 T-Dolls.
achievement-30000324,
achievement-10000325,Bond of China
achievement-20000325,Affection reaches 150 for 200 T-Dolls.
achievement-30000325,
achievement-10000326,Bond of Pearl
achievement-20000326,Affection reaches 150 for 300 T-Dolls.
achievement-30000326,
achievement-10000327,Cross-Border Shopping
achievement-20000327,Purchase furniture for the first time.
achievement-30000327,
achievement-10000328,Shopping Novice
achievement-20000328,Purchase furniture 10 times.
achievement-30000328,
achievement-10000329,Shopping Apprentice
achievement-20000329,Purchase furniture 50 times.
achievement-30000329,
achievement-10000330,Shopping Artisan
achievement-20000330,Purchase furniture 100 times.
achievement-30000330,
achievement-10000331,Shopping Elite
achievement-20000331,Purchase furniture 500 times.
achievement-30000331,
achievement-10000332,Shopping Expert
achievement-20000332,Purchase furniture 1//c000 times.
achievement-30000332,
achievement-10000333,Shopping Master
achievement-20000333,Purchase furniture 2//c000 times.
achievement-30000333,
achievement-10000334,Shopping Virtuoso
achievement-20000334,Purchase furniture 5//c000 times.
achievement-30000334,
achievement-10000335,Shopping Factory Director
achievement-20000335,Purchase furniture 10//c000 times.
achievement-30000335,
achievement-10000336,Shopping Tycoon
achievement-20000336,Purchase furniture 20//c000 times.
achievement-30000336,
achievement-10000337,Start from Home
achievement-20000337,Acquire 4-star furniture for the first time.
achievement-30000337,
achievement-10000338,Cozy Furniture Novice
achievement-20000338,Acquire 10 pieces of 4-star furniture.
achievement-30000338,
achievement-10000339,Cozy Furniture Apprentice
achievement-20000339,Acquire 20 pieces of 4-star furniture.
achievement-30000339,
achievement-10000340,Cozy Furniture Artisan
achievement-20000340,Acquire 50 pieces of 4-star furniture.
achievement-30000340,
achievement-10000341,Cozy Furniture Elite
achievement-20000341,Acquire 100 pieces of 4-star furniture.
achievement-30000341,
achievement-10000342,Cozy Furniture Expert
achievement-20000342,Acquire 200 pieces of 4-star furniture.
achievement-30000342,
achievement-10000343,Cozy Furniture Master
achievement-20000343,Acquire 500 pieces of 4-star furniture.
achievement-30000343,
achievement-10000344,Cozy Furniture Virtuoso
achievement-20000344,Acquire 1000 pieces of 4-star furniture.
achievement-30000344,
achievement-10000345,Cozy Furniture Factory Director
achievement-20000345,Acquire 2000 pieces of 4-star furniture.
achievement-30000345,
achievement-10000346,Cozy Furniture Tycoon
achievement-20000346,Acquire 5000 pieces of 4-star furniture.
achievement-30000346,
achievement-10000347,Build up Ambiance
achievement-20000347,Acquire 5-star furniture for the first time.
achievement-30000347,
achievement-10000348,Classy Furniture Novice
achievement-20000348,Acquire 5 pieces of 5-star furniture.
achievement-30000348,
achievement-10000349,Classy Furniture Apprentice
achievement-20000349,Acquire 10 pieces of 5-star furniture.
achievement-30000349,
achievement-10000350,Classy Furniture Artisan
achievement-20000350,Acquire 20 pieces of 5-star furniture.
achievement-30000350,
achievement-10000351,Classy Furniture Elite
achievement-20000351,Acquire 50 pieces of 5-star furniture.
achievement-30000351,
achievement-10000352,Classy Furniture Expert
achievement-20000352,Acquire 100 pieces of 5-star furniture.
achievement-30000352,
achievement-10000353,Classy Furniture Master
achievement-20000353,Acquire 200 pieces of 5-star furniture.
achievement-30000353,
achievement-10000354,Classy Furniture Virtuoso
achievement-20000354,Acquire 500 pieces of 5-star furniture.
achievement-30000354,
achievement-10000355,Classy Furniture Factory Director
achievement-20000355,Acquire 1000 pieces of 5-star furniture.
achievement-30000355,
achievement-10000356,Classy Furniture Tycoon
achievement-20000356,Acquire 2000 pieces of 5-star furniture.
achievement-30000356,
achievement-10000357,Light Up Life
achievement-20000357,Acquire a set of 4-star furniture.
achievement-30000357,
achievement-10000358,Rookie Furnisher
achievement-20000358,Acquire 3 different sets of 4-star furniture.
achievement-30000358,
achievement-10000359,Intern Furnisher
achievement-20000359,Acquire 5 different sets of 4-star furniture.
achievement-30000359,
achievement-10000360,Furnisher
achievement-20000360,Acquire 10 different sets of 4-star furniture.
achievement-30000360,
achievement-10000361,Advanced Furnisher
achievement-20000361,Acquire 15 different sets of 4-star furniture.
achievement-30000361,
achievement-10000362,Elite Furnisher
achievement-20000362,Acquire 20 different sets of 4-star furniture.
achievement-30000362,
achievement-10000363,Senior Furnisher
achievement-20000363,Acquire 30 different sets of 4-star furniture.
achievement-30000363,
achievement-10000364,High-Ranked Furnisher
achievement-20000364,Acquire 40 different sets of 4-star furniture.
achievement-30000364,
achievement-10000365,Veteran Furnisher
achievement-20000365,Acquire 50 different sets of 4-star furniture.
achievement-30000365,
achievement-10000366,Master Furnisher
achievement-20000366,Acquire 60 different sets of 4-star furniture.
achievement-30000366,
achievement-10000367,Perfect Home
achievement-20000367,Acquire a set of 5-star furniture.
achievement-30000367,
achievement-10000368,Rookie Hedonist
achievement-20000368,Acquire 3 different sets of 5-star furniture.
achievement-30000368,
achievement-10000369,Intern Hedonist
achievement-20000369,Acquire 5 different sets of 5-star furniture.
achievement-30000369,
achievement-10000370,Hedonist
achievement-20000370,Acquire 10 different sets of 5-star furniture.
achievement-30000370,
achievement-10000371,Advanced Hedonist
achievement-20000371,Acquire 15 different sets of 5-star furniture.
achievement-30000371,
achievement-10000372,Elite Hedonist
achievement-20000372,Acquire 20 different sets of 5-star furniture.
achievement-30000372,
achievement-10000373,Senior Hedonist
achievement-20000373,Acquire 30 different sets of 5-star furniture.
achievement-30000373,
achievement-10000374,High-Ranked Hedonist
achievement-20000374,Acquire 40 different sets of 5-star furniture.
achievement-30000374,
achievement-10000375,Veteran Hedonist
achievement-20000375,Acquire 50 different sets of 5-star furniture.
achievement-30000375,
achievement-10000376,Master Hedonist
achievement-20000376,Acquire 60 different sets of 5-star furniture.
achievement-30000376,
achievement-10000377,Am I Pretty?
achievement-20000377,Unlock first costume.
achievement-30000377,
achievement-10000378,Coat Hook
achievement-20000378,Unlock 3 costumes.
achievement-30000378,
achievement-10000379,Clotheshorse
achievement-20000379,Unlock 10 costumes.
achievement-30000379,
achievement-10000380,Trunk
achievement-20000380,Unlock 30 costumes.
achievement-30000380,
achievement-10000381,Wardrobe
achievement-20000381,Unlock 50 costumes.
achievement-30000381,
achievement-10000382,Uniglo
achievement-20000382,Unlock 80 costumes.
achievement-30000382,
achievement-10000383,Small Boutique
achievement-20000383,Unlock 120 costumes.
achievement-30000383,
achievement-10000384,Second-Hand Costume Online Store
achievement-20000384,Unlock 160 costumes.
achievement-30000384,
achievement-10000385,Lolita Treasury
achievement-20000385,Unlock 200 costumes.
achievement-30000385,
achievement-10000386,Magical Girl
achievement-20000386,Unlock 250 costumes.
achievement-30000386,
achievement-10000387,The Last Stand
achievement-20000387,Unlock 300 costumes.
achievement-30000387,
achievement-10000388,For Me?
achievement-20000388,Gift for the first time.
achievement-30000388,
achievement-10000389,Small Snack
achievement-20000389,Gift 10 gifts.
achievement-30000389,
achievement-10000390,Fresh Bouquet
achievement-20000390,Gift 50 gifts.
achievement-30000390,
achievement-10000391,Streetside Trinket
achievement-20000391,Gift 100 gifts.
achievement-30000391,
achievement-10000392,Exquisite Tea Set
achievement-20000392,Gift 500 gifts.
achievement-30000392,
achievement-10000393,Limited Poster
achievement-20000393,Gift 1//c000 Gifts.
achievement-30000393,
achievement-10000394,Collectible Art Book
achievement-20000394,Gift 2//c000 Gifts.
achievement-30000394,
achievement-10000395,Royal Confectionery
achievement-20000395,Gift 5//c000 Gifts.
achievement-30000395,
achievement-10000396,Designer Scarf
achievement-20000396,Gift 10//c000 Gifts.
achievement-30000396,
achievement-10000397,Luxury Handbag
achievement-20000397,Gift 20//c000 Gifts.
achievement-30000397,
achievement-10000398,Thanks for the Hard Work!
achievement-20000398,Collect first heart from a T-Doll in Dormitory.
achievement-30000398,
achievement-10000399,Love from Zero
achievement-20000399,Collect 50 hearts from T-Dolls in Dormitory.
achievement-30000399,
achievement-10000400,Is It Wrong to Try to Pick Up T-Dolls?
achievement-20000400,Collect 100 hearts from T-Dolls in Dormitory.
achievement-30000400,
achievement-10000401,My T-Doll Can't be This Cute
achievement-20000401,Collect 500 hearts from T-Dolls in Dormitory.
achievement-30000401,
achievement-10000402,And You Thought There Is Never a T-Doll Online?
achievement-20000402,Collect 1//c000 hearts from T-Dolls in Dormitory.
achievement-30000402,
achievement-10000403,I DO Have Many Friends
achievement-20000403,Collect 2//c000 hearts from T-Dolls in Dormitory.
achievement-30000403,
achievement-10000404,My Youth Is NOT Wrong
achievement-20000404,Collect 5//c000 hearts from T-Dolls in Dormitory.
achievement-30000404,
achievement-10000405,I Was Abducted by an All-Girls School as a Commander
achievement-20000405,Collect 10//c000 hearts from T-Dolls in Dormitory.
achievement-30000405,
achievement-10000406,The Honor Student at Romance High School
achievement-20000406,Collect 20//c000 hearts from T-Dolls in Dormitory.
achievement-30000406,
achievement-10000407,My T-Doll Girlfriends Fight Too Much
achievement-20000407,Collect 50//c000 hearts from T-Dolls in Dormitory.
achievement-30000407,
achievement-10000408,News Agency 3
achievement-20000408,Open third Dormitory.
achievement-30000408,
achievement-10000409,4th Dimension
achievement-20000409,Open fourth Dormitory.
achievement-30000409,
achievement-10000410,Season 5
achievement-20000410,Open fifth Dormitory.
achievement-30000410,
achievement-10000411,6th Sense
achievement-20000411,Open sixth Dormitory.
achievement-30000411,
achievement-10000412,7th Heaven
achievement-20000412,Open seventh Dormitory.
achievement-30000412,
achievement-10000413,Day 8
achievement-20000413,Open eighth Dormitory.
achievement-30000413,
achievement-10000414,Full House
achievement-20000414,Acquire 4-star furniture set bonus for the first time.
achievement-30000414,
achievement-10000415,Happy Family
achievement-20000415,Acquire 5-star furniture set bonus 1 for the first time.
achievement-30000415,
achievement-10000416,Tropica
achievement-20000416,Acquire 5-star furniture set bonus 2 for the first time.
achievement-30000416,
achievement-10000417,City Skyline
achievement-20000417,Acquire 5-star furniture set bonus 3 for the first time.
achievement-30000417,
achievement-10000425,Novice Collector: SG
achievement-20000425,Unlock 1 Shotgun type T-Doll.
achievement-30000425,
achievement-10000426,Intern Collector: SG
achievement-20000426,Unlock 5 different Shotgun type T-Dolls.
achievement-30000426,
achievement-10000427,Advanced Collector: SG
achievement-20000427,Unlock 10 different Shotgun type T-Dolls.
achievement-30000427,
achievement-10000428,Expert Collector: SG
achievement-20000428,Unlock 15 different Shotgun type T-Dolls.
achievement-30000428,
achievement-10000429,Scholarly Collector: SG
achievement-20000429,Unlock 20 different Shotgun type T-Dolls.
achievement-30000429,
achievement-10000430,Elite Collector: SG
achievement-20000430,Unlock 25 different Shotgun type T-Dolls.
achievement-30000430,
achievement-10000431,Master Collector: SG
achievement-20000431,Unlock 30 different Shotgun type T-Dolls.
achievement-30000431,
achievement-10000432,Sunflower F375
achievement-20000432,Collect 10 hearts from Kalina.
achievement-30000432,
achievement-10000433,Sunflower F376
achievement-20000433,Collect 20 hearts from Kalina.
achievement-30000433,
achievement-10000434,Sunflower F377
achievement-20000434,Collect 50 hearts from Kalina.
achievement-30000434,
achievement-10000435,Sunflower F452
achievement-20000435,Collect 100 hearts from Kalina.
achievement-30000435,
achievement-10000436,Sunflower F453
achievement-20000436,Collect 200 hearts from Kalina.
achievement-30000436,
achievement-10000437,Sunflower F454
achievement-20000437,Collect 500 hearts from Kalina.
achievement-30000437,
achievement-10000438,Sunflower F455
achievement-20000438,Collect 1//c000 hearts from Kalina.
achievement-30000438,
achievement-10000439,Sunflower F456
achievement-20000439,Collect 2//c000 hearts from Kalina.
achievement-30000439,
achievement-10000440,Sunflower F457
achievement-20000440,Collect 5//c000 hearts from Kalina.
achievement-30000440,
achievement-10000441,Heavy Production
achievement-20000441,Use T-Doll Heavy Production once.
achievement-30000441,
achievement-10000442,Radiation 5
achievement-20000442,Use T-Doll Heavy Production 5 times.
achievement-30000442,
achievement-10000443,Crazy Weapons
achievement-20000443,Use T-Doll Heavy Production 10 times.
achievement-30000443,
achievement-10000444,Metal Bob
achievement-20000444,Use T-Doll Heavy Production 20 times.
achievement-30000444,
achievement-10000445,Xenocogs
achievement-20000445,Use T-Doll Heavy Production 50 times.
achievement-30000445,
achievement-10000446,May and The Extraordinary World
achievement-20000446,Use T-Doll Heavy Production 100 times.
achievement-30000446,
achievement-10000447,Girl from the Underworld
achievement-20000447,Use T-Doll Heavy Production 200 times.
achievement-30000447,
achievement-10000448,Doom
achievement-20000448,Use T-Doll Heavy Production 500 times.
achievement-30000448,
achievement-10000449,A Better Griffin
achievement-20000449,Use T-Doll Heavy Production 1//c000 times.
achievement-30000449,
achievement-10000450,SF Terminator
achievement-20000450,Use T-Doll Heavy Production 2//c000 times.
achievement-30000450,
achievement-10000451,Equipment Enhancement
achievement-20000451,Perform 1 Equipment Enhancement.
achievement-30000451,
achievement-10000452,Mythril
achievement-20000452,Perform 10 Equipment Enhancements.
achievement-30000452,
achievement-10000453,Fine Gold
achievement-20000453,Perform 100 Equipment Enhancements.
achievement-30000453,
achievement-10000454,The Glowing Shard
achievement-20000454,Perform 500 Equipment Enhancements.
achievement-30000454,
achievement-10000455,Titanite Shards
achievement-20000455,Perform 1//c000 Equipment Enhancements.
achievement-30000455,
achievement-10000456,Blood Rock
achievement-20000456,Perform 5//c000 Equipment Enhancements.
achievement-30000456,
achievement-10000457,Blood of Goddess
achievement-20000457,Perform 10//c000 Equipment Enhancements.
achievement-30000457,
achievement-10000458,The Seal of Orikalos
achievement-20000458,Perform 20//c000 Equipment Enhancements.
achievement-30000458,
achievement-10000459,Cureglia Sword
achievement-20000459,Perform 50//c000 Equipment Enhancements.
achievement-30000459,
achievement-10000460,Equipment Finetuning
achievement-20000460,Perform 1 Equipment Calibration.
achievement-30000460,
achievement-10000461,Rework Report
achievement-20000461,Perform 10 Equipment Calibrations.
achievement-30000461,
achievement-10000462,Arsenal Improvement
achievement-20000462,Perform 100 Equipment Calibrations.
achievement-30000462,
achievement-10000463,Requirement Madness
achievement-20000463,Perform 500 Equipment Calibrations.
achievement-30000463,
achievement-10000464,Perfect Product
achievement-20000464,Perform 1//c000 Equipment Calibrations.
achievement-30000464,
achievement-10000465,Final Evolution
achievement-20000465,Perform 2//c000 Equipment Calibrations.
achievement-30000465,
achievement-10000466,Ultimate Creation
achievement-20000466,Perform 5//c000 Equipment Calibrations.
achievement-30000466,
achievement-10000467,Late Night Maintenance
achievement-20000467,Perform 50 Equipment Calibrations.
achievement-30000467,
achievement-10000468,True Art is an Explosion
achievement-20000468,Perform 10//c000 Equipment Calibrations.
achievement-30000468,
achievement-10000469,NINETOWNS
achievement-20000469,Open ninth Dormitory.
achievement-30000469,
achievement-10000470,The 10th Relaxation Room
achievement-20000470,Open tenth Dormitory.
achievement-30000470,
achievement-10000471,Can I Keep It?
achievement-20000471,Adopt 1 pet.
achievement-30000471,
achievement-10000472,The Rule of 3 Cats
achievement-20000472,Adopt 3 different pets.
achievement-30000472,
achievement-10000473,Cat Princess
achievement-20000473,Adopt 5 different pets.
achievement-30000473,
achievement-10000474,Ten Dalmatians
achievement-20000474,Adopt 10 different pets.
achievement-30000474,
achievement-10000475,Animal World
achievement-20000475,Adopt 15 different pets.
achievement-30000475,
achievement-10000476,Welcome to Griffin Park
achievement-20000476,Adopt 20 different pets.
achievement-30000476,
achievement-10000477,Battery
achievement-20000477,Acquire 10 batteries.
achievement-30000477,
achievement-10000478,T-partment
achievement-20000478,Acquire 100 batteries.
achievement-30000478,
achievement-10000479,Home with Girls
achievement-20000479,Acquire 500 batteries.
achievement-30000479,
achievement-10000480,My Own Echelon
achievement-20000480,Acquire 1//c000 batteries.
achievement-30000480,
achievement-10000481,I Love Your Home
achievement-20000481,Acquire 5//c000 batteries.
achievement-30000481,
achievement-10000482,Idler: Kalina
achievement-20000482,Acquire 10//c000 batteries.
achievement-30000482,
achievement-10000483,In The Griffin Family
achievement-20000483,Acquire 50//c000 batteries.
achievement-30000483,
achievement-10000484,Story of the Troublemakers
achievement-20000484,Acquire 100//c000 batteries.
achievement-30000484,
achievement-10000485,The Train Station
achievement-20000485,Acquire 200//c000 batteries.
achievement-30000485,
achievement-10000486,Headquarters Story
achievement-20000486,Acquire 500//c000 batteries.
achievement-30000486,
achievement-10000487,You've got Friend!
achievement-20000487,Make a friend.
achievement-30000487,
achievement-10000488,The Blockhead
achievement-20000488,Make 10 friends.
achievement-30000488,
achievement-10000489,Throw the Handkerchief
achievement-20000489,Make 20 friends.
achievement-30000489,
achievement-10000490,What's the Time//c Mr. Wolf?
achievement-20000490,Make 30 friends.
achievement-30000490,
achievement-10000491,Hawk Catches Chicks
achievement-20000491,Make 40 friends.
achievement-30000491,
achievement-10000492,Pass the Parcel
achievement-20000492,Make 50 friends.
achievement-30000492,
achievement-10000493,Friend Support
achievement-20000493,Use a friend's Support Echelon once.
achievement-30000493,
achievement-10000494,Hey//c Courtier!
achievement-20000494,Use a friend's Support Echelon 50 times.
achievement-30000494,
achievement-10000495,Gift from Heaven
achievement-20000495,Use a friend's Support Echelon 100 times.
achievement-30000495,
achievement-10000496,Old Hunter Bell
achievement-20000496,Use a friend's Support Echelon 500 times.
achievement-30000496,
achievement-10000497,Friendship//c Endeavor//c Clear
achievement-20000497,Use a friend's Support Echelon 1//c000 times.
achievement-30000497,
achievement-10000498,Friendship is Magic
achievement-20000498,Use a friend's Support Echelon 2//c000 times.
achievement-30000498,
achievement-10000499,PRAISE THE SUN!
achievement-20000499,Use a friend's Support Echelon 5//c000 times.
achievement-30000499,
achievement-10000500,10k Drill Break
achievement-20000500,Use a friend's Support Echelon 10//c000 times.
achievement-30000500,
achievement-10000501,Spirit Bomb
achievement-20000501,Use a friend's Support Echelon 20//c000 times.
achievement-30000501,
achievement-10000502,Bonds of Commanders are the True Power
achievement-20000502,Use a friend's Support Echelon 50//c000 times.
achievement-30000502,
achievement-10000503,Collecting Battery
achievement-20000503,Acquire Shared Batteries from a friend once.
achievement-30000503,
achievement-10000504,I'm here
achievement-20000504,Acquire Shared Batteries from a friend 50 times.
achievement-30000504,
achievement-10000505,Visiting Someone's House
achievement-20000505,Acquire Shared Batteries from a friend 100 times.
achievement-30000505,
achievement-10000506,News Tease
achievement-20000506,Acquire Shared Batteries from a friend 500 times.
achievement-30000506,
achievement-10000507,Well-Connected One
achievement-20000507,Acquire Shared Batteries from a friend 1//c000 times.
achievement-30000507,
achievement-10000508,King of Nerd
achievement-20000508,Acquire Shared Batteries from a friend 2//c000 times.
achievement-30000508,
achievement-10000509,Daytime Tea Party
achievement-20000509,Acquire Shared Batteries from a friend 5//c000 times.
achievement-30000509,
achievement-10000510,King of Chitchat
achievement-20000510,Acquire Shared Batteries from a friend 10//c000 times.
achievement-30000510,
achievement-10000511,Moments Master
achievement-20000511,Acquire Shared Batteries from a friend 20//c000 times.
achievement-30000511,
achievement-10000512,The Warleader
achievement-20000512,Acquire 110 Bronze Medals.
achievement-30000512,
achievement-10000513,Advanced Warleader
achievement-20000513,Acquire 120 Bronze Medals.
achievement-30000513,
achievement-10000514,Elite Warleader
achievement-20000514,Acquire 130 Bronze Medals.
achievement-30000514,
achievement-10000515,Senior Warleader
achievement-20000515,Acquire 140 Bronze Medals.
achievement-30000515,
achievement-10000516,High-Ranked Warleader
achievement-20000516,Acquire 150 Bronze Medals.
achievement-30000516,
achievement-10000517,Tactical Staff
achievement-20000517,Acquire 110 Silver Medals.
achievement-30000517,
achievement-10000518,Advanced Tactical Staff
achievement-20000518,Acquire 120 Silver Medals.
achievement-30000518,
achievement-10000519,Elite Tactical Staff
achievement-20000519,Acquire 130 Silver Medals.
achievement-30000519,
achievement-10000520,Battle Hero
achievement-20000520,Acquire 110 Gold Medals.
achievement-30000520,
achievement-10000521,Advanced Battle Hero
achievement-20000521,Acquire 120 Gold Medals.
achievement-30000521,
achievement-10000522,Elite Battle Hero
achievement-20000522,Acquire 130 Gold Medals.
achievement-30000522,
achievement-10000523,Fairy Command
achievement-20000523,Acquire 10 Fairy Commands.
achievement-30000523,
achievement-10000524,Flash Your Gun
achievement-20000524,Acquire 100 Fairy Commands.
achievement-30000524,
achievement-10000525,The Eagle Whisperer
achievement-20000525,Acquire 500 Fairy Commands.
achievement-30000525,
achievement-10000526,Band of Sisters
achievement-20000526,Acquire 1//c000 Fairy Commands.
achievement-30000526,
achievement-10000527,Bomb Squad
achievement-20000527,Acquire 2//c000 Fairy Commands.
achievement-30000527,
achievement-10000528,Gray Plane Down
achievement-20000528,Acquire 5//c000 Fairy Commands.
achievement-30000528,
achievement-10000529,Letters from Griffin
achievement-20000529,Acquire 10//c000 Fairy Commands.
achievement-30000529,
achievement-10000530,Dr. Weird
achievement-20000530,Acquire 20//c000 Fairy Commands.
achievement-30000530,
achievement-10000531,Kryuger's List
achievement-20000531,Acquire 50//c000 Fairy Commands.
achievement-30000531,
achievement-10000532,A Contractor is Born
achievement-20000532,Acquire 100//c000 Fairy Commands.
achievement-30000532,
achievement-10000533,Equipment Heavy Production
achievement-20000533,Use Equipment Heavy Production once.
achievement-30000533,
achievement-10000534,Contraption Creator
achievement-20000534,Use Equipment Heavy Production 10 times.
achievement-30000534,
achievement-10000535,Bridge Builder
achievement-20000535,Use Equipment Heavy Production 20 times.
achievement-30000535,
achievement-10000536,Prison Designer
achievement-20000536,Use Equipment Heavy Production 50 times.
achievement-30000536,
achievement-10000537,Grifon Valley
achievement-20000537,Use Equipment Heavy Production 100 times.
achievement-30000537,
achievement-10000538,Planet Rider
achievement-20000538,Use Equipment Heavy Production 200 times.
achievement-30000538,
achievement-10000539,Path of Progress
achievement-20000539,Use Equipment Heavy Production 500 times.
achievement-30000539,
achievement-10000540,Skyline
achievement-20000540,Use Equipment Heavy Production 1//c000 times.
achievement-30000540,
achievement-10000541,Siege
achievement-20000541,Use Equipment Heavy Production 2//c000 times.
achievement-30000541,
achievement-10000542,ANNO 2062
achievement-20000542,Use Equipment Heavy Production 5//c000 times.
achievement-30000542,
achievement-10000543,Fairy Turing
achievement-20000543,First Fairy to reach 3 stars.
achievement-30000543,
achievement-10000544,The Cybernetics Elf.
achievement-20000544,First Fairy to reach 4 stars.
achievement-30000544,
achievement-10000545,Witch of Uncertainty
achievement-20000545,First Fairy to reach 5 stars.
achievement-30000545,
achievement-10000546,Tactical Fairy
achievement-20000546,Acquire first Fairy.
achievement-30000546,
achievement-10000547,Novice Collecter: Fairy
achievement-20000547,Acquire 3 different Fairies.
achievement-30000547,
achievement-10000548,Trainee Collector: Fairy
achievement-20000548,Acquire 5 different Fairies.
achievement-30000548,
achievement-10000549,Advanced Collector: Fairy
achievement-20000549,Acquire 10 different Fairies.
achievement-30000549,
achievement-10000550,Expert Collector: Fairy
achievement-20000550,Acquire 15 different Fairies.
achievement-30000550,
achievement-10000551,Scholarly Collector: Fairy
