main_quest-10000001,Mission Accomplished: Normal 1-1
main_quest-20000235,Complete Normal 7-2 for the first time to acquire the bronze medal.
main_quest-10000236,Mission Accomplished: Normal 7-3
main_quest-20000236,Complete Normal 7-3 for the first time to acquire the bronze medal.
main_quest-10000237,Mission Accomplished: Normal 7-4
main_quest-20000237,Complete Normal 7-4 for the first time to acquire the bronze medal.
main_quest-10000238,Mission Accomplished: Normal 7-5
main_quest-20000238,Complete Normal 7-5 for the first time to acquire the bronze medal.
main_quest-10000239,Mission Accomplished: Normal 7-6
main_quest-20000239,Complete Normal 7-6 for the first time to acquire the bronze medal.
main_quest-10000240,Mission Accomplished: Emergency 7-1
main_quest-20000240,Complete Emergency 7-1 for the first time to acquire the bronze medal.
main_quest-10000241,Mission Accomplished: Emergency 7-2
main_quest-20000241,Complete Emergency 7-2 for the first time to acquire the bronze medal.
main_quest-10000242,Mission Accomplished: Emergency 7-3
main_quest-20000242,Complete Emergency 7-3 for the first time to acquire the bronze medal.
main_quest-10000243,Mission Accomplished: Emergency 7-4
main_quest-20000243,Complete Emergency 7-4 for the first time to acquire the bronze medal.
main_quest-10000244,Total Lockdown: Normal 7-1
main_quest-20000244,Take over the whole map in Normal 7-1 to acquire the silver medal.
main_quest-10000245,Total Lockdown: Normal 7-2
main_quest-20000245,Take over the whole map in Normal 7-2 to acquire the silver medal.
main_quest-10000246,Total Lockdown: Normal 7-3
main_quest-20000246,Take over the whole map in Normal 7-3 to acquire the silver medal.
main_quest-10000247,Total Lockdown: Normal 7-4
main_quest-20000247,Take over the whole map in Normal 7-4 to acquire the silver medal.
main_quest-10000248,Total Lockdown: Normal 7-5
main_quest-20000248,Take over the whole map in Normal 7-5 to acquire the silver medal.
main_quest-10000249,Total Lockdown: Normal 7-6
main_quest-20000249,Take over the whole map in Normal 7-6 to acquire the silver medal.
main_quest-10000250,Total Lockdown: Emergency 7-1
main_quest-20000250,Take over the whole map in Emergency 7-1 to acquire the silver medal.
main_quest-10000251,Total Lockdown: Emergency 7-2
main_quest-20000251,Take over the whole map in Emergency 7-2 to acquire the silver medal.
main_quest-10000252,Total Lockdown: Emergency 7-3
main_quest-20000252,Take over the whole map in Emergency 7-3 to acquire the silver medal.
main_quest-10000253,Total Lockdown: Emergency 7-4
main_quest-20000253,Take over the whole map in Emergency 7-4 to acquire the silver medal.
main_quest-10000254,Perfect Victory: Normal 7-1
main_quest-20000254,Complete Normal 7-1 with S rank for the first time to acquire the gold medal.
main_quest-10000255,Perfect Victory: Normal 7-2
main_quest-20000255,Complete Normal 7-2 with S rank for the first time to acquire the gold medal.
main_quest-10000256,Perfect Victory: Normal 7-3
main_quest-20000256,Complete Normal 7-3 with S rank for the first time to acquire the gold medal.
main_quest-10000257,Perfect Victory: Normal 7-4
main_quest-20000257,Complete Normal 7-4 with S rank for the first time to acquire the gold medal.
main_quest-10000258,Perfect Victory: Normal 7-5
main_quest-20000258,Complete Normal 7-5 with S rank for the first time to acquire the gold medal.
main_quest-10000259,Perfect Victory: Normal 7-6
main_quest-20000259,Complete Normal 7-6 with S rank for the first time to acquire the gold medal.
main_quest-10000260,Perfect Victory: Emergency 7-1
main_quest-20000260,Complete Emergency 7-1 with S rank for the first time to acquire the gold medal.
main_quest-10000261,Perfect Victory: Emergency 7-2
main_quest-20000261,Complete Emergency 7-2 with S rank for the first time to acquire the gold medal.
main_quest-10000262,Perfect Victory: Emergency 7-3
main_quest-20000262,Complete Emergency 7-3 with S rank for the first time to acquire the gold medal.
main_quest-10000263,Perfect Victory: Emergency 7-4
main_quest-20000263,Complete Emergency 7-4 with S rank for the first time to acquire the gold medal.
main_quest-10000264,Mission Accomplished: Night 5-1
main_quest-20000264,Complete Night 5-1 for the first time.
main_quest-10000265,Mission Accomplished: Night 5-2
main_quest-20000265,Complete Night 5-2 for the first time.
main_quest-10000266,Mission Accomplished: Night 5-3
main_quest-20000266,Complete Night 5-3 for the first time.
main_quest-10000267,Mission Accomplished: Night 5-4
main_quest-20000267,Complete Night 5-4 for the first time.
main_quest-10000268,Mission Accomplished: Normal 8-1
main_quest-20000268,Complete Normal 8-1 for the first time to acquire the bronze medal.
main_quest-10000269,Mission Accomplished: Normal 8-2
main_quest-20000269,Complete Normal 8-2 for the first time to acquire the bronze medal.
main_quest-10000270,Mission Accomplished: Normal 8-3
main_quest-20000270,Complete Normal 8-3 for the first time to acquire the bronze medal.
main_quest-10000271,Mission Accomplished: Normal 8-4
main_quest-20000271,Complete Normal 8-4 for the first time to acquire the bronze medal.
main_quest-10000272,Mission Accomplished: Normal 8-5
main_quest-20000272,Complete Normal 8-5 for the first time to acquire the bronze medal.
main_quest-10000273,Mission Accomplished: Normal 8-6
main_quest-20000273,Complete Normal 8-6 for the first time to acquire the bronze medal.
main_quest-10000274,Mission Accomplished: Emergency 8-1
main_quest-20000274,Complete Emergency 8-1 for the first time to acquire the bronze medal.
main_quest-10000275,Mission Accomplished: Emergency 8-2
main_quest-20000275,Complete Emergency 8-2 for the first time to acquire the bronze medal.
main_quest-10000276,Mission Accomplished: Emergency 8-3
main_quest-20000276,Complete Emergency 8-3 for the first time to acquire the bronze medal.
main_quest-10000277,Mission Accomplished: Emergency 8-4
main_quest-20000277,Complete Emergency 8-4 for the first time to acquire the bronze medal.
main_quest-10000278,Total Lockdown: Normal 8-1
main_quest-20000278,Take over the whole map in Normal 8-1 to acquire the silver medal.
main_quest-10000279,Total Lockdown: Normal 8-2
main_quest-20000279,Take over the whole map in Normal 8-2 to acquire the silver medal.
main_quest-10000280,Total Lockdown: Normal 8-3
main_quest-20000280,Take over the whole map in Normal 8-3 to acquire the silver medal.
main_quest-10000281,Total Lockdown: Normal 8-4
main_quest-20000281,Take over the whole map in Normal 8-4 to acquire the silver medal.
main_quest-10000282,Total Lockdown: Normal 8-5
main_quest-20000282,Take over the whole map in Normal 8-5 to acquire the silver medal.
main_quest-10000283,Total Lockdown: Normal 8-6
main_quest-20000283,Take over the whole map in Normal 8-6 to acquire the silver medal.
main_quest-10000284,Total Lockdown: Emergency 8-1
main_quest-20000284,Take over the whole map in Emergency 8-1 to acquire the silver medal.
main_quest-10000285,Total Lockdown: Emergency 8-2
main_quest-20000285,Take over the whole map in Emergency 8-2 to acquire the silver medal.
main_quest-10000286,Total Lockdown: Emergency 8-3
main_quest-20000286,Take over the whole map in Emergency 8-3 to acquire the silver medal.
main_quest-10000287,Total Lockdown: Emergency 8-4
main_quest-20000287,Take over the whole map in Emergency 8-4 to acquire the silver medal.
main_quest-10000288,Perfect Victory: Normal 8-1
main_quest-20000288,Complete Normal 8-1 with S rank for the first time to acquire the gold medal.
main_quest-10000289,Perfect Victory: Normal 8-2
main_quest-20000289,Complete Normal 8-2 with S rank for the first time to acquire the gold medal.
main_quest-10000290,Perfect Victory: Normal 8-3
main_quest-20000290,Complete Normal 8-3 with S rank for the first time to acquire the gold medal.
main_quest-10000291,Perfect Victory: Normal 8-4
main_quest-20000291,Complete Normal 8-4 with S rank for the first time to acquire the gold medal.
main_quest-10000292,Perfect Victory: Normal 8-5
main_quest-20000292,Complete Normal 8-5 with S rank for the first time to acquire the gold medal.
main_quest-10000293,Perfect Victory: Normal 8-6
main_quest-20000293,Complete Normal 8-6 with S rank for the first time to acquire the gold medal.
main_quest-10000294,Perfect Victory: Emergency 8-1
main_quest-20000294,Complete Emergency 8-1 with S rank for the first time to acquire the gold medal.
main_quest-10000295,Perfect Victory: Emergency 8-2
main_quest-20000295,Complete Emergency 8-2 with S rank for the first time to acquire the gold medal.
main_quest-10000296,Perfect Victory: Emergency 8-3
main_quest-20000296,Complete Emergency 8-3 with S rank for the first time to acquire the gold medal.
main_quest-10000297,Perfect Victory: Emergency 8-4
main_quest-20000297,Complete Emergency 8-4 with S rank for the first time to acquire the gold medal.
main_quest-10000298,Mission Accomplished: Night 6-1
main_quest-20000298,Complete Night 6-1 for the first time.
main_quest-10000299,Mission Accomplished: Night 6-2
main_quest-20000299,Complete Night 6-2 for the first time.
main_quest-10000300,Mission Accomplished: Night 6-3
main_quest-20000300,Complete Night 6-3 for the first time.
main_quest-10000301,Mission Accomplished: Night 6-4
main_quest-20000301,Complete Night 6-4 for the first time.
main_quest-10000302,Mission Accomplished: Normal 9-1
main_quest-20000302,Complete Normal 9-1 for the first time to acquire the bronze medal.
main_quest-10000303,Mission Accomplished: Normal 9-2
main_quest-20000303,Complete Normal 9-2 for the first time to acquire the bronze medal.
main_quest-10000304,Mission Accomplished: Normal 9-3
main_quest-20000304,Complete Normal 9-3 for the first time to acquire the bronze medal.
main_quest-10000305,Mission Accomplished: Normal 9-4
main_quest-20000305,Complete Normal 9-4 for the first time to acquire the bronze medal.
main_quest-10000306,Mission Accomplished: Normal 9-5
main_quest-20000306,Complete Normal 9-5 for the first time to acquire the bronze medal.
main_quest-10000307,Mission Accomplished: Normal 9-6
main_quest-20000307,Complete Normal 9-6 for the first time to acquire the bronze medal.
main_quest-10000308,Mission Accomplished: Emergency 9-1
main_quest-20000308,Complete Emergency 9-1 for the first time to acquire the bronze medal.
main_quest-10000309,Mission Accomplished: Emergency 9-2
main_quest-20000309,Complete Emergency 9-2 for the first time to acquire the bronze medal.
main_quest-10000310,Mission Accomplished: Emergency 9-3
main_quest-20000310,Complete Emergency 9-3 for the first time to acquire the bronze medal.
main_quest-10000311,Mission Accomplished: Emergency 9-4
main_quest-20000311,Complete Emergency 9-4 for the first time to acquire the bronze medal.
main_quest-10000312,Total Lockdown: Normal 9-1
main_quest-20000312,Take over the whole map in Normal 9-1 to acquire the silver medal.
main_quest-10000313,Total Lockdown: Normal 9-2
main_quest-20000313,Take over the whole map in Normal 9-2 to acquire the silver medal.
main_quest-10000314,Total Lockdown: Normal 9-3
main_quest-20000314,Take over the whole map in Normal 9-3 to acquire the silver medal.
main_quest-10000315,Total Lockdown: Normal 9-4
main_quest-20000315,Take over the whole map in Normal 9-4 to acquire the silver medal.
main_quest-10000316,Total Lockdown: Normal 9-5
main_quest-20000316,Take over the whole map in Normal 9-5 to acquire the silver medal.
main_quest-10000317,Total Lockdown: Normal 9-6
main_quest-20000317,Take over the whole map in Normal 9-6 to acquire the silver medal.
main_quest-10000318,Total Lockdown: Emergency 9-1
main_quest-20000318,Take over the whole map in Emergency 9-1 to acquire the silver medal.
main_quest-10000319,Total Lockdown: Emergency 9-2
main_quest-20000319,Take over the whole map in Emergency 9-2 to acquire the silver medal.
main_quest-10000320,Total Lockdown: Emergency 9-3
main_quest-20000320,Successfully rescue 2 T-Dolls.
main_quest-10000321,Total Lockdown: Emergency 9-4
main_quest-20000321,Successfully rescue 3 T-Dolls.
main_quest-10000322,Perfect Victory: Normal 9-1
main_quest-20000322,Complete Normal 9-1 with S rank for the first time to acquire the gold medal.
main_quest-10000323,Perfect Victory: Normal 9-2
main_quest-20000323,Complete Normal 9-2 with S rank for the first time to acquire the gold medal.
main_quest-10000324,Perfect Victory: Normal 9-3
main_quest-20000324,Complete Normal 9-3 with S rank for the first time to acquire the gold medal.
main_quest-10000325,Perfect Victory: Normal 9-4
main_quest-20000325,Complete Normal 9-4 with S rank for the first time to acquire the gold medal.
main_quest-10000326,Perfect Victory: Normal 9-5
main_quest-20000326,Complete Normal 9-5 with S rank for the first time to acquire the gold medal.
main_quest-10000327,Perfect Victory: Normal 9-6
main_quest-20000327,Complete Normal 9-6 with S rank for the first time to acquire the gold medal.
main_quest-10000328,Perfect Victory: Emergency 9-1
main_quest-20000328,Complete Emergency 9-1 with S rank for the first time to acquire the gold medal.
main_quest-10000329,Perfect Victory: Emergency 9-2
main_quest-20000329,Complete Emergency 9-2 with S rank for the first time to acquire the gold medal.
main_quest-10000330,Perfect Victory: Emergency 9-3
main_quest-20000330,Complete Emergency 9-3 with S rank for the first time to acquire the gold medal.
main_quest-10000331,Perfect Victory: Emergency 9-4
main_quest-20000331,Complete Emergency 9-4 with S rank for the first time to acquire the gold medal.
main_quest-10000332,Mission Accomplished: Normal 10-1
main_quest-20000332,Complete Normal 10-1 for the first time to acquire the bronze medal.
main_quest-10000333,Mission Accomplished: Normal 10-2
main_quest-20000333,Complete Normal 10-2 for the first time to acquire the bronze medal.
main_quest-10000334,Mission Accomplished: Normal 10-3
main_quest-20000334,Complete Normal 10-3 for the first time to acquire the bronze medal.
main_quest-10000335,Mission Accomplished: Normal 10-4
main_quest-20000335,Complete Normal 10-4 for the first time to acquire the bronze medal.
main_quest-10000336,Mission Accomplished: Normal 10-5
main_quest-20000336,Complete Normal 10-5 for the first time to acquire the bronze medal.
main_quest-10000337,Mission Accomplished: Normal 10-6
main_quest-20000337,Complete Normal 10-6 for the first time to acquire the bronze medal.
main_quest-10000338,Mission Accomplished: Emergency 10-1
main_quest-20000338,Complete Emergency 10-1 for the first time to acquire the bronze medal.
main_quest-10000339,Mission Accomplished: Emergency 10-2
main_quest-20000339,Complete Emergency 10-2 for the first time to acquire the bronze medal.
main_quest-10000340,Mission Accomplished: Emergency 10-3
main_quest-20000340,Complete Emergency 10-3 for the first time to acquire the bronze medal.
main_quest-10000341,Mission Accomplished: Emergency 10-4
main_quest-20000341,Complete Emergency 10-4 for the first time to acquire the bronze medal.
main_quest-10000342,Total Lockdown: Normal 10-1
main_quest-20000342,Take over the whole map in Normal 10-1 to acquire the silver medal.
main_quest-10000343,Total Lockdown: Normal 10-2
main_quest-20000343,Take over the whole map in Normal 10-2 to acquire the silver medal.
main_quest-10000344,Total Lockdown: Normal 10-3
main_quest-20000344,Take over the whole map in Normal 10-3 to acquire the silver medal.
main_quest-10000345,Total Lockdown: Normal 10-4
main_quest-20000345,Take over the whole map in Normal 10-4 to acquire the silver medal.
main_quest-10000346,Total Lockdown: Normal 10-5
main_quest-20000346,Take over the whole map in Normal 10-5 to acquire the silver medal.
main_quest-10000347,Lightning Rescue: Normal 10-6
main_quest-20000347,Successfully rescue 2 T-Dolls.
main_quest-10000348,Total Lockdown: Emergency 10-1
main_quest-20000348,Take over the whole map in Emergency 10-1 to acquire the silver medal.
main_quest-10000349,Lightning Rescue: Emergency 10-2
main_quest-20000349,Successfully rescue 6 T-Dolls.
main_quest-10000350,Total Lockdown: Emergency 10-3
main_quest-20000350,Take over the whole map in Emergency 10-3 to acquire the silver medal.
main_quest-10000351,Total Lockdown: Emergency 10-4
main_quest-20000351,Take over the whole map in Emergency 10-4 to acquire the silver medal.
main_quest-10000352,Perfect Victory: Normal 10-1
main_quest-20000352,Complete Normal 10-1 with S rank for the first time to acquire the gold medal.
main_quest-10000353,Perfect Victory: Normal 10-2
main_quest-20000353,Complete Normal 10-2 with S rank for the first time to acquire the gold medal.
main_quest-10000354,Perfect Victory: Normal 10-3
main_quest-20000354,Complete Normal 10-3 with S rank for the first time to acquire the gold medal.
main_quest-10000355,Perfect Victory: Normal 10-4
main_quest-20000355,Complete Normal 10-4 with S rank for the first time to acquire the gold medal.
main_quest-10000356,Perfect Victory: Normal 10-5
main_quest-20000356,Complete Normal 10-5 with S rank for the first time to acquire the gold medal.
main_quest-10000357,Perfect Victory: Normal 10-6
main_quest-20000357,Complete Normal 10-6 with S rank for the first time to acquire the gold medal.
main_quest-10000358,Perfect Victory: Emergency 10-1
main_quest-20000358,Complete Emergency 10-1 with S rank for the first time to acquire the gold medal.
main_quest-10000359,Perfect Victory: Emergency 10-2
main_quest-20000359,Complete Emergency 10-2 with S rank for the first time to acquire the gold medal.
main_quest-10000360,Perfect Victory: Emergency 10-3
main_quest-20000360,Complete Emergency 10-3 with S rank for the first time to acquire the gold medal.
main_quest-10000361,Perfect Victory: Emergency 10-4
main_quest-20000361,Complete Emergency 10-4 with S rank for the first time to acquire the gold medal.
main_quest-10000362,Mission Accomplished: Night 7-1
main_quest-20000362,Complete Night 7-1 for the first time.
main_quest-10000363,Mission Accomplished: Night 7-2
main_quest-20000363,Complete Night 7-2 for the first time.
main_quest-10000364,Mission Accomplished: Night 7-3
main_quest-20000364,Complete Night 7-3 for the first time.
main_quest-10000365,Mission Accomplished: Night 7-4
main_quest-20000365,Complete Night 7-4 for the first time.
main_quest-10000366,Mission Accomplished: Night 8-1
main_quest-20000366,Complete Night 8-1 for the first time.
main_quest-10000367,Mission Accomplished: Night 8-2
main_quest-20000367,Complete Night 8-2 for the first time.
main_quest-10000368,Mission Accomplished: Night 8-3
main_quest-20000368,Complete Night 8-3 for the first time.
main_quest-10000369,Mission Accomplished: Night 8-4
main_quest-20000369,Complete Night 8-4 for the first time.
main_quest-10000370,Mission Accomplished: Normal 11-1
main_quest-20000370,Complete Normal 11-1 for the first time to acquire the bronze medal.
main_quest-10000371,Mission Accomplished: Normal 11-2
main_quest-20000371,Complete Normal 11-2 for the first time to acquire the bronze medal.
main_quest-10000372,Mission Accomplished: Normal 11-3
main_quest-20000372,Complete Normal 11-3 for the first time to acquire the bronze medal.
main_quest-10000373,Mission Accomplished: Normal 11-4
main_quest-20000373,Complete Normal 11-4 for the first time to acquire the bronze medal.
main_quest-10000374,Mission Accomplished: Normal 11-5
main_quest-20000374,Complete Normal 11-5 for the first time to acquire the bronze medal.
main_quest-10000375,Mission Accomplished: Normal 11-6
main_quest-20000375,Complete Normal 11-6 for the first time to acquire the bronze medal.
main_quest-10000376,Mission Accomplished: Emergency 11-1
main_quest-20000376,Clear Emergency 11-1 for the first time to acquire the bronze medal.
main_quest-10000377,Mission Accomplished: Emergency 11-2
main_quest-20000377,Clear Emergency 11-2 for the first time to acquire the bronze medal.
main_quest-10000378,Mission Accomplished: Emergency 11-3
main_quest-20000378,Clear Emergency 11-3 for the first time to acquire the bronze medal.
main_quest-10000379,Mission Accomplished: Emergency 11-4
main_quest-20000379,Clear Emergency 11-4 for the first time to acquire the bronze medal.
main_quest-10000380,Total Lockdown: Normal 11-1
main_quest-20000380,Take over the whole map in Normal 11-1 to acquire the silver medal.
main_quest-10000381,Total Lockdown: Normal 11-2
main_quest-20000381,Take over the whole map in Normal 11-2 to acquire the silver medal.
main_quest-10000382,Total Lockdown: Normal 11-3
main_quest-20000382,Take over the whole map in Normal 11-3 to acquire the silver medal.
main_quest-10000383,Hurricane Rescue: Normal 11-4
main_quest-20000383,Successfully rescue 3 T-Dolls.
main_quest-10000384,Total Lockdown: Normal 11-5
main_quest-20000384,Take over the whole map in Normal 11-5 to acquire the silver medal.
main_quest-10000385,Total Lockdown: Normal 11-6
main_quest-20000385,Take over the whole map in Normal 11-6 to acquire the silver medal.
main_quest-10000386,Hurricane Rescue: Emergency 11-1
main_quest-20000386,Successfully rescue 4 T-Dolls.
main_quest-10000387,Total Lockdown: Emergency 11-2
main_quest-20000387,Take over the whole map in Emergency 11-2 to acquire the silver medal.
main_quest-10000388,Hurricane Rescue: Emergency 11-3
main_quest-20000388,Successfully rescue 1 T-Doll.
main_quest-10000389,Total Lockdown: Emergency 11-4
main_quest-20000389,Take over the whole map in Emergency 11-4 to acquire the silver medal.
main_quest-10000390,Perfect Victory: Normal 11-1
main_quest-20000390,Clear Normal 11-1 with S rank for the first time to acquire the gold medal.
main_quest-10000391,Perfect Victory: Normal 11-2
main_quest-20000391,Clear Normal 11-2 with S rank for the first time to acquire the gold medal.
main_quest-10000392,Perfect Victory: Normal 11-3
main_quest-20000392,Clear Normal 11-3 with S rank for the first time to acquire the gold medal.
main_quest-10000393,Perfect Victory: Normal 11-4
main_quest-20000393,Clear Normal 11-4 with S rank for the first time to acquire the gold medal.
main_quest-10000394,Perfect Victory: Normal 11-5
main_quest-20000394,Clear Normal 11-5 with S rank for the first time to acquire the gold medal.
main_quest-10000395,Perfect Victory: Normal 11-6
main_quest-20000395,Clear Normal 11-6 with S rank for the first time to acquire the gold medal.
main_quest-10000396,Perfect Victory: Emergency 11-1
main_quest-20000396,Clear Emergency 11-1 with S rank for the first time to acquire the gold medal.
main_quest-10000397,Perfect Victory: Emergency 11-2
main_quest-20000397,Clear Emergency 11-2 with S rank for the first time to acquire the gold medal.
main_quest-10000398,Perfect Victory: Emergency 11-3
main_quest-20000398,Clear Emergency 11-3 with S rank for the first time to acquire the gold medal.
main_quest-10000399,Perfect Victory: Emergency 11-4
main_quest-20000399,Clear Emergency 11-4 with S rank for the first time to acquire the gold medal.
main_quest-10000400,Mission Accomplished: Night Battle 9-1
main_quest-20000400,Clear Night Battle 9-1 for the first time.
main_quest-10000401,Mission Accomplished: Night Battle 9-2
main_quest-20000401,Clear Night Battle 9-2 for the first time.
main_quest-10000402,Mission Accomplished: Night Battle 9-3
main_quest-20000402,Clear Night Battle 9-3 for the first time.
main_quest-10000403,Mission Accomplished: Night Battle 9-4
main_quest-20000403,Clear Night Battle 9-4 for the first time.
