mission-10000001,Warm-Up Exercise
mission-30000123,Fairies of level <Color=#FFB400FF>≥42</Color> and rarity level <Color=#FFB400FF>≥3</Color> are recommended.
mission-40000123,Enemies with force fields benefit from damage reduction in combat. Meaningful damage can only be dealt with the support of HOC units.//n <Color=#FFB400FF>Make sure you bring your HOCs along!</Color>
mission-10000124,Morning Conference IV
mission-20000124,
mission-30000124,Fairies of level <Color=#FFB400FF>≥45</Color> and rarity level <Color=#FFB400FF>≥3</Color> are recommended.
mission-40000124,
mission-10010389,Propagation II
mission-20010389,
mission-30010389,
mission-40010389,
mission-10010390,Critical Angle II
mission-20010390,
mission-30010390,
mission-40010390,
mission-10010391,Reflector III
mission-20010391,
mission-30010391,
mission-40010391,
mission-10010392,Total Internal Reflection II
mission-20010392,
mission-30010392,
mission-40010392,
mission-10010393,Reversibility II
mission-20010393,
mission-30010393,
mission-40010393,
mission-10010394,Waveguide II
mission-20010394,
mission-30010394,
mission-40010394,
mission-10010395,Interferometer II
mission-20010395,
mission-30010395,
mission-40010395,
mission-10010396,Polarizer II
mission-20010396,
mission-30010396,
mission-40010396,
mission-10010397,Spectrometer II
mission-20010397,
mission-30010397,
mission-40010397,
mission-10010398,Enantiomer Overload III
mission-20010398,
mission-30010398,
mission-40010398,
mission-10010399,Asymmetric Induction II
mission-20010399,
mission-30010399,
mission-40010399,
mission-10010400,Tempering II
mission-20010400,
mission-30010400,
mission-40010400,
mission-10010401,Cutting II
mission-20010401,
mission-30010401,
mission-40010401,
mission-10010402,Silvering II
mission-20010402,
mission-30010402,
mission-40010402,
mission-10010403,Milling II
mission-20010403,
mission-30010403,
mission-40010403,
mission-10010404,Silvering III
mission-20010404,
mission-30010404,
mission-40010404,
mission-10010405,Pre-Heating II
mission-20010405,
mission-30010405,
mission-40010405,
mission-10010406,Observable Limits III
mission-20010406,
mission-30010406,
mission-40010406,
mission-10010407,Foam Stabilization II
mission-20010407,
mission-30010407,
mission-40010407,
mission-10010408,Light Cone Frame of Reference II
mission-20010408,
mission-30010408,
mission-40010408,
mission-10010409,Observable Limits II
mission-20010409,
mission-30010409,
mission-40010409,
mission-10010410,Blackbody Radiation II
mission-20010410,
mission-30010410,
mission-40010410,
mission-10010411,Escape Acceleration II
mission-20010411,
mission-30010411,
mission-40010411,
mission-10010412,Vacuum Tube EX
mission-20010412,
mission-30010412,
mission-40010412,
mission-10010413,Critical Angle EX-I
mission-20010413,
mission-30010413,
mission-40010413,
mission-10010414,Critical Angle EX-II
mission-20010414,
mission-30010414,
mission-40010414,
mission-10010415,Challenge III
mission-20010415,
mission-30010415,
mission-40010415,
mission-10010416,Challenge IV
mission-20010416,
mission-30010416,
mission-40010416,
mission-10010417,Challenge V - Rabbit Hole No.2
mission-20010417,
mission-30010417,
mission-40010417,
mission-10010418,Labyrinthine Defense
mission-20010418,
mission-30010418,
mission-40010418,
mission-10010419,Reflector II
mission-20010419,
mission-30010419,
mission-40010419,
mission-10010420,Polarizer III
mission-20010420,
mission-30010420,
mission-40010420,
mission-10010421,Shattered Plane of Polarization III
mission-20010421,
mission-30010421,
mission-40010421,
mission-10010422,Recrystallization Resolution III
mission-20010422,
mission-30010422,
mission-40010422,
mission-10010423,Annealing EX
mission-20010423,
mission-30010423,
mission-40010423,
mission-10010424,Annealing I
mission-20010424,
mission-30010424,
mission-40010424,
mission-10010425,Annealing III
mission-20010425,
mission-30010425,
mission-40010425,
mission-10010426,Lamp Starter
mission-20010426,
mission-30010426,
mission-40010426,
mission-10010427,Propagation I
mission-20010427,
mission-30010427,
mission-40010427,
mission-10010428,Refraction Point
mission-20010428,
mission-30010428,
mission-40010428,
mission-10010429,Critical Angle I
mission-20010429,
mission-30010429,
mission-40010429,
mission-10010430,Reflector I
mission-20010430,
mission-30010430,
mission-40010430,
mission-10010431,Critical Angle III
mission-20010431,
mission-30010431,
mission-40010431,
mission-10010432,Total Internal Reflection I
mission-20010432,
mission-30010432,
mission-40010432,
mission-10010433,Sine Curve
mission-20010433,
mission-30010433,
mission-40010433,
mission-10010434,Reversibility I
mission-20010434,
mission-30010434,
mission-40010434,
mission-10010435,Cosine Signal
mission-20010435,
mission-30010435,
mission-40010435,
mission-10010436,Polarizer I
mission-20010436,
mission-30010436,
mission-40010436,
mission-10010437,Diffraction Grating
mission-20010437,
mission-30010437,
mission-40010437,
mission-10010438,Waveguide I
mission-20010438,
mission-30010438,
mission-40010438,
mission-10010439,Beam Splitter
mission-20010439,
mission-30010439,
mission-40010439,
mission-10010440,Interferometer I
mission-20010440,
mission-30010440,
mission-40010440,
mission-10010441,Aperture
mission-20010441,
mission-30010441,
mission-40010441,
mission-10010442,Vacuum Tube
mission-20010442,
mission-30010442,
mission-40010442,
mission-10010443,Accelerator
mission-20010443,
mission-30010443,
mission-40010443,
mission-10010444,Spectrometer I
mission-20010444,
mission-30010444,
mission-40010444,
mission-10010445,Analyzer
mission-20010445,
mission-30010445,
mission-40010445,
mission-10010446,Enantiomer Overload I
mission-20010446,
mission-30010446,
mission-40010446,
mission-10010447,Enantiomer Overload II
mission-20010447,
mission-30010447,
mission-40010447,
mission-10010448,Recrystallization Resolution I
mission-20010448,
mission-30010448,
mission-40010448,
mission-10010449,Shattered Plane of Polarization I
mission-20010449,
mission-30010449,
mission-40010449,
mission-10010450,Recrystallization Resolution II
mission-20010450,
mission-30010450,
mission-40010450,
mission-10010451,Shattered Plane of Polarization II
mission-20010451,
mission-30010451,
mission-40010451,
mission-10010452,Asymmetric Induction I
mission-20010452,
mission-30010452,
mission-40010452,
mission-10010453,Optical Isomer
mission-20010453,
mission-30010453,
mission-40010453,
mission-10010454,Milling I
mission-20010454,
mission-30010454,
mission-40010454,
mission-10010455,Mixing
mission-20010455,
mission-30010455,
mission-40010455,
mission-10010456,Pre-Heating I
mission-20010456,
mission-30010456,
mission-40010456,
mission-10010457,Sintering
mission-20010457,
mission-30010457,
mission-40010457,
mission-10010458,Foaming
mission-20010458,
mission-30010458,
mission-40010458,
mission-10010459,Foam Stabilization I
mission-20010459,
mission-30010459,
mission-40010459,
mission-10010460,Molding
mission-20010460,
mission-30010460,
mission-40010460,
mission-10010461,Annealing II
mission-20010461,
mission-30010461,
mission-40010461,
mission-10010462,Tempering I
mission-20010462,
mission-30010462,
mission-40010462,
mission-10010463,Cutting I
mission-20010463,
mission-30010463,
mission-40010463,
mission-10010464,Polishing
mission-20010464,
mission-30010464,
mission-40010464,
mission-10010465,Silvering I
mission-20010465,
mission-30010465,
mission-40010465,
mission-10010466,Virtual Image Reforging
mission-20010466,
mission-30010466,
mission-40010466,
mission-10010467,Unfathomable Singularity
mission-20010467,
mission-30010467,
mission-40010467,
mission-10010468,Observable Limits I
mission-20010468,
mission-30010468,
mission-40010468,
mission-10010469,Light Cone Frame of Reference I
mission-20010469,
mission-30010469,
mission-40010469,
mission-10010470,Causality Separating Plane
mission-20010470,
mission-30010470,
mission-40010470,
mission-10010471,Blackbody Radiation I
mission-20010471,
mission-30010471,
mission-40010471,
mission-10010472,Escape Acceleration I
mission-20010472,
mission-30010472,
mission-40010472,
mission-10010473,Through the Event Horizon
mission-20010473,
mission-30010473,
mission-40010473,
mission-10010474,Escape Acceleration//n EX-II
mission-20010474,
mission-30010474,
mission-40010474,
mission-10010475,The Empty House
mission-20010475,
mission-30010475,
mission-40010475,
mission-10010476,The Griffin Builder
mission-20010476,
mission-30010476,
mission-40010476,
mission-10010477,The Missing MDR
mission-20010477,
mission-30010477,
mission-40010477,
mission-10010478,The Crooked Man
mission-20010478,
mission-30010478,
mission-40010478,
mission-10010479,The Seven Tangerine Pips
mission-20010479,
mission-30010479,
mission-40010479,
mission-10010480,The Second Neural Cloud
mission-20010480,
mission-30010480,
mission-40010480,
mission-10010481,Rumors of the Haunted Mansion
mission-20010481,
mission-30010481,
mission-40010481,
mission-10010482,Lee Enfield's Last Bow I
mission-20010482,
mission-30010482,
mission-40010482,
mission-10010483,Lee Enfield's Last Bow II
mission-20010483,
mission-30010483,
mission-40010483,
mission-10000125,
mission-20000125,
mission-30000125,Fairies of level <Color=#FFB400FF>≥45</Color> and rarity level <Color=#FFB400FF>≥3</Color> are recommended.
mission-40000125,
mission-10000126,
mission-20000126,
mission-30000126,Fairies of level <Color=#FFB400FF>≥45</Color> and rarity level <Color=#FFB400FF>≥3</Color> are recommended.
mission-40000126,
mission-10000127,
mission-20000127,
mission-30000127,Fairies of level <Color=#FFB400FF>≥45</Color> and rarity level <Color=#FFB400FF>≥3</Color> are recommended.
mission-40000127,
mission-10000128,
mission-20000128,
mission-30000128,
mission-40000128,
mission-10000129,
mission-20000129,
mission-30000129,
mission-40000129,
mission-10000130,
mission-20000130,
mission-30000130,Fairies of level <Color=#FFB400FF>≥45</Color> and rarity level <Color=#FFB400FF>≥3</Color> are recommended.
mission-40000130,
mission-10000131,
mission-20000131,
mission-30000131,Fairies of level <Color=#FFB400FF>≥45</Color> and rarity level <Color=#FFB400FF>≥3</Color> are recommended.
mission-40000131,
mission-10000132,
mission-20000132,
mission-30000132,Fairies of level <Color=#FFB400FF>≥45</Color> and rarity level <Color=#FFB400FF>≥3</Color> are recommended.
mission-40000132,
mission-10000133,
mission-20000133,
mission-30000133,
mission-40000133,
mission-10000134,
mission-20000134,
mission-30000134,
mission-40000134,
mission-10010508,
mission-20010508,
mission-30010508,
mission-40010508,
mission-10010504,Island Getaway
mission-20010504,
mission-30010504,
mission-40010504,
mission-10010505,Wheel of Fortune
mission-20010505,
mission-30010505,
mission-40010505,
mission-10010506,Into the Dangerous Unknown
mission-20010506,
mission-30010506,
mission-40010506,
mission-10010507,Last of the Summer Days
mission-20010507,
mission-30010507,
mission-40010507,
mission-10010484,No. 9
mission-20010484,
mission-30010484,
mission-40010484,
mission-10010485,Kaleidoscope
mission-20010485,
mission-30010485,
mission-40010485,
mission-10010486,New Fork
mission-20010486,
mission-30010486,
mission-40010486,
mission-10010487,Twilight Stars
mission-20010487,
mission-30010487,
mission-40010487,
mission-10010494,Full-Length Play I
mission-20010494,
mission-30010494,
mission-40010494,
mission-10010488,Full-Length Play II
mission-20010488,
mission-30010488,
mission-40010488,
mission-10010489,Magic of Happiness
mission-20010489,
mission-30010489,
mission-40010489,
mission-10010490,Honest Pinocchio I
mission-20010490,
mission-30010490,
mission-40010490,
mission-10010491,Honest Pinocchio II
mission-20010491,
mission-30010491,
mission-40010491,
mission-10010492,Garden of Old I
mission-20010492,
mission-30010492,
mission-40010492,
mission-10010493,Garden of Old II
mission-20010493,
mission-30010493,
mission-40010493,
mission-10010495,Hai capito
mission-20010495,
mission-30010495,
mission-40010495,
mission-10010496,Perfect Harmony
mission-20010496,
mission-30010496,
mission-40010496,
mission-10010497,Basic Reaction Detector
mission-20010497,
mission-30010497,
mission-40010497,
mission-10010498,Agency Shooting Range
mission-20010498,
mission-30010498,
mission-40010498,
mission-10010499,New Fork EX
mission-20010499,
mission-30010499,
mission-40010499,
mission-10010500,Full-Length Play II EX
mission-20010500,
mission-30010500,
mission-40010500,
mission-10010501,Honest Pinocchio I EX
mission-20010501,
mission-30010501,
mission-40010501,
mission-10010502,Garden of Old I EX
mission-20010502,
mission-30010502,
mission-40010502,
mission-10010503,Hai capito Ex II
mission-20010503,
mission-30010503,
mission-40010503,
mission-10010509,Hai capito Ex I
mission-20010509,
mission-30010509,
mission-40010509,
mission-10010515,
mission-20010515,
mission-30010515,
mission-40010515,
mission-10010516,
mission-20010516,
mission-30010516,
mission-40010516,
mission-10010517,
mission-20010517,
mission-30010517,
mission-40010517,
mission-10010520,
mission-20010520,
mission-30010520,
mission-40010520,
mission-10010521,
mission-20010521,
mission-30010521,
mission-40010521,
mission-10010522,
mission-20010522,
mission-30010522,
mission-40010522,
mission-10010510,
mission-20010510,
mission-30010510,
mission-40010510,
mission-10010511,
mission-20010511,
mission-30010511,
mission-40010511,
mission-10010513,
mission-20010513,
mission-30010513,
mission-40010513,
mission-10010523,
mission-20010523,
mission-30010523,
mission-40010523,
mission-10010524,
mission-20010524,
mission-30010524,
mission-40010524,
mission-10010526,
mission-20010526,
mission-30010526,
mission-40010526,
mission-10010527,
mission-20010527,
mission-30010527,
mission-40010527,
mission-10010528,
mission-20010528,
mission-30010528,
mission-40010528,
mission-10010529,
mission-20010529,
mission-30010529,
mission-40010529,
mission-10010530,
mission-20010530,
mission-30010530,
mission-40010530,
mission-10010531,
mission-20010531,
mission-30010531,
mission-40010531,
mission-10010532,
mission-20010532,
mission-30010532,
mission-40010532,
mission-10010533,
mission-20010533,
mission-30010533,
mission-40010533,
mission-10010534,
mission-20010534,
mission-30010534,
mission-40010534,
mission-10010535,
mission-20010535,
mission-30010535,
mission-40010535,
mission-10010536,
mission-20010536,
mission-30010536,
mission-40010536,
mission-10010537,
mission-20010537,
mission-30010537,
mission-40010537,
mission-10010538,
mission-20010538,
mission-30010538,
mission-40010538,
mission-10010539,
mission-20010539,
mission-30010539,
mission-40010539,
mission-10010576,
mission-20010576,
mission-30010576,
mission-40010576,
mission-10010577,
mission-20010577,
mission-30010577,
mission-40010577,
mission-10010540,
mission-20010540,
mission-30010540,
mission-40010540,
mission-10010541,
mission-20010541,
mission-30010541,
mission-40010541,
mission-10010542,
mission-20010542,
mission-30010542,
mission-40010542,
mission-10010543,
mission-20010543,
mission-30010543,
mission-40010543,
mission-10010544,
mission-20010544,
mission-30010544,
mission-40010544,
mission-10010545,
mission-20010545,
mission-30010545,
mission-40010545,
mission-10010546,
mission-20010546,
mission-30010546,
mission-40010546,
mission-10010547,
mission-20010547,
mission-30010547,
mission-40010547,
mission-10010548,
mission-20010548,
mission-30010548,
mission-40010548,
mission-10010549,
mission-20010549,
mission-30010549,
mission-40010549,
mission-10010550,
mission-20010550,
mission-30010550,
mission-40010550,
mission-10010551,
mission-20010551,
mission-30010551,
mission-40010551,
mission-10010552,
mission-20010552,
mission-30010552,
mission-40010552,
mission-10010553,
mission-20010553,
mission-30010553,
mission-40010553,
mission-10010554,
mission-20010554,
mission-30010554,
mission-40010554,
mission-10010555,
mission-20010555,
mission-30010555,
mission-40010555,
mission-10010556,
mission-20010556,
mission-30010556,
mission-40010556,
mission-10010557,
mission-20010557,
mission-30010557,
mission-40010557,
mission-10010558,
mission-20010558,
mission-30010558,
mission-40010558,
mission-10010559,
mission-20010559,
mission-30010559,
mission-40010559,
mission-10010560,
mission-20010560,
mission-30010560,
mission-40010560,
mission-10010561,
mission-20010561,
mission-30010561,
mission-40010561,
mission-10010562,
mission-20010562,
mission-30010562,
mission-40010562,
mission-10010563,
mission-20010563,
mission-30010563,
mission-40010563,
mission-10010564,
mission-20010564,
mission-30010564,
mission-40010564,
mission-10010565,
mission-20010565,
mission-30010565,
mission-40010565,
mission-10010566,
mission-20010566,
mission-30010566,
mission-40010566,
mission-10010567,
mission-20010567,
mission-30010567,
mission-40010567,
mission-10010568,
mission-20010568,
mission-30010568,
mission-40010568,
mission-10010569,
mission-20010569,
mission-30010569,
mission-40010569,
mission-10010570,
mission-20010570,
mission-30010570,
mission-40010570,
mission-10010571,
mission-20010571,
mission-30010571,
mission-40010571,
mission-10010572,
mission-20010572,
mission-30010572,
mission-40010572,
mission-10010573,
mission-20010573,
mission-30010573,
mission-40010573,
mission-10010574,
mission-20010574,
mission-30010574,
mission-40010574,
mission-10010575,
mission-20010575,
mission-30010575,
mission-40010575,
mission-10010578,
mission-20010578,
mission-30010578,
mission-40010578,
mission-10010579,
mission-20010579,
mission-30010579,
mission-40010579,
mission-10010580,
mission-20010580,
mission-30010580,
mission-40010580,
mission-10010512,
mission-20010512,
mission-30010512,
mission-40010512,
mission-10010514,
mission-20010514,
mission-30010514,
mission-40010514,
mission-10010525,
mission-20010525,
mission-30010525,
mission-40010525,
