enemy_illustration-10000027,Architect
enemy_illustration-20000079,A special mech produced by the Military. It is equipped with compact//c explosive firepower and possesses a certain degree of mobility//c making it something like a trump card used to tactically suppress the opposition with its unmatchable superiority in specs.
enemy_illustration-30000079,This unit possesses a certain degree of armor//c so make sure your echelon has enough armor piercing and try to maximize your defenses in the front row. In addition//c take care to move units targeted by its powerful cannon shot to prevent your backliners from taking damage.
enemy_illustration-10000080,AA-02 Sinner
enemy_illustration-20000080,An elite mech produced by the Military//c originally meant to be piloted by a certain officer. Possesses outstanding performance and is equipped with powerful weapons. Even without its massive cannon it can still attack with guided missiles. It is also equipped with a shield for defense. This tactical mech//c known as "Sinner"//c confers overwhelming dominance of the entire battlefield.
enemy_illustration-30000080,This heavily-armored unit deals high damage to flagged positions. When shielded//c it suffers flat damage from feedback if its shield is penetrated. Move your Dolls in time to avoid taking damage. 
enemy_illustration-10000081,Elisa
enemy_illustration-20000081,A high-end AI developed by Lyco. The commander only has to give a simple order and the mainframe "Elisa" will automatically compute a sensible plan of action. This high-end AI mainframe is furnished with a team of dedicated Dolls//c which can be remotely commanded through the network to carry out her plans.//n However//c she is not a simple AI program. Lyco's ultimate aim was to create an artificial consciousness//c a perfect AI that could think and feel like a human being. After the Butterfly Incident//c "Elisa" gained a physical body and took command of all S.F. Dolls. In order to avenge her father Lyco//c she attacked all humans and non-S.F. Dolls on sight. At the same time//c she hopes to become the perfect AI in Lyco's mind - that is to say//c she wants a mind that is the same as a human being's - and so she has begun looking for a sample of the perfect AI among her father's files.
enemy_illustration-30000081,The Reverse Collapse effect might render your Dolls unable to fight//c but floating in the air is also a form of protection. Make use of this to evade otherwise unavoidable damage!
enemy_illustration-10000082,Crab Cannon
enemy_illustration-20000082,An autonomous weapon that a certain military enterprise spent a sky-high budget to develop. Meticulously designed to disguise itself as a creature//c but other than looking bigger//c it isn't anything special. The manufacturer denies this to be the main reason of its going defunct.
enemy_illustration-30000082,Best to avoid this if your echelon is not in good condition.
enemy_illustration-10000083,Mechanical Crab
enemy_illustration-20000083,An old autonomous weapon developed by a certain military enterprise. The initial idea was to camouflage it as a creature//c but they went a bit overboard and it ended up becoming "highly aggressive mechanical seafood". The design got rejected.
enemy_illustration-30000083,This very mobile unit is equipped with light armor. It rapidly lays explosive starfish at the start of the battle//c which deal massive damage to enemies who trigger them. Avoid the starfish mines or destroy the unit as soon as possible.
enemy_illustration-10000084,Watermelon House
enemy_illustration-20000084,An old autonomous weapon manufactured by a certain military enterprise. A facility for producing Faux Watermelons//c but the development progress was hindered by unsuspecting tourists.
enemy_illustration-30000084,Equipped with strong armor and keeps churning out watermelon-shaped units. Assault Rifle T-Dolls cannot handle them too well. Rife T-Dolls are recommended.
enemy_illustration-10000085,Faux Watermelon
enemy_illustration-20000085,An old autonomous weapon developed by a certain military enterprise. The original idea was to deceive enemies by disguising it as tasty food//c which resulted in an accident in which a tester mistook it as real food and attempted to cut it open.
enemy_illustration-30000085,This unit has a certain amount of armor and high accuracy but deals little damage. Engage with an echelon that has adequate overall combat effectiveness.
enemy_illustration-10000086,Ripper SWAP
enemy_illustration-20000086,A vastly upgraded Ripper features massive improvement to both its firepower and mobility. It sports a new uniform and hair color to cut all ties with the past.
enemy_illustration-30000086,This unit will gain a certain amount of protection when receiving fatal damage. Be prepared for a battle of attrition.
enemy_illustration-10000087,Cocktail Addict
enemy_illustration-20000087,A dangerous person in the streets.//c Throws Molotov cocktails that deal continuous burning damage to enemies.
enemy_illustration-30000087,This enemy is well-balanced so be sure to fight her with an echelon that has adequate overall combat effectiveness.
enemy_illustration-10000088,Fanatical Assaulter
enemy_illustration-20000088,A dangerous person that charges at the forefront with appalling courage.
enemy_illustration-30000088,This enemy is well-balanced so be sure to fight her with an echelon that has adequate overall combat effectiveness.
enemy_illustration-10000089,Mercenary Rifle Shooter
enemy_illustration-20000089,An experienced mercenary who keeps his distance and snipes enemies.
enemy_illustration-30000089,This unit is the main damage dealer in the back row. It has a low rate of fire and high accuracy//c dealing steady and significant damage to the player's units in the front row. It is recommended to clear them up with Dolls who prioritize targets in the back row.
enemy_illustration-10000090,Indebted Assassin
enemy_illustration-20000090,Wields a sharp blade//c very athletic.
enemy_illustration-30000090,This unit is very effective in piercing through armor//c which poses a considerable threat to Shotgun T-Dolls. Don't let her touch any friendly SGs. It is recommended to use Dolls with high evasion such as SMGs and HGs in the front row.
enemy_illustration-10000091,Carcano M91/38
enemy_illustration-20000091,An enemy that's unaccounted for.
enemy_illustration-30000091,This unit will flag areas on the battlefield//c causing units standing on such areas to lose the ability to attack but also gain a shield that provides additional defense. It is beneficial to move your damage dealers out of the flagged areas and instead let your tanks bear the mark. 
enemy_illustration-10000092,Henrietta
enemy_illustration-20000092,An enemy that's unaccounted for.
enemy_illustration-30000092,Avoid engaging this unit in battle.
enemy_illustration-10000093,Rico
enemy_illustration-20000093,An enemy that's unaccounted for.
enemy_illustration-30000093,Avoid engaging this unit in battle.
enemy_illustration-10000094,Vespid_SWAP
enemy_illustration-20000094,An upgraded version of Vespid that can do a significant amount of damage to enemies. It sports a new helmet and set of armor to highlight the difference in power between itself and the older model.
enemy_illustration-30000094,This unit is capable of dealing significant damage to your forces. Take that into consideration when arranging your echelon.
enemy_illustration-10000095,Brute_SWAP
enemy_illustration-20000095,
enemy_illustration-30000095,This unit is very effective in piercing through armor//c which poses a considerable threat to Shotgun T-Dolls. Don't let her touch any friendly SGs. It is recommended to use Dolls with high evasion such as SMGs and HGs in the front row.
enemy_illustration-10000096,Nemeum_SWAP
enemy_illustration-20000096,
enemy_illustration-30000096,This armored unit is mainly a damage dealer on the back row. It has a low rate of fire but high accuracy//c dealing steady and significant damage to the player's units in the front row. It is recommended to clear them up with Dolls who prioritize targets in the back row.
enemy_illustration-10000097,
enemy_illustration-20000097,
enemy_illustration-30000097,This enemy is well-balanced so be sure to fight her with an echelon that has adequate overall combat effectiveness.
enemy_illustration-10000098,
enemy_illustration-20000098,
enemy_illustration-30000098,This enemy is well-balanced so be sure to fight her with an echelon that has adequate overall combat effectiveness.
enemy_illustration-10000099,
enemy_illustration-20000099,
enemy_illustration-30000099,WARNING! Make sure your echelon has enough damage output to neutralize this unit//c otherwise avoid it.
enemy_illustration-10000101,Pumpkin Ripper
enemy_illustration-20000101,A festive special-edition Sangvis Dummy equipped with short-range submachine weapons and somewhat useless protective gear on the head. It is fairly mobile and often takes part in battles as a jack-o'-lantern carver or patrol that uses a jack-o'-lantern as illumination.
enemy_illustration-30000101,This enemy is well-balanced so be sure to fight her with an echelon that has adequate overall combat effectiveness.
enemy_illustration-10000102,Phantom Jaeger
enemy_illustration-20000102,A festive special-edition Sangvis Dummy armed with a long-ranged sniper weapon with high firepower and accuracy. Even though it has meticulously peppered itself with phosphorus powder to appear luminous//c that does nothing to change its fragile nature.
enemy_illustration-30000102,This unit is the main damage dealer in the back row. It has a low rate of fire and high accuracy//c dealing steady and significant damage to the player's units in the front row. It is recommended to clear them up with Dolls who prioritize targets in the back row.
enemy_illustration-10000103,Witch Dragoon
enemy_illustration-20000103,A festive special-edition Sangvis Dummy equipped with an experimental hover-transport device//c an anti-grav wide-brimmed hat//c and an assault rifle. With its considerable firepower//c attack range//c and mobility//c it often plays the part of scaring Destroyer and getting bombed.
enemy_illustration-30000103,This enemy is well-balanced so be sure to fight her with an echelon that has adequate overall combat effectiveness.
enemy_illustration-10000106,Christmas Dinergate
enemy_illustration-20000106,A low-tier Sangvis celebratory unit that has relatively low transporting capacity//c but with the reindeer's help, it's mostly used in enhancing the Christmas atmosphere. If its preset route is blocked//c it will crash through a wall to deliver presents if it has to//c so please do not arbitrarily change the location of your door.
enemy_illustration-30000106,This melee unit deals incredibly high damage but has bad survivability. It is recommended to destroy them with Assault Rifle Dolls or Dolls who can quickly deal AoE damage before they come close.
enemy_illustration-10000107,Dinereindeer
enemy_illustration-20000107,A low-tier Sangvis transportational unit mostly used in enhancing the Christmas atmosphere. If its preset route is blocked//c it will crash through a wall to deliver presents if it has to//c so please do not arbitrarily change the location of your door.
enemy_illustration-30000107,This melee unit deals incredibly high damage but has bad survivability. It is recommended to destroy them with Assault Rifle Dolls or Dolls who can quickly deal AoE damage before they come close.
enemy_illustration-10000108,Gingerbread Guard
enemy_illustration-20000108,A high-tier Sangvis holiday unit equipped with a gingerbread shield and candy cane. As its appearance suggests//c it is very sugary. It is mostly used to defend the very important kitchen or to intercept Dreamer, who slips in to steal candy while using Destroyer as a diversion.
enemy_illustration-30000108,This melee unit has strong defensive capabilities but deals negligible damage. Most of the threat comes from other damage-oriented units//c so it is recommended to pick Dolls of suitable gun types to deal with the units behind the Guards first.
